date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	678.79	678.79	678.79	678.79						0																													
2016-01-05 08:00:00	4	712.24	678.79	712.24	678.79	612.73	ABC.MI	703.79	703.79	670.73	670.73						0							712.24																						
2016-01-06 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	689.16	689.16	689.16	689.16						0																													
2016-01-07 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	697.11	697.11	697.11	697.11						0																													
2016-01-08 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	708.34	708.34	708.34	708.34						0																													
2016-01-11 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	712.39	712.39	712.39	712.39						0																		712.39											
2016-01-12 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	704.76	704.76	704.76	704.76						0																													
2016-01-13 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	698.81	698.81	698.81	698.81						0																			698.81										
2016-01-14 08:00:00	4	685.58	664.24	673.94	685.58	618.85	ABC.MI	705.62	717.81	695.47	717.81						0								664.24																					
2016-01-15 08:00:00	0	685.58	685.58	685.58	685.58	618.85	ABC.MI	740.5	740.5	740.5	740.5						0							685.58																						
2016-01-18 08:00:00	0	685.58	685.58	685.58	685.58	618.85	ABC.MI	760.67	760.67	760.67	760.67						0																		760.67											
2016-01-19 08:00:00	3	686.55	659.39	659.39	686.55	619.73	ABC.MI	724.11	753.92	724.11	753.92						0								659.39											724.11										
2016-01-20 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	792.23	792.23	792.23	792.23						0																		792.23											
2016-01-21 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	760.29	760.29	760.29	760.29						0																													
2016-01-22 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	748.1	748.1	748.1	748.1						0																			748.1										
2016-01-25 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	763.63	763.63	763.63	763.63						0							686.55		686.55									763.63											
2016-01-26 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	752.21	752.21	752.21	752.21						0																			752.21										
2016-01-27 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	755.24	755.24	755.24	755.24						0																													
2016-01-28 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	782.56	782.56	782.56	782.56						0																		782.56											
2016-01-29 08:00:00	0	686.55	686.55	686.55	686.55	619.73	ABC.MI	762.98	762.98	762.98	762.98						0																													
2016-02-01 08:00:00	3	678.79	678.79	678.79	678.79	612.73	ABC.MI	761.33	761.33	761.33	761.33						0																			761.33										
2016-02-02 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	785.29	785.29	785.29	785.29						0																													
2016-02-03 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	808.29	808.29	808.29	808.29					1.0	0																		808.29											
2016-02-04 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	798.48	798.48	798.48	798.48					1.0	0																			798.48										
2016-02-05 08:00:00	0	678.79	678.79	678.79	678.79	612.73	ABC.MI	815.88	815.88	815.88	815.88					1.0	0																													
2016-02-08 08:00:00	6	659.39	656.48	659.39	656.48	592.59	ABC.MI	831.57	831.57	827.9	827.9					1.0	0																													
2016-02-09 08:00:00	17	649.7	639.03	639.03	649.7	586.47	ABC.MI	832.63	846.53	832.63	846.53					1.0	0								639.03										846.53		846.53									
2016-02-10 08:00:00	20	683.15	631.27	658.42	631.27	569.83	ABC.MI	816.79	847.46	783.1	783.1					1.0	0							683.15												783.1										
2016-02-11 08:00:00	0	631.27	631.27	631.27	631.27	569.83	ABC.MI	829.82	829.82	829.82	829.82					1.0	0																		829.82											
2016-02-12 08:00:00	0	631.27	631.27	631.27	631.27	569.83	ABC.MI	792.54	792.54	792.54	792.54					1.0	0								631.27																					
2016-02-15 08:00:00	0	631.27	631.27	631.27	631.27	569.83	ABC.MI	768.03	768.03	768.03	768.03					1.0	0																			768.03		768.03								
2016-02-16 08:00:00	6	662.3	653.58	653.58	662.3	597.85	ABC.MI	799.11	809.78	799.11	809.78					1.0	0																		809.78											
2016-02-17 08:00:00	0	662.3	662.3	662.3	662.3	597.85	ABC.MI	790.21	790.21	790.21	790.21					1.0	0																			790.21										
2016-02-18 08:00:00	0	662.3	662.3	662.3	662.3	597.85	ABC.MI	802.49	802.49	802.49	802.49					1.0	0																													
2016-02-19 08:00:00	0	662.3	662.3	662.3	662.3	597.85	ABC.MI	812.08	812.08	812.08	812.08					1.0	0							662.3											812.08											
