date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	581549	8.0	7.82	7.99	7.88	7.39	AMP.MI	7.98	8.0	7.82	7.88						0																																
2016-01-05 08:00:00	1026450	8.1	7.88	7.97	7.93	7.45	AMP.MI	7.87	8.0	7.78	7.84						0							8.1														7.78											
2016-01-06 08:00:00	412059	7.97	7.76	7.97	7.85	7.37	AMP.MI	8.1	8.1	7.87	7.97						0																																
2016-01-07 08:00:00	1059490	7.95	7.56	7.76	7.91	7.42	AMP.MI	7.96	8.16	7.76	8.12						0																																
2016-01-08 08:00:00	564414	7.99	7.68	7.95	7.68	7.21	AMP.MI	8.3	8.34	8.01	8.01						0																				8.34												
2016-01-11 08:00:00	790319	7.71	7.3	7.71	7.47	7.02	AMP.MI	8.09	8.09	7.66	7.85						0								7.3													7.66		7.66							7.66		
2016-01-12 08:00:00	410093	7.76	7.41	7.41	7.75	7.27	AMP.MI	7.7	8.05	7.69	8.05						0																																
2016-01-13 08:00:00	362072	7.93	7.8	7.89	7.82	7.34	AMP.MI	8.13	8.16	8.03	8.05						0							7.93													8.16												
2016-01-14 08:00:00	286862	7.8	7.59	7.72	7.69	7.22	AMP.MI	8.08	8.17	7.95	8.05						0																					7.95											
2016-01-15 08:00:00	741151	7.89	7.53	7.89	7.55	7.09	AMP.MI	8.52	8.52	8.13	8.15						0																																
2016-01-18 08:00:00	895306	7.64	7.49	7.5	7.61	7.14	AMP.MI	8.32	8.48	8.3	8.44						0								7.49																								
2016-01-19 08:00:00	647831	7.89	7.61	7.61	7.72	7.25	AMP.MI	8.35	8.66	8.35	8.48						0							7.89																									
2016-01-20 08:00:00	661465	7.74	7.43	7.66	7.5	7.04	AMP.MI	8.84	8.93	8.58	8.65						0								7.43		7.43										8.93												
2016-01-21 08:00:00	921804	7.78	7.5	7.53	7.66	7.19	AMP.MI	8.33	8.62	8.31	8.48						0																					8.31											
2016-01-22 08:00:00	615481	7.94	7.7	7.7	7.89	7.4	AMP.MI	8.39	8.65	8.39	8.59						0							7.94																									
2016-01-25 08:00:00	474730	7.95	7.74	7.95	7.77	7.29	AMP.MI	8.84	8.84	8.61	8.64						0								7.74												8.84												
2016-01-26 08:00:00	589071	7.95	7.66	7.79	7.89	7.41	AMP.MI	8.54	8.71	8.4	8.65						0																					8.4											
2016-01-27 08:00:00	324890	7.95	7.8	7.82	7.85	7.37	AMP.MI	8.6	8.75	8.58	8.64						0							7.95																									
2016-01-28 08:00:00	401224	7.94	7.59	7.94	7.68	7.2	AMP.MI	9.05	9.05	8.65	8.75						0																				9.05												
2016-01-29 08:00:00	492355	7.78	7.68	7.71	7.71	7.24	AMP.MI	8.57	8.65	8.53	8.57						0								7.68													8.53											
2016-02-01 08:00:00	1040540	8.09	7.76	7.82	7.95	7.47	AMP.MI	8.77	9.07	8.7	8.92					1.0	0							8.09		8.09																							
2016-02-02 08:00:00	565890	8.08	7.78	8.06	7.82	7.34	AMP.MI	9.33	9.35	9.01	9.05					1.0	0																																
2016-02-03 08:00:00	365035	7.86	7.61	7.83	7.66	7.19	AMP.MI	9.32	9.36	9.06	9.13					1.0	0																				9.36												
2016-02-04 08:00:00	408165	7.78	7.46	7.72	7.57	7.11	AMP.MI	9.08	9.15	8.78	8.9					1.0	0																																
2016-02-05 08:00:00	302407	7.61	7.28	7.52	7.35	6.9	AMP.MI	9.04	9.15	8.74	8.83					1.0	0																					8.74											
2016-02-08 08:00:00	490917	7.35	6.93	7.3	6.99	6.56	AMP.MI	9.21	9.27	8.73	8.82					1.0	0																																
2016-02-09 08:00:00	843907	7.26	6.86	6.92	6.93	6.5	AMP.MI	9.02	9.45	8.94	9.03					1.0	0								6.86												9.45		9.45										
2016-02-10 08:00:00	619256	7.26	6.93	6.95	7.07	6.64	AMP.MI	8.62	9.0	8.6	8.78					1.0	0							7.26														8.6											
2016-02-11 08:00:00	688119	7.08	6.76	7.07	6.8	6.38	AMP.MI	9.29	9.31	8.88	8.94					1.0	0																				9.31												
2016-02-12 08:00:00	487657	6.9	6.71	6.76	6.76	6.34	AMP.MI	8.48	8.66	8.42	8.48					1.0	0								6.71		6.71		6.71					6.71															
2016-02-15 08:00:00	620923	7.03	6.84	6.84	6.89	6.47	AMP.MI	8.33	8.56	8.32	8.39					1.0	0																					8.32											
2016-02-16 08:00:00	498343	7.13	6.93	6.96	7.11	6.67	AMP.MI	8.51	8.72	8.47	8.69					1.0	0																																
2016-02-17 08:00:00	1346374	7.55	7.09	7.11	7.39	6.94	AMP.MI	8.48	9.01	8.45	8.82					1.0	0																																
2016-02-18 08:00:00	512986	7.54	7.34	7.54	7.39	6.94	AMP.MI	9.14	9.14	8.9	8.95					1.0	0							7.54		7.54											9.14												
2016-02-19 08:00:00	449688	7.41	7.16	7.33	7.2	6.76	AMP.MI	8.99	9.09	8.79	8.83					1.0	0								7.16																								
2016-02-22 08:00:00	336718	7.4	7.11	7.39	7.34	6.89	AMP.MI	8.76	8.77	8.43	8.69					1.0	0							7.4														8.43											
2016-02-23 08:00:00	259216	7.33	7.2	7.26	7.2	6.75	AMP.MI	8.78	8.86	8.69	8.69					1.0	0																																
2016-02-24 08:00:00	652964	7.32	7.01	7.27	7.11	6.68	AMP.MI	9.02	9.07	8.69	8.82					1.0	0								7.01		7.01																						
2016-02-25 08:00:00	712401	7.51	7.13	7.13	7.51	7.05	AMP.MI	8.64	9.1	8.64	9.1					1.0	0																				9.1												
2016-02-26 08:00:00	634905	7.62	7.41	7.51	7.5	7.04	AMP.MI	8.91	9.04	8.79	8.89					1.0	0							7.62		7.62																							
2016-02-29 08:00:00	408673	7.51	7.35	7.49	7.4	6.95	AMP.MI	8.82	8.84	8.65	8.71					1.0	0								7.35																								
2016-03-01 08:00:00	247981	7.5	7.4	7.49	7.5	7.04	AMP.MI	8.62	8.63	8.52	8.63					1.0	0							7.5																									
2016-03-02 08:00:00	452580	7.68	7.3	7.68	7.39	6.94	AMP.MI	8.75	8.75	8.32	8.42					-1.0	0																																
2016-03-03 08:00:00	383515	7.45	7.14	7.45	7.3	6.86	AMP.MI	8.41	8.42	8.07	8.25					-1.0	0								7.14													8.07											
2016-03-04 08:00:00	254992	7.41	7.28	7.35	7.3	6.85	AMP.MI	8.34	8.41	8.25	8.28					-1.0	0							7.41																									
2016-03-07 08:00:00	471842	7.4	7.24	7.3	7.34	6.89	AMP.MI	8.38	8.5	8.31	8.43					-1.0	0																				8.5												
2016-03-08 08:00:00	288953	7.39	7.11	7.37	7.11	6.67	AMP.MI	8.48	8.5	8.18	8.18					-1.0	0																																
2016-03-09 08:00:00	332635	7.22	7.07	7.1	7.15	6.71	AMP.MI	8.08	8.23	8.06	8.14					-1.0	0								7.07		7.07											8.06											
2016-03-10 08:00:00	387072	7.32	7.07	7.2	7.12	6.68	AMP.MI	8.25	8.37	8.1	8.15					-1.0	0																				8.37												
2016-03-11 08:00:00	353216	7.35	7.07	7.07	7.3	6.85	AMP.MI	7.72	8.03	7.72	7.97					-1.0	0																					7.72		7.72									
2016-03-14 08:00:00	402066	7.44	7.24	7.3	7.35	6.9	AMP.MI	7.98	8.13	7.91	8.03					-1.0	0							7.44																									
2016-03-15 08:00:00	448263	7.42	7.22	7.3	7.28	6.84	AMP.MI	8.07	8.2	7.97	8.05					-1.0	0								7.22																								
2016-03-16 08:00:00	408735	7.4	7.23	7.28	7.36	6.91	AMP.MI	8.06	8.19	8.0	8.15					-1.0	0																																
2016-03-17 08:00:00	591250	7.55	7.36	7.45	7.53	7.06	AMP.MI	8.3	8.41	8.2	8.38					-1.0	0																																
2016-03-18 08:00:00	849428	7.7	7.5	7.57	7.64	7.17	AMP.MI	8.44	8.58	8.36	8.51					-1.0	0																																
2016-03-21 08:00:00	624811	7.75	7.59	7.7	7.61	7.14	AMP.MI	8.53	8.59	8.41	8.43					-1.0	0																																
2016-03-22 08:00:00	644298	7.93	7.55	7.59	7.91	7.42	AMP.MI	8.42	8.79	8.37	8.77					-1.0	0							7.93		7.93																							
2016-03-23 08:00:00	367903	7.95	7.64	7.9	7.74	7.27	AMP.MI	8.87	8.93	8.58	8.69					-1.0	0																																
2016-03-24 08:00:00	166161	7.76	7.63	7.72	7.63	7.16	AMP.MI	8.82	8.86	8.71	8.71					-1.0	0																				8.86												
2016-03-29 07:00:00	601185	7.68	7.48	7.62	7.56	7.1	AMP.MI	8.69	8.76	8.53	8.63					-1.0	0								7.48													8.53											
2016-03-30 07:00:00	253910	7.82	7.54	7.54	7.78	7.3	AMP.MI	8.51	8.83	8.51	8.77					-1.0	0							7.82																									
2016-03-31 07:00:00	337648	7.76	7.59	7.7	7.62	7.15	AMP.MI	8.81	8.89	8.69	8.72					-1.0	0																																
2016-04-01 07:00:00	722075	7.76	7.42	7.58	7.7	7.23	AMP.MI	8.84	9.06	8.65	8.98					1.0	0																																
2016-04-04 07:00:00	466696	7.7	7.5	7.64	7.68	7.21	AMP.MI	8.97	9.05	8.82	9.03					1.0	0																																
2016-04-05 07:00:00	279615	7.7	7.51	7.6	7.63	7.16	AMP.MI	9.21	9.33	9.1	9.25					1.0	0								7.51												9.33												
2016-04-06 07:00:00	286573	7.68	7.53	7.61	7.68	7.21	AMP.MI	9.15	9.24	9.06	9.24					1.0	0							7.68														9.06											
2016-04-07 07:00:00	227740	7.66	7.45	7.61	7.45	6.99	AMP.MI	9.39	9.45	9.18	9.18					1.0	0								7.45												9.45		9.45										
2016-04-08 07:00:00	250709	7.64	7.45	7.48	7.62	7.15	AMP.MI	8.86	9.06	8.82	9.03					1.0	0							7.64																									
2016-04-11 07:00:00	210960	7.62	7.42	7.61	7.43	6.97	AMP.MI	8.9	8.92	8.68	8.69					1.0	0								7.42		7.42											8.68											
2016-04-12 07:00:00	310537	7.57	7.37	7.49	7.57	7.11	AMP.MI	8.91	9.0	8.76	9.0					1.0	0																				9.0												
2016-04-13 07:00:00	460281	7.59	7.43	7.57	7.52	7.06	AMP.MI	8.65	8.67	8.47	8.58					1.0	0																					8.47		8.47									
2016-04-14 07:00:00	187563	7.7	7.54	7.54	7.68	7.21	AMP.MI	8.53	8.71	8.53	8.69					1.0	0							7.7													8.71												
2016-04-15 07:00:00	231734	7.7	7.5	7.68	7.61	7.14	AMP.MI	8.72	8.74	8.52	8.64					1.0	0								7.5													8.52											
2016-04-18 07:00:00	380604	7.85	7.55	7.64	7.8	7.33	AMP.MI	8.63	8.87	8.52	8.82					1.0	0																																
2016-04-19 07:00:00	308594	7.95	7.77	7.85	7.78	7.3	AMP.MI	8.82	8.94	8.73	8.74					1.0	1							7.95													8.94		8.94										
2016-04-20 07:00:00	459218	7.89	7.64	7.74	7.86	7.38	AMP.MI	8.6	8.77	8.49	8.74					1.0	1																																
2016-04-21 07:00:00	257235	7.87	7.66	7.87	7.76	7.28	AMP.MI	8.71	8.71	8.48	8.59					1.0	1																																
2016-04-22 07:00:00	127604	7.82	7.64	7.8	7.69	7.22	AMP.MI	8.65	8.67	8.48	8.53					1.0	1																					8.48		8.48									
2016-04-25 07:00:00	132820	7.74	7.64	7.65	7.68	7.2	AMP.MI	8.62	8.73	8.61	8.65					1.0	1								7.64												8.73												
2016-04-26 07:00:00	241339	7.79	7.66	7.66	7.75	7.27	AMP.MI	8.51	8.65	8.51	8.61					1.0	1																					8.51											
