volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
949264	21.41	20.53	21.41	20.54	11.57	AZM.MI	21.41	21.41	20.53	20.54			0.0			0																	21.41																						
1139662	20.9	20.14	20.85	20.31	11.44	AZM.MI	20.6	20.66	19.9	20.07			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1138879	20.29	19.53	20.29	19.89	11.2	AZM.MI	20.6	20.6	19.83	20.19			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1415018	19.67	18.83	19.44	19.33	10.89	AZM.MI	19.97	20.2	19.34	19.85			0.0			0																				19.34												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
933755	19.57	18.8	19.37	18.8	10.59	AZM.MI	20.21	20.43	19.62	19.62			0.0			0																			20.43													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1038503	19.18	18.54	18.79	18.85	10.62	AZM.MI	19.72	20.13	19.46	19.78			0.0			0								18.54												19.46												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1092313	19.45	18.88	18.94	19.4	10.93	AZM.MI	19.67	20.2	19.6	20.14			0.0			0							19.45												20.2													0.0	0.0	0.0	0.0	0.0	0.0		0.0
1190425	19.68	18.9	19.58	18.97	10.68	AZM.MI	20.16	20.26	19.46	19.53			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1319004	18.78	18.1	18.74	18.24	10.28	AZM.MI	19.62	19.67	18.95	19.1			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1256919	18.26	17.42	18.11	17.7	9.97	AZM.MI	19.56	19.72	18.82	19.12			0.0			0																				18.82												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1235338	18.01	16.85	17.69	17.36	9.78	AZM.MI	19.63	19.98	18.69	19.26			0.0			0								16.85																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
930072	18.03	17.22	17.77	17.79	10.02	AZM.MI	19.51	19.8	18.91	19.53			0.0			0							18.03																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
