volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
31271	16.32	15.93	16.0	16.25	15.31	BC.MI	16.0	16.32	15.93	16.25			0.0			0																																								
61148	16.33	15.88	15.95	15.9	14.98	BC.MI	15.76	16.14	15.69	15.71			0.0			0																					15.69												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
43332	15.9	15.48	15.9	15.5	14.6	BC.MI	16.14	16.14	15.72	15.74			0.0			0																				16.14													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
93050	15.47	14.41	15.36	15.17	14.29	BC.MI	15.77	15.89	14.8	15.58			0.0			0								14.41													14.8		14.8							14.8			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
48466	15.48	14.93	15.02	14.93	14.06	BC.MI	15.67	16.15	15.58	15.58			0.0			0							15.48													16.15													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
42969	15.3	14.8	15.0	14.91	14.05	BC.MI	15.74	16.06	15.53	15.65			0.0			0								14.8													15.53												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
322716	16.6	15.16	15.33	16.25	15.31	BC.MI	15.92	17.24	15.74	16.87			0.0			0																				17.24													0.0	0.0	0.0	0.0	0.0	0.0		0.0
95690	16.37	15.81	16.25	16.1	15.17	BC.MI	16.73	16.85	16.28	16.57			0.0			0																					16.28												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
143300	16.4	15.8	16.15	16.4	15.45	BC.MI	16.91	17.17	16.54	17.17			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
136177	16.46	15.81	16.37	16.38	15.43	BC.MI	17.68	17.78	17.08	17.69			0.0			0							16.46		16.46											17.78													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
