volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
72032	0.33	0.31	0.33	0.33	0.33	BIA.MI	0.33	0.33	0.31	0.33			0.0			0																																			
129943	0.33	0.31	0.33	0.32	0.32	BIA.MI	0.32	0.33	0.31	0.31			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17817	0.33	0.32	0.32	0.32	0.32	BIA.MI	0.33	0.33	0.32	0.32			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
222196	0.33	0.31	0.31	0.31	0.31	BIA.MI	0.32	0.33	0.32	0.32			0.0			0								0.31																				-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
39330	0.33	0.31	0.31	0.31	0.31	BIA.MI	0.33	0.34	0.33	0.33			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
68014	0.33	0.31	0.31	0.31	0.31	BIA.MI	0.32	0.34	0.32	0.33			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
38308	0.32	0.31	0.31	0.32	0.32	BIA.MI	0.32	0.33	0.32	0.33			0.0			0							0.32																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
19211	0.33	0.32	0.32	0.32	0.32	BIA.MI	0.33	0.34	0.33	0.33			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
83643	0.32	0.31	0.32	0.32	0.32	BIA.MI	0.34	0.34	0.32	0.33			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
37137	0.32	0.31	0.32	0.32	0.32	BIA.MI	0.35	0.35	0.33	0.34			0.0			0																	0.35											0.0	0.0	0.0	0.0	0.0	0.0		0.0
80981	0.31	0.29	0.31	0.3	0.3	BIA.MI	0.34	0.35	0.33	0.33			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
95480	0.31	0.28	0.3	0.29	0.29	BIA.MI	0.33	0.34	0.31	0.32			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
134478	0.29	0.27	0.29	0.28	0.28	BIA.MI	0.34	0.34	0.31	0.32			0.0			0								0.27										0.31										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
95135	0.3	0.27	0.27	0.28	0.28	BIA.MI	0.3	0.33	0.3	0.32			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
52078	0.3	0.29	0.3	0.29	0.29	BIA.MI	0.33	0.33	0.32	0.32			0.0			0							0.3																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
62439	0.3	0.29	0.3	0.29	0.29	BIA.MI	0.33	0.33	0.33	0.33			0.0			0																	0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
155464	0.3	0.28	0.29	0.29	0.29	BIA.MI	0.31	0.33	0.31	0.31			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
69207	0.29	0.28	0.29	0.28	0.28	BIA.MI	0.32	0.32	0.31	0.31			0.0			0																		0.31										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
32753	0.29	0.28	0.28	0.28	0.28	BIA.MI	0.32	0.33	0.32	0.32			0.0			0																	0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
11405	0.29	0.27	0.28	0.29	0.29	BIA.MI	0.31	0.32	0.3	0.32			0.0			0																		0.3										0.0	0.0	0.0	0.0	0.0	0.0		0.0
22087	0.29	0.27	0.27	0.28	0.28	BIA.MI	0.31	0.32	0.31	0.31			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
45999	0.29	0.27	0.28	0.28	0.28	BIA.MI	0.32	0.33	0.31	0.33			0.0			0																	0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
79124	0.28	0.27	0.28	0.27	0.27	BIA.MI	0.33	0.33	0.32	0.32			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
113478	0.27	0.25	0.27	0.26	0.26	BIA.MI	0.32	0.32	0.3	0.31			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
126885	0.27	0.25	0.25	0.25	0.25	BIA.MI	0.3	0.32	0.3	0.3			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
158781	0.25	0.22	0.25	0.24	0.24	BIA.MI	0.32	0.32	0.28	0.3			0.0		-1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
296672	0.24	0.22	0.24	0.22	0.22	BIA.MI	0.31	0.31	0.28	0.29			0.0		-1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
90003	0.24	0.22	0.22	0.23	0.23	BIA.MI	0.28	0.29	0.28	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
382540	0.23	0.2	0.23	0.2	0.2	BIA.MI	0.31	0.31	0.26	0.26			0.0		-1.0	0								0.2		0.2				0.2														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
190779	0.22	0.2	0.2	0.21	0.21	BIA.MI	0.25	0.27	0.25	0.26			0.0		-1.0	0																		0.25		0.25								0.0	0.0	0.0	0.0	0.0	0.0		0.0
125120	0.23	0.22	0.22	0.23	0.23	BIA.MI	0.26	0.28	0.26	0.28			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
294578	0.23	0.22	0.22	0.23	0.23	BIA.MI	0.27	0.29	0.27	0.28			0.0		-1.0	0																	0.29											0.0	0.0	0.0	0.0	0.0	0.0		0.0
66776	0.23	0.22	0.23	0.23	0.23	BIA.MI	0.28	0.28	0.26	0.27			0.0		-1.0	0																		0.26										0.0	0.0	0.0	0.0	0.0	0.0		0.0
258687	0.27	0.23	0.23	0.27	0.27	BIA.MI	0.28	0.33	0.28	0.33			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
636202	0.3	0.27	0.27	0.28	0.28	BIA.MI	0.34	0.37	0.33	0.35			0.0		1.0	0																	0.37		0.37									0.0	0.0	0.0	0.0	0.0	0.0		0.0
147823	0.3	0.29	0.3	0.29	0.29	BIA.MI	0.35	0.35	0.34	0.34			0.0		1.0	0							0.3																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
128387	0.3	0.27	0.3	0.28	0.28	BIA.MI	0.36	0.36	0.33	0.33			0.0		1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
71976	0.28	0.27	0.28	0.27	0.27	BIA.MI	0.35	0.35	0.33	0.33			0.0		1.0	0								0.27																				-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
9861	0.28	0.27	0.27	0.28	0.28	BIA.MI	0.33	0.34	0.32	0.34			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
28770	0.28	0.28	0.28	0.28	0.28	BIA.MI	0.33	0.33	0.33	0.33			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
15405	0.28	0.27	0.28	0.28	0.28	BIA.MI	0.33	0.34	0.32	0.33			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
12331	0.28	0.27	0.28	0.27	0.27	BIA.MI	0.32	0.33	0.31	0.32			0.0		1.0	0																		0.31										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
132798	0.3	0.28	0.3	0.28	0.28	BIA.MI	0.34	0.34	0.32	0.32			0.0		1.0	0																	0.34											0.0	0.0	0.0	0.0	0.0	0.0		0.0
66217	0.3	0.28	0.3	0.29	0.29	BIA.MI	0.33	0.33	0.32	0.32			0.0		1.0	0							0.3											0.32										0.0	0.0	0.0	0.0	0.0	0.0		0.0
25605	0.29	0.28	0.29	0.29	0.29	BIA.MI	0.33	0.33	0.32	0.32			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
23675	0.29	0.28	0.29	0.29	0.29	BIA.MI	0.33	0.33	0.32	0.33			0.0		1.0	0								0.28									0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
40351	0.29	0.28	0.29	0.28	0.28	BIA.MI	0.33	0.33	0.32	0.32			0.0		1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12624	0.29	0.28	0.28	0.28	0.28	BIA.MI	0.32	0.33	0.32	0.32			0.0		1.0	0							0.29																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
63233	0.28	0.28	0.28	0.28	0.28	BIA.MI	0.33	0.33	0.32	0.32			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
9892	0.28	0.28	0.28	0.28	0.28	BIA.MI	0.3	0.31	0.3	0.3			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
52991	0.28	0.28	0.28	0.28	0.28	BIA.MI	0.31	0.31	0.3	0.3			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
80157	0.28	0.27	0.28	0.27	0.27	BIA.MI	0.31	0.31	0.3	0.3			0.0		1.0	0																		0.3										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
93338	0.28	0.26	0.28	0.27	0.27	BIA.MI	0.31	0.31	0.29	0.29			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
17310	0.27	0.26	0.27	0.27	0.27	BIA.MI	0.3	0.31	0.3	0.3			0.0		1.0	0								0.26																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
96136	0.28	0.27	0.27	0.27	0.27	BIA.MI	0.3	0.32	0.3	0.3			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
28008	0.28	0.28	0.28	0.28	0.28	BIA.MI	0.31	0.31	0.31	0.31			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
44138	0.28	0.27	0.28	0.28	0.28	BIA.MI	0.31	0.31	0.3	0.31			0.0		1.0	0							0.28										0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
17488	0.28	0.27	0.28	0.28	0.28	BIA.MI	0.31	0.31	0.3	0.31			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
15057	0.28	0.27	0.27	0.27	0.27	BIA.MI	0.31	0.32	0.31	0.31			0.0		1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
38287	0.27	0.26	0.27	0.27	0.27	BIA.MI	0.31	0.31	0.3	0.31			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
22597	0.27	0.26	0.27	0.27	0.27	BIA.MI	0.3	0.31	0.3	0.3			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
15740	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.3	0.3	0.3	0.3			0.0		1.0	0																		0.3										0.0	0.0	0.0	0.0	0.0	0.0		0.0
73837	0.26	0.25	0.26	0.26	0.26	BIA.MI	0.3	0.3	0.3	0.3			0.0		1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
24630	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.3	0.31	0.3	0.3			0.0		1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
34268	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.3	0.31	0.3	0.31			0.0		1.0	0																	0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
7346	0.26	0.25	0.26	0.25	0.25	BIA.MI	0.31	0.31	0.3	0.3			0.0		1.0	0																		0.3										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4110	0.25	0.25	0.25	0.25	0.25	BIA.MI	0.31	0.31	0.3	0.31			0.0		1.0	0								0.25									0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
14350	0.25	0.24	0.24	0.25	0.25	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0																		0.29										0.0	0.0	0.0	0.0	0.0	0.0		0.0
57	0.25	0.25	0.25	0.25	0.25	BIA.MI	0.3	0.3	0.3	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
90254	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.3	0.31	0.3	0.31			0.0		-1.0	0																	0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
91306	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
25661	0.27	0.26	0.27	0.26	0.26	BIA.MI	0.31	0.31	0.29	0.29			0.0		-1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
106057	0.27	0.25	0.27	0.25	0.25	BIA.MI	0.31	0.31	0.28	0.28			0.0		-1.0	0																		0.28		0.28								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
260013	0.28	0.26	0.26	0.26	0.26	BIA.MI	0.29	0.31	0.29	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
40895	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.3	0.3	0.3	0.3			0.0		-1.0	0																	0.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
