volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
11110	0.28	0.28	0.28	0.28	0.24	BO.MI	0.28	0.28	0.28	0.28			0.0			0																																				
0	0.28	0.28	0.28	0.28	0.24	BO.MI	0.28	0.28	0.28	0.28			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.28	0.28	0.28	0.28	0.24	BO.MI	0.28	0.28	0.28	0.28			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
9008	0.28	0.28	0.28	0.28	0.24	BO.MI	0.29	0.29	0.29	0.29			0.0			0																		0.29											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.28	0.28	0.28	0.28	0.24	BO.MI	0.29	0.29	0.29	0.29			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
9139	0.27	0.27	0.27	0.27	0.23	BO.MI	0.28	0.28	0.28	0.28			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6006	0.27	0.27	0.27	0.27	0.23	BO.MI	0.28	0.28	0.28	0.28			0.0			0																			0.28										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.28	0.28	0.28	0.28			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.28	0.28	0.28	0.28			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.29	0.29	0.29	0.29			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
9880	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.31	0.31	0.31	0.31			0.0			0																		0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																			0.3										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.31	0.31	0.31	0.31			0.0			0																		0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.27	0.27	0.27	0.27	0.23	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
512	0.26	0.26	0.26	0.26	0.22	BO.MI	0.29	0.29	0.29	0.29			0.0			0																			0.29		0.29								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1001	0.26	0.26	0.26	0.26	0.22	BO.MI	0.3	0.3	0.3	0.3			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.26	0.26	0.26	0.26	0.22	BO.MI	0.31	0.31	0.31	0.31			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.26	0.26	0.26	0.26	0.22	BO.MI	0.31	0.31	0.31	0.31			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.26	0.26	0.26	0.26	0.22	BO.MI	0.31	0.31	0.31	0.31			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
5005	0.26	0.26	0.26	0.26	0.22	BO.MI	0.33	0.33	0.33	0.33			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
1501	0.26	0.26	0.26	0.26	0.22	BO.MI	0.34	0.34	0.34	0.34			0.0		1.0	0																		0.34											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.26	0.26	0.26	0.26	0.22	BO.MI	0.32	0.32	0.32	0.32			0.0		1.0	0																			0.32	0.32									0.0	0.0	0.0	0.0	0.0	0.0		0.0
