volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
90003	0.41	0.4	0.41	0.41	0.36	CIR.MI	0.41	0.41	0.4	0.41			0.0			0																																			
34874	0.42	0.41	0.41	0.42	0.38	CIR.MI	0.41	0.42	0.4	0.42			0.0			0							0.42																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
28227	0.42	0.41	0.42	0.42	0.37	CIR.MI	0.43	0.43	0.42	0.43			0.0			0																	0.43											0.0	0.0	0.0	0.0	0.0	0.0		0.0
83279	0.41	0.4	0.41	0.41	0.37	CIR.MI	0.43	0.43	0.41	0.42			0.0			0								0.4										0.41										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
44447	0.42	0.41	0.41	0.41	0.37	CIR.MI	0.43	0.44	0.43	0.43			0.0			0							0.42																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
71244	0.43	0.41	0.41	0.41	0.37	CIR.MI	0.43	0.45	0.43	0.43			0.0			0																	0.45		0.45									0.0	0.0	0.0	0.0	0.0	0.0		0.0
58014	0.42	0.41	0.42	0.41	0.37	CIR.MI	0.43	0.44	0.42	0.43			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
183012	0.43	0.41	0.42	0.41	0.36	CIR.MI	0.43	0.44	0.42	0.42			0.0			0																		0.42										0.0	0.0	0.0	0.0	0.0	0.0		0.0
376498	0.41	0.41	0.41	0.41	0.37	CIR.MI	0.43	0.43	0.43	0.43			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
679980	0.41	0.4	0.41	0.41	0.36	CIR.MI	0.44	0.44	0.43	0.44			0.0			0																	0.44											0.0	0.0	0.0	0.0	0.0	0.0		0.0
66923	0.4	0.39	0.4	0.4	0.36	CIR.MI	0.45	0.45	0.43	0.45			0.0			0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
