volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
5120	14.0	13.7	14.0	13.7	9.58	CMB.MI	14.0	14.0	13.7	13.7			0.0			0																														13.7										
14550	14.17	13.86	13.93	14.17	9.91	CMB.MI	13.76	14.0	13.7	14.0			0.0			0							14.17																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
1924	14.27	13.81	14.17	13.81	9.66	CMB.MI	14.39	14.49	14.02	14.02			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16770	14.08	13.62	13.8	13.94	9.75	CMB.MI	14.17	14.46	13.99	14.32			0.0			0								13.62																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
9002	14.2	13.94	14.02	13.94	9.75	CMB.MI	14.63	14.82	14.55	14.55			0.0			0							14.2		14.2																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
6401	14.0	13.95	13.96	13.95	9.76	CMB.MI	14.65	14.69	14.64	14.64			0.0			0								13.95												14.69													0.0	0.0	0.0	0.0	0.0	0.0		0.0
753	14.0	13.95	13.95	14.0	9.79	CMB.MI	14.48	14.54	14.48	14.54			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
1854	14.0	13.98	14.0	14.0	9.79	CMB.MI	14.41	14.41	14.39	14.41			0.0			0							14.0														14.39												0.0	0.0	0.0	0.0	0.0	0.0		0.0
5726	14.0	13.8	14.0	13.88	9.71	CMB.MI	14.66	14.66	14.45	14.53			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15279	14.3	13.5	13.99	13.81	9.66	CMB.MI	15.11	15.45	14.58	14.92			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4956	14.06	13.4	14.06	13.55	9.48	CMB.MI	15.6	15.6	14.87	15.03			0.0			0								13.4												15.6													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1260	13.99	13.55	13.55	13.82	9.67	CMB.MI	14.88	15.36	14.88	15.18			0.0			0							13.99														14.88												0.0	0.0	0.0	0.0	0.0	0.0		0.0
5420	13.95	13.46	13.95	13.74	9.61	CMB.MI	16.1	16.1	15.53	15.86			0.0			0																				16.1		16.1											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16943	13.85	12.83	13.65	13.85	9.69	CMB.MI	15.12	15.34	14.21	15.34			0.0			0								12.83													14.21		14.21										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4800	13.9	13.6	13.89	13.75	9.62	CMB.MI	15.14	15.15	14.82	14.98			0.0			0							13.9																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
764	13.75	13.45	13.75	13.63	9.53	CMB.MI	15.29	15.29	14.96	15.16			0.0			0								13.45												15.29													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6463	13.74	13.46	13.74	13.74	9.61	CMB.MI	15.05	15.05	14.75	15.05			0.0			0																					14.75												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1236	13.85	13.64	13.75	13.64	9.54	CMB.MI	15.13	15.24	15.0	15.0			0.0			0							13.85																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
622	13.85	13.55	13.75	13.55	9.48	CMB.MI	15.67	15.79	15.45	15.45			0.0			0								13.55												15.79													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1646	13.79	13.5	13.75	13.75	9.62	CMB.MI	15.28	15.33	15.0	15.28			0.0			0																					15.0												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1401	13.8	13.64	13.8	13.64	9.54	CMB.MI	15.48	15.48	15.3	15.3			0.0			0							13.8																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1906	13.75	13.5	13.56	13.5	9.44	CMB.MI	15.69	15.91	15.62	15.62			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3762	13.68	13.01	13.45	13.11	9.17	CMB.MI	16.02	16.29	15.49	15.61			0.0		1.0	0																				16.29		16.29											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2451	13.31	12.98	13.28	13.01	9.1	CMB.MI	15.62	15.66	15.27	15.3			0.0		1.0	0								12.98													15.27												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1794	13.48	13.0	13.14	13.12	9.18	CMB.MI	15.79	16.2	15.63	15.77			0.0		1.0	0							13.48													16.2													0.0	0.0	0.0	0.0	0.0	0.0		0.0
8538	13.2	11.94	13.1	12.4	8.67	CMB.MI	16.52	16.65	15.06	15.64			0.0		1.0	0																					15.06		15.06										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5616	12.5	11.6	12.5	12.35	8.64	CMB.MI	16.29	16.29	15.11	16.09			0.0		1.0	0								11.6		11.6							11.6			16.29													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3639	12.98	12.3	12.3	12.78	8.94	CMB.MI	15.26	16.1	15.26	15.85			0.0		1.0	0							12.98														15.26												0.0	0.0	0.0	0.0	0.0	0.0		0.0
895	12.79	12.5	12.79	12.53	8.76	CMB.MI	16.81	16.81	16.43	16.47			0.0		1.0	0																				16.81													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1135	12.54	12.5	12.54	12.5	8.74	CMB.MI	15.74	15.74	15.69	15.69			0.0		1.0	0								12.5																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3280	13.0	12.62	12.72	12.8	8.95	CMB.MI	15.48	15.82	15.35	15.57			0.0		1.0	0																					15.35												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3359	13.29	12.8	12.8	13.05	9.13	CMB.MI	15.65	16.25	15.65	15.96			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2599	13.74	13.02	13.02	13.68	9.57	CMB.MI	15.53	16.39	15.53	16.32			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
9790	13.9	13.68	13.68	13.73	9.6	CMB.MI	16.58	16.84	16.58	16.64			0.0		1.0	0							13.9		13.9											16.84		16.84		16.84									0.0	0.0	0.0	0.0	0.0	0.0		0.0
3330	13.73	13.35	13.73	13.5	9.44	CMB.MI	16.83	16.83	16.37	16.55			0.0		1.0	0								13.35																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3428	13.78	13.45	13.6	13.45	9.41	CMB.MI	16.11	16.32	15.93	15.93			0.0		1.0	0							13.78																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1813	13.35	13.05	13.12	13.16	9.21	CMB.MI	15.85	16.13	15.77	15.9			0.0		1.0	0								13.05													15.77												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
318	13.3	13.11	13.11	13.3	9.3	CMB.MI	16.26	16.49	16.26	16.49			0.0		1.0	0																				16.49													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2404	13.58	12.91	13.49	13.3	9.3	CMB.MI	16.35	16.46	15.65	16.12			0.0		1.0	0							13.58																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
6860	13.73	12.92	13.03	12.92	9.04	CMB.MI	15.45	16.28	15.32	15.32			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6024	13.32	12.8	13.05	12.8	8.95	CMB.MI	15.35	15.67	15.06	15.06			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2917	13.13	12.8	12.8	12.85	8.99	CMB.MI	14.73	15.11	14.73	14.79			0.0		-1.0	0								12.8		12.8											14.73												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2536	13.36	13.0	13.0	13.19	9.23	CMB.MI	14.81	15.22	14.81	15.02			0.0		-1.0	0							13.36													15.22													0.0	0.0	0.0	0.0	0.0	0.0		0.0
418	13.2	13.0	13.0	13.07	9.14	CMB.MI	14.69	14.92	14.69	14.77			0.0		-1.0	0								13.0													14.69		14.69										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
971	13.35	13.02	13.02	13.34	9.33	CMB.MI	14.77	15.14	14.77	15.13			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2174	13.36	13.11	13.36	13.36	9.34	CMB.MI	15.34	15.34	15.05	15.34			0.0		-1.0	0							13.36													15.34													0.0	0.0	0.0	0.0	0.0	0.0		0.0
85780	13.57	12.9	13.14	13.2	9.23	CMB.MI	15.12	15.62	14.84	15.19			0.0		-1.0	0								12.9																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1452	13.56	13.1	13.4	13.31	9.31	CMB.MI	15.26	15.44	14.92	15.16			0.0		-1.0	0																					14.92												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3270	13.65	13.21	13.32	13.64	9.54	CMB.MI	15.24	15.62	15.12	15.61			0.0		-1.0	0																				15.62		15.62											0.0	0.0	0.0	0.0	0.0	0.0		0.0
7650	13.92	13.41	13.65	13.62	9.53	CMB.MI	14.91	15.2	14.64	14.87			0.0		-1.0	0							13.92																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4792	13.65	13.4	13.65	13.6	9.51	CMB.MI	14.91	14.91	14.64	14.86			0.0		-1.0	0								13.4													14.64		14.64										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3240	13.68	13.5	13.6	13.54	9.47	CMB.MI	15.03	15.12	14.92	14.96			0.0		-1.0	0							13.68																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1531	13.68	13.5	13.6	13.5	9.44	CMB.MI	15.05	15.14	14.94	14.94			0.0		-1.0	0								13.5																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
421	13.8	13.5	13.51	13.55	9.48	CMB.MI	15.05	15.38	15.04	15.1			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
7727	14.0	13.55	13.62	13.86	9.69	CMB.MI	15.17	15.6	15.1	15.44			0.0		-1.0	0							14.0		14.0		14.0									15.6													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2799	13.86	13.63	13.86	13.86	9.69	CMB.MI	15.37	15.37	15.11	15.37			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2800	13.95	13.61	13.66	13.7	9.58	CMB.MI	15.15	15.47	15.09	15.19			0.0		-1.0	0																					15.09												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3967	13.79	13.7	13.7	13.7	9.58	CMB.MI	15.39	15.49	15.39	15.39			0.0		-1.0	0								13.7																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
2378	13.79	13.7	13.7	13.72	9.6	CMB.MI	15.64	15.74	15.64	15.66			0.0		-1.0	0							13.79													15.74													0.0	0.0	0.0	0.0	0.0	0.0		0.0
8980	13.8	13.56	13.56	13.58	9.5	CMB.MI	15.47	15.75	15.47	15.49			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2188	13.74	13.5	13.56	13.5	9.44	CMB.MI	15.3	15.5	15.23	15.23			0.0		1.0	0																					15.23												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3040	13.6	13.47	13.5	13.47	9.42	CMB.MI	15.45	15.56	15.42	15.42			0.0		1.0	0								13.47																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15	13.59	13.59	13.59	13.59	9.51	CMB.MI	15.85	15.85	15.85	15.85			0.0		1.0	0							13.59													15.85													0.0	0.0	0.0	0.0	0.0	0.0		0.0
3743	13.59	13.21	13.59	13.32	9.32	CMB.MI	15.97	15.97	15.53	15.66			0.0		1.0	0																					15.53												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2010	13.5	13.03	13.5	13.03	9.11	CMB.MI	16.36	16.36	15.79	15.79			0.0		1.0	0																				16.36													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
