date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	57824	17.45	16.99	17.44	17.0	15.89	DAN.MI	17.44	17.45	16.99	17.0						0																																
2016-01-05 08:00:00	35642	17.16	16.87	17.16	17.14	16.02	DAN.MI	16.96	16.96	16.67	16.94						0																					16.67											
2016-01-06 08:00:00	65319	16.99	16.41	16.99	16.6	15.52	DAN.MI	17.25	17.25	16.66	16.85						0																				17.25												
2016-01-07 08:00:00	96087	16.48	15.85	16.48	15.85	14.82	DAN.MI	16.92	16.92	16.28	16.28						0																																
2016-01-08 08:00:00	81338	16.42	15.47	15.88	15.5	14.49	DAN.MI	16.57	17.13	16.14	16.17						0																																
2016-01-11 08:00:00	42515	15.71	15.2	15.53	15.2	14.21	DAN.MI	16.3	16.49	15.95	15.95						0								15.2													15.95											
2016-01-12 08:00:00	64629	15.85	15.32	15.4	15.58	14.56	DAN.MI	15.99	16.46	15.91	16.18						0							15.85													16.46												
2016-01-13 08:00:00	90915	15.97	15.11	15.83	15.31	14.31	DAN.MI	16.3	16.44	15.56	15.76						0																																
2016-01-14 08:00:00	49474	15.35	14.82	15.35	15.12	14.13	DAN.MI	16.07	16.07	15.52	15.83						0																																
2016-01-15 08:00:00	101980	15.06	14.25	15.0	14.29	13.36	DAN.MI	16.2	16.27	15.39	15.43						0																																
2016-01-18 08:00:00	70420	14.61	13.82	14.28	13.95	13.04	DAN.MI	15.84	16.21	15.33	15.48						0								13.82																								
2016-01-19 08:00:00	51845	14.47	13.97	14.33	14.05	13.13	DAN.MI	15.74	15.89	15.34	15.43						0							14.47														15.34											
2016-01-20 08:00:00	71385	14.1	13.4	13.99	13.4	12.53	DAN.MI	16.14	16.27	15.46	15.46						0								13.4		13.4							13.4			16.27												
2016-01-21 08:00:00	79009	14.18	13.4	13.66	14.12	13.2	DAN.MI	15.13	15.7	14.84	15.64						0																					14.84		14.84							14.84		
2016-01-22 08:00:00	85369	14.55	14.22	14.22	14.32	13.39	DAN.MI	15.49	15.85	15.49	15.6						0																																
2016-01-25 08:00:00	376769	17.35	14.23	14.37	17.33	16.2	DAN.MI	15.98	19.3	15.83	19.28						0																																
2016-01-26 08:00:00	615324	18.95	16.6	17.7	17.5	16.36	DAN.MI	19.39	20.76	18.19	19.17						0																																
2016-01-27 08:00:00	253918	18.5	17.52	17.7	17.8	16.64	DAN.MI	19.47	20.35	19.27	19.58						0							18.5																									
2016-01-28 08:00:00	156267	18.15	17.2	17.63	17.54	16.4	DAN.MI	20.1	20.69	19.61	19.99						0								17.2												20.69												
2016-01-29 08:00:00	116126	17.87	17.29	17.54	17.84	16.68	DAN.MI	19.49	19.86	19.21	19.83						0																					19.21											
2016-02-01 08:00:00	392788	18.66	17.75	17.89	18.66	17.44	DAN.MI	20.07	20.93	19.91	20.93					1.0	0																																
2016-02-02 08:00:00	490894	19.19	18.02	18.6	18.1	16.92	DAN.MI	21.52	22.2	20.85	20.94					1.0	0							19.19		19.19											22.2		22.2										
2016-02-03 08:00:00	293009	18.42	16.75	18.37	16.87	15.77	DAN.MI	21.87	21.93	19.95	20.09					1.0	0																																
2016-02-04 08:00:00	137203	17.56	16.52	17.06	17.56	16.42	DAN.MI	20.07	20.66	19.43	20.66					1.0	0																					19.43											
2016-02-05 08:00:00	118150	17.63	16.53	17.4	16.69	15.6	DAN.MI	20.91	21.19	19.87	20.06					1.0	0																																
2016-02-08 08:00:00	147822	17.0	15.94	16.66	16.29	15.23	DAN.MI	21.01	21.44	20.1	20.54					1.0	0																																
2016-02-09 08:00:00	97617	16.79	15.65	16.08	16.3	15.24	DAN.MI	20.95	21.88	20.39	21.24					1.0	0								15.65		15.65										21.88												
2016-02-10 08:00:00	133443	17.29	16.3	16.64	16.74	15.65	DAN.MI	20.64	21.45	20.22	20.77					1.0	0							17.29														20.22											
2016-02-11 08:00:00	42426	16.93	16.06	16.53	16.47	15.4	DAN.MI	21.73	22.25	21.11	21.65					1.0	0																				22.25												
2016-02-12 08:00:00	50728	16.99	16.1	16.95	16.36	15.29	DAN.MI	21.28	21.33	20.21	20.54					1.0	0								16.1													20.21		20.21									
2016-02-15 08:00:00	139615	17.35	16.36	16.36	17.35	16.22	DAN.MI	19.9	21.11	19.9	21.11					1.0	0																																
2016-02-16 08:00:00	61554	17.7	16.95	17.4	17.7	16.55	DAN.MI	21.27	21.64	20.72	21.64					1.0	0																																
2016-02-17 08:00:00	132571	18.45	17.7	17.7	18.28	17.09	DAN.MI	21.12	22.01	21.12	21.81					1.0	0																																
2016-02-18 08:00:00	113760	18.69	18.26	18.4	18.45	17.25	DAN.MI	22.29	22.65	22.12	22.36					1.0	0																																
2016-02-19 08:00:00	229585	18.85	18.19	18.47	18.6	17.39	DAN.MI	22.65	23.11	22.3	22.81					1.0	0							18.85													23.11		23.11		23.11								
2016-02-22 08:00:00	111528	18.75	18.22	18.61	18.5	17.29	DAN.MI	22.04	22.21	21.58	21.91					1.0	0																					21.58											
2016-02-23 08:00:00	28331	18.64	18.16	18.43	18.22	17.03	DAN.MI	22.26	22.52	21.94	22.01					1.0	0																																
2016-02-24 08:00:00	65595	18.31	17.5	18.31	17.84	16.68	DAN.MI	22.71	22.71	21.7	22.12					1.0	0																				22.71												
2016-02-25 08:00:00	40812	18.08	17.39	18.08	17.83	16.67	DAN.MI	21.92	21.92	21.08	21.61					1.0	0																																
2016-02-26 08:00:00	103694	17.99	17.39	17.75	17.56	16.42	DAN.MI	21.05	21.33	20.62	20.82					1.0	0								17.39													20.62											
2016-02-29 08:00:00	43527	18.1	17.52	17.74	17.82	16.66	DAN.MI	20.87	21.3	20.61	20.97					1.0	0																																
2016-03-01 08:00:00	95437	18.45	17.9	18.02	18.35	17.15	DAN.MI	20.74	21.24	20.61	21.12					1.0	0							18.45													21.24												
2016-03-02 08:00:00	131715	18.48	17.76	18.4	18.14	16.96	DAN.MI	20.95	21.05	20.23	20.66					1.0	0								17.76													20.23											
2016-03-03 08:00:00	95127	18.8	18.03	18.35	18.73	17.51	DAN.MI	20.74	21.24	20.37	21.16					1.0	0																																
2016-03-04 08:00:00	69241	18.91	18.36	18.57	18.87	17.64	DAN.MI	21.06	21.45	20.83	21.4					1.0	0																																
2016-03-07 08:00:00	111422	19.1	18.59	18.8	18.94	17.71	DAN.MI	21.58	21.93	21.34	21.75					1.0	0																																
2016-03-08 08:00:00	322204	19.48	18.79	19.06	19.01	17.77	DAN.MI	21.93	22.42	21.62	21.88					1.0	0							19.48		19.48											22.42												
2016-03-09 08:00:00	55559	19.2	18.5	19.04	18.5	17.29	DAN.MI	21.68	21.86	21.07	21.07					1.0	0																																
2016-03-10 08:00:00	79172	18.71	18.03	18.54	18.03	16.86	DAN.MI	21.22	21.41	20.63	20.63					1.0	0								18.03																								
2016-03-11 08:00:00	34164	18.78	18.26	18.33	18.78	17.56	DAN.MI	20.02	20.51	19.94	20.51					1.0	0																					19.94		19.94		19.94							
2016-03-14 08:00:00	55267	19.1	18.76	18.77	19.1	17.86	DAN.MI	20.5	20.86	20.49	20.86					1.0	0							19.1													20.86												
2016-03-15 08:00:00	23006	18.99	18.5	18.91	18.5	17.29	DAN.MI	20.89	20.98	20.44	20.44					1.0	0																																
2016-03-16 08:00:00	28778	19.07	18.38	18.83	18.4	17.2	DAN.MI	20.84	21.11	20.34	20.37					1.0	0								18.38													20.34											
2016-03-17 08:00:00	37241	18.82	18.22	18.62	18.82	17.59	DAN.MI	20.75	20.97	20.3	20.97					1.0	0																																
2016-03-18 08:00:00	30163	19.04	18.53	18.81	19.04	17.8	DAN.MI	20.96	21.21	20.64	21.21					1.0	0							19.04													21.21		21.21										
2016-03-21 08:00:00	40462	19.11	18.5	18.59	18.5	17.29	DAN.MI	20.62	21.19	20.52	20.52					1.0	0																																
2016-03-22 08:00:00	51915	18.79	18.33	18.56	18.6	17.39	DAN.MI	20.58	20.83	20.32	20.62					1.0	0																					20.32											
2016-03-23 08:00:00	17205	18.74	18.31	18.31	18.55	17.34	DAN.MI	20.56	21.05	20.56	20.83					1.0	0																				21.05												
2016-03-24 08:00:00	98478	18.33	17.68	18.33	17.68	16.53	DAN.MI	20.92	20.92	20.18	20.18					1.0	0								17.68		17.68											20.18		20.18									
2016-03-29 07:00:00	50561	18.1	17.68	17.73	18.05	16.87	DAN.MI	20.23	20.65	20.17	20.59					1.0	0																																
2016-03-30 07:00:00	31403	18.5	17.6	17.9	18.5	17.29	DAN.MI	20.2	20.88	19.86	20.88					-1.0	0																																
2016-03-31 07:00:00	19939	18.66	18.15	18.5	18.47	17.27	DAN.MI	21.17	21.36	20.77	21.14					-1.0	0							18.66																									
2016-04-01 07:00:00	25326	18.74	18.22	18.59	18.22	17.03	DAN.MI	21.68	21.86	21.25	21.25					-1.0	0								18.22																								
2016-04-04 07:00:00	68353	18.99	18.08	18.08	18.85	17.62	DAN.MI	21.25	22.32	21.25	22.16					-1.0	0							18.99																									
2016-04-05 07:00:00	32129	19.02	18.07	19.02	18.07	16.89	DAN.MI	23.05	23.05	21.9	21.9					1.0	0																				23.05												
2016-04-06 07:00:00	12972	18.42	17.92	17.92	18.02	16.85	DAN.MI	21.55	22.15	21.55	21.67					1.0	0								17.92													21.55											
2016-04-07 07:00:00	54494	18.75	18.21	18.5	18.67	17.45	DAN.MI	22.81	23.12	22.45	23.02				1.0	1.0	0																				23.12		23.12		23.12		23.12						
2016-04-08 07:00:00	83128	19.25	18.65	18.95	19.15	17.9	DAN.MI	22.45	22.8	22.09	22.68				1.0	1.0	0																																
2016-04-11 07:00:00	42644	19.31	18.89	19.02	19.23	17.98	DAN.MI	22.25	22.59	22.1	22.5				1.0	1.0	0							19.31														22.1											
2016-04-12 07:00:00	20298	19.22	18.95	19.15	18.98	17.74	DAN.MI	22.76	22.84	22.52	22.56				1.0	1.0	0								18.95												22.84												
2016-04-13 07:00:00	69176	19.5	19.2	19.22	19.48	18.21	DAN.MI	21.94	22.26	21.91	22.23				1.0	1.0	1																					21.91											
2016-04-14 07:00:00	66473	19.75	19.3	19.35	19.75	18.46	DAN.MI	21.89	22.34	21.83	22.34				1.0	1.0	1																																
