date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2016-07-27 07:00:00	16536	10.1	9.62	9.81	9.62	9.62	DHH.MI	9.81	10.1	9.62	9.62						0																														
2016-07-28 07:00:00	6240	9.9	8.94	9.62	9.63	9.63	DHH.MI	9.82	10.11	9.13	9.83						0								8.94																						
2016-07-29 07:00:00	468	9.66	9.66	9.66	9.66	9.66	DHH.MI	9.67	9.67	9.67	9.67						0																				9.67										
2016-08-01 07:00:00	156	9.66	9.66	9.66	9.66	9.66	DHH.MI	9.84	9.84	9.84	9.84						0							9.66																							
2016-08-02 07:00:00	0	9.66	9.66	9.66	9.66	9.66	DHH.MI	10.12	10.12	10.12	10.12						0																			10.12										10.12	
2016-08-03 07:00:00	0	9.66	9.66	9.66	9.66	9.66	DHH.MI	10.1	10.1	10.1	10.1						0																														
2016-08-04 07:00:00	156	9.42	9.42	9.42	9.42	9.42	DHH.MI	9.79	9.79	9.79	9.79						0								9.42																						
2016-08-05 07:00:00	156	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.7	9.7	9.7	9.7						0																														
2016-08-08 07:00:00	0	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.64	9.64	9.64	9.64						0																														
2016-08-09 07:00:00	0	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.61	9.61	9.61	9.61						0																														
2016-08-10 07:00:00	0	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.61	9.61	9.61	9.61						0																														
2016-08-11 07:00:00	0	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.51	9.51	9.51	9.51						0							9.57																							
2016-08-12 07:00:00	0	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.49	9.49	9.49	9.49						0																				9.49		9.49								
2016-08-16 07:00:00	0	9.57	9.57	9.57	9.57	9.57	DHH.MI	9.61	9.61	9.61	9.61						0																														
