date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	50491	48.75	47.3	48.66	48.18	43.04	DIA.MI	48.66	48.75	47.3	48.18						0																															
2016-01-05 08:00:00	89363	49.09	47.69	48.3	49.09	43.85	DIA.MI	47.73	48.51	47.12	48.51						0																				47.12											
2016-01-06 08:00:00	42997	49.08	48.04	49.06	48.8	43.59	DIA.MI	49.81	49.83	48.77	49.55						0							49.08																								
2016-01-07 08:00:00	91520	48.8	47.87	48.6	48.67	43.48	DIA.MI	49.91	50.12	49.16	49.98						0								47.87																							
2016-01-08 08:00:00	111815	49.65	48.55	48.85	48.55	43.37	DIA.MI	50.98	51.81	50.66	50.66						0							49.65		49.65										51.81												
2016-01-11 08:00:00	75682	48.66	46.52	48.45	47.79	42.69	DIA.MI	50.85	51.07	48.82	50.16						0								46.52																							
2016-01-12 08:00:00	28594	48.23	47.36	47.75	48.15	43.01	DIA.MI	49.58	50.08	49.17	49.99						0							48.23																								
2016-01-13 08:00:00	75050	48.5	46.56	48.5	47.31	42.26	DIA.MI	49.93	49.93	47.93	48.71						0																				47.93											
2016-01-14 08:00:00	44094	47.28	46.0	47.28	46.81	41.81	DIA.MI	49.5	49.5	48.16	49.01						0																															
2016-01-15 08:00:00	122604	46.88	44.61	46.44	45.35	40.51	DIA.MI	50.16	50.64	48.18	48.98						0																															
2016-01-18 08:00:00	78904	45.34	43.77	45.2	44.53	39.78	DIA.MI	50.15	50.31	48.56	49.41						0																			50.31												
2016-01-19 08:00:00	176212	45.64	42.6	45.61	43.17	38.56	DIA.MI	50.09	50.12	46.78	47.41						0																				46.78											
2016-01-20 08:00:00	131326	43.47	42.5	42.51	42.9	38.32	DIA.MI	49.05	50.16	49.04	49.5						0																			50.16												
2016-01-21 08:00:00	170667	43.63	42.11	42.9	42.68	38.13	DIA.MI	47.51	48.32	46.63	47.26						0								42.11		42.11										46.63		46.63									
2016-01-22 08:00:00	186077	45.0	42.82	43.0	44.17	39.46	DIA.MI	46.86	49.03	46.66	48.13						0																															
2016-01-25 08:00:00	218430	46.34	44.28	44.59	45.64	40.77	DIA.MI	49.6	51.54	49.25	50.76						0																															
2016-01-26 08:00:00	171711	47.85	43.86	45.64	46.78	41.79	DIA.MI	50.01	52.43	48.06	51.25						0																															
2016-01-27 08:00:00	97163	48.0	46.51	47.69	47.68	42.59	DIA.MI	52.46	52.8	51.16	52.45						0							48.0																								
2016-01-28 08:00:00	145072	47.97	46.59	47.55	46.9	41.9	DIA.MI	54.2	54.68	53.11	53.46						0								46.59											54.68												
2016-01-29 08:00:00	102390	48.5	46.51	46.77	48.5	43.32	DIA.MI	51.98	53.9	51.69	53.9						0																				51.69											
2016-02-01 08:00:00	142479	49.45	48.18	48.66	48.83	43.62	DIA.MI	54.58	55.46	54.04	54.77					1.0	0																															
2016-02-02 08:00:00	112008	49.57	48.55	48.58	48.75	43.55	DIA.MI	56.2	57.35	56.17	56.4					1.0	0							49.57		49.57																						
2016-02-03 08:00:00	118381	48.99	46.97	48.75	47.48	42.41	DIA.MI	58.05	58.34	55.93	56.54					1.0	0																			58.34		58.34										
2016-02-04 08:00:00	58114	47.99	46.51	47.0	46.75	41.76	DIA.MI	55.29	56.45	54.71	54.99					1.0	0																															
2016-02-05 08:00:00	47084	47.1	44.68	47.1	44.69	39.92	DIA.MI	56.61	56.61	53.7	53.72					1.0	0																				53.7											
2016-02-08 08:00:00	79262	45.99	42.68	45.99	42.81	38.24	DIA.MI	58.0	58.0	53.82	53.99					1.0	0																															
