date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2017-04-05 07:00:00	48343	10.27	10.05	10.2	10.15	9.04	ECNL.MI	10.2	10.27	10.05	10.15						0																	10.05															
2017-04-06 07:00:00	73034	10.49	10.2	10.2	10.31	9.18	ECNL.MI	10.18	10.47	10.18	10.29						0							10.49													10.47												
2017-04-07 07:00:00	116483	10.44	10.2	10.27	10.25	9.13	ECNL.MI	10.25	10.42	10.18	10.23						0								10.2													10.18											
2017-04-10 07:00:00	264710	10.45	10.25	10.45	10.32	9.19	ECNL.MI	10.48	10.48	10.28	10.35						0																																
2017-04-11 07:00:00	50252	10.57	10.39	10.45	10.5	9.35	ECNL.MI	10.52	10.65	10.46	10.58						0							10.57													10.65												
2017-04-12 07:00:00	22546	10.5	10.3	10.5	10.4	9.26	ECNL.MI	10.63	10.63	10.43	10.53						0								10.3													10.43											
2017-04-13 07:00:00	12361	10.6	10.33	10.5	10.5	9.35	ECNL.MI	10.75	10.86	10.58	10.75						0							10.6																									
2017-04-18 07:00:00	1874	10.45	10.3	10.4	10.45	9.3	ECNL.MI	10.83	10.89	10.73	10.89						0								10.3																								
2017-04-19 07:00:00	8225	10.9	10.35	10.5	10.9	9.7	ECNL.MI	10.73	11.14	10.57	11.14						0							10.9		10.9											11.14		11.14										
2017-04-20 07:00:00	34524	10.6	10.5	10.5	10.58	9.42	ECNL.MI	10.71	10.82	10.71	10.8						0																																
2017-04-21 07:00:00	74921	10.6	10.41	10.5	10.49	9.34	ECNL.MI	10.77	10.87	10.68	10.76						0																																
2017-04-24 07:00:00	11246	10.5	10.45	10.5	10.45	9.3	ECNL.MI	10.28	10.28	10.23	10.23						0																																
2017-04-25 07:00:00	51250	10.45	10.4	10.43	10.45	9.3	ECNL.MI	10.15	10.17	10.12	10.17						0																																
2017-04-26 07:00:00	10916	10.45	10.41	10.45	10.41	9.27	ECNL.MI	10.16	10.16	10.12	10.12						0																					10.12											
2017-04-27 07:00:00	99540	10.45	10.35	10.45	10.38	9.24	ECNL.MI	10.28	10.28	10.18	10.21						0								10.35																								
2017-04-28 07:00:00	9239	10.5	10.41	10.45	10.5	9.35	ECNL.MI	10.27	10.32	10.23	10.32						0																				10.32												
2017-05-02 07:00:00	21485	10.55	10.43	10.5	10.5	9.35	ECNL.MI	10.26	10.31	10.19	10.26						0																																
2017-05-03 07:00:00	143074	10.62	10.4	10.5	10.5	9.35	ECNL.MI	10.24	10.36	10.15	10.24						0																																
2017-05-04 07:00:00	8555	10.7	10.55	10.7	10.6	9.44	ECNL.MI	10.24	10.24	10.09	10.14						0																																
2017-05-05 07:00:00	3705	10.75	10.62	10.65	10.62	9.45	ECNL.MI	10.04	10.13	10.01	10.01					-1.0	0							10.75																									
2017-05-08 07:00:00	1993	10.78	10.45	10.45	10.54	9.38	ECNL.MI	9.88	10.19	9.88	9.96					-1.0	0								10.45																						9.88		
2017-05-09 07:00:00	24798	10.79	10.5	10.78	10.55	9.39	ECNL.MI	10.16	10.17	9.9	9.94					-1.0	0							10.79																									
2017-05-10 07:00:00	15509	10.57	10.54	10.54	10.55	9.39	ECNL.MI	9.9	9.93	9.9	9.91					-1.0	0								10.54													9.9											
2017-05-11 07:00:00	17860	10.6	10.5	10.5	10.6	9.44	ECNL.MI	9.9	9.99	9.9	9.99					-1.0	0																																
2017-05-12 07:00:00	7000	10.9	10.7	10.88	10.7	9.53	ECNL.MI	10.21	10.23	10.04	10.04					-1.0	0							10.9		10.9											10.23												
2017-05-15 07:00:00	16080	10.8	10.6	10.7	10.6	9.44	ECNL.MI	9.98	10.08	9.89	9.89					-1.0	0								10.6													9.89		9.89									
2017-05-16 07:00:00	1105	10.75	10.7	10.75	10.7	9.53	ECNL.MI	9.99	9.99	9.95	9.95					-1.0	0							10.75																									
2017-05-17 07:00:00	3091	10.7	10.67	10.67	10.7	9.53	ECNL.MI	10.15	10.18	10.15	10.18					-1.0	0																				10.18												
2017-05-18 07:00:00	11222	10.69	10.53	10.65	10.69	9.52	ECNL.MI	10.13	10.17	10.01	10.17					-1.0	0								10.53		10.53																						
2017-05-19 07:00:00	6000	10.7	10.7	10.7	10.7	9.53	ECNL.MI	10.05	10.05	10.05	10.05					-1.0	0																					10.05											
2017-05-22 07:00:00	0	10.7	10.7	10.7	10.7	9.53	ECNL.MI	10.16	10.16	10.16	10.16					-1.0	0																				10.16												
2017-05-23 07:00:00	17312	10.8	10.6	10.6	10.8	9.62	ECNL.MI	10.02	10.21	10.02	10.21					-1.0	0																					10.02											
2017-05-24 07:00:00	17123	10.85	10.77	10.8	10.77	9.59	ECNL.MI	10.24	10.28	10.21	10.21					-1.0	0																																
2017-05-25 07:00:00	17570	10.9	10.88	10.9	10.9	9.7	ECNL.MI	10.37	10.37	10.35	10.37					1.0	0																																
2017-05-26 07:00:00	14085	11.0	10.95	11.0	11.0	9.79	ECNL.MI	10.5	10.5	10.46	10.5					1.0	0																																
2017-05-29 07:00:00	6500	11.0	11.0	11.0	11.0	9.79	ECNL.MI	10.72	10.72	10.72	10.72					1.0	0																																
2017-05-30 07:00:00	24511	11.1	10.95	11.1	11.0	9.79	ECNL.MI	10.8	10.8	10.65	10.7					1.0	0																																
2017-05-31 07:00:00	25556	11.18	10.99	11.18	11.0	9.79	ECNL.MI	10.92	10.92	10.74	10.75					1.0	0							11.18													10.92		10.92										
2017-06-01 07:00:00	20802	11.01	11.0	11.0	11.01	9.8	ECNL.MI	10.64	10.65	10.64	10.65					1.0	0								11.0													10.64											
2017-06-02 07:00:00	0	11.01	11.01	11.01	11.01	9.8	ECNL.MI	10.65	10.65	10.65	10.65					1.0	0																																
2017-06-05 07:00:00	130	11.02	11.02	11.02	11.02	9.81	ECNL.MI	10.77	10.77	10.77	10.77					1.0	0																				10.77												
2017-06-06 07:00:00	980	11.02	11.02	11.02	11.02	9.81	ECNL.MI	10.75	10.75	10.75	10.75					1.0	0																					10.75											
2017-06-07 07:00:00	905	11.29	11.25	11.25	11.29	10.05	ECNL.MI	10.99	11.02	10.99	11.02					1.0	0																				11.02												
2017-06-08 07:00:00	0	11.29	11.29	11.29	11.29	10.05	ECNL.MI	10.87	10.87	10.87	10.87					1.0	0							11.29																									
2017-06-09 07:00:00	8	11.05	11.05	11.05	11.05	9.84	ECNL.MI	10.6	10.6	10.6	10.6					1.0	0								11.05													10.6		10.6									
2017-06-12 07:00:00	6500	11.29	11.0	11.0	11.29	10.05	ECNL.MI	10.65	10.94	10.65	10.94					1.0	0																																
2017-06-13 07:00:00	2330	12.0	11.29	11.29	12.0	10.68	ECNL.MI	10.84	11.52	10.84	11.52					1.0	0																																
2017-06-14 07:00:00	19250	12.5	12.0	12.0	12.5	11.13	ECNL.MI	11.59	12.08	11.59	12.08					1.0	0																																
2017-06-15 07:00:00	8165	12.8	12.5	12.69	12.5	11.13	ECNL.MI	12.33	12.43	12.14	12.14					1.0	0							12.8		12.8		12.8									12.43		12.43		12.43							12.43	
2017-06-16 07:00:00	124253	12.83	12.24	12.75	12.3	10.95	ECNL.MI	12.33	12.41	11.84	11.9					1.0	1																																
2017-06-19 07:00:00	6600	12.29	12.0	12.2	12.0	10.68	ECNL.MI	11.76	11.84	11.57	11.57					1.0	1																																
2017-06-20 07:00:00	10522	12.1	11.74	11.75	11.88	10.58	ECNL.MI	11.44	11.78	11.43	11.56					1.0	1								11.74																								
2017-06-21 07:00:00	11262	12.3	11.83	12.1	12.0	10.68	ECNL.MI	11.63	11.82	11.37	11.53					1.0	1																					11.37											
2017-06-22 07:00:00	30919	12.28	11.85	11.85	12.01	10.69	ECNL.MI	11.47	11.88	11.47	11.62					1.0	1																																
2017-06-23 07:00:00	69800	12.3	11.87	11.87	12.15	10.82	ECNL.MI	11.54	11.96	11.54	11.81					1.0	1							12.3													11.96												
2017-06-26 07:00:00	32694	12.1	11.95	12.0	11.96	10.65	ECNL.MI	11.57	11.67	11.52	11.53					1.0	1																																
2017-06-27 07:00:00	19515	11.99	11.6	11.95	11.88	10.58	ECNL.MI	11.64	11.68	11.3	11.57					1.0	1								11.6		11.6																						
2017-06-28 07:00:00	2335	11.97	11.9	11.97	11.97	10.66	ECNL.MI	11.52	11.52	11.45	11.52					1.0	1																					11.45											
2017-06-29 07:00:00	361	12.09	11.88	11.88	12.04	10.72	ECNL.MI	11.62	11.83	11.62	11.78					1.0	1							12.09													11.83												
2017-06-30 07:00:00	118200	12.0	11.7	11.73	11.99	10.67	ECNL.MI	11.54	11.81	11.51	11.8					1.0	1								11.7																								
2017-07-03 07:00:00	8081	12.0	11.9	11.98	12.0	10.68	ECNL.MI	11.55	11.57	11.47	11.57					1.0	1																					11.47											
2017-07-04 07:00:00	6516	12.04	11.92	12.0	12.04	10.72	ECNL.MI	11.56	11.59	11.48	11.59					1.0	1							12.04																									
2017-07-05 07:00:00	11664	12.1	11.86	12.09	11.98	10.67	ECNL.MI	11.69	11.7	11.47	11.59					1.0	1								11.86												11.7												
2017-07-06 07:00:00	43558	12.08	11.85	12.08	12.01	10.69	ECNL.MI	11.6	11.6	11.38	11.54					1.0	1																					11.38		11.38									
2017-07-07 07:00:00	2413	12.45	12.05	12.15	12.45	11.08	ECNL.MI	11.71	12.0	11.61	12.0					1.0	1							12.45		12.45											12.0		12.0										
2017-07-10 07:00:00	23723	12.3	12.1	12.25	12.15	10.82	ECNL.MI	11.71	11.76	11.56	11.61					1.0	1								12.1													11.56											
2017-07-11 07:00:00	11800	12.26	12.2	12.26	12.25	10.91	ECNL.MI	11.76	11.76	11.7	11.75					1.0	1																				11.76												
2017-07-12 07:00:00	10830	12.3	12.25	12.3	12.25	10.91	ECNL.MI	11.62	11.62	11.58	11.58					1.0	1							12.3																									
2017-07-13 07:00:00	19079	12.25	12.1	12.25	12.25	10.91	ECNL.MI	11.53	11.53	11.39	11.53					1.0	1								12.1													11.39											
2017-07-14 07:00:00	19479	12.35	12.0	12.05	12.35	11.0	ECNL.MI	11.36	11.64	11.31	11.64					1.0	1																																
2017-07-17 07:00:00	17517	12.45	12.1	12.1	12.45	11.08	ECNL.MI	11.41	11.74	11.41	11.74					1.0	1							12.45		12.45											11.74												
2017-07-18 07:00:00	10849	12.25	12.05	12.15	12.25	10.91	ECNL.MI	11.52	11.62	11.43	11.62					1.0	1																																
2017-07-19 07:00:00	45474	12.2	11.8	11.8	12.18	10.84	ECNL.MI	11.13	11.5	11.13	11.48					-1.0	1								11.8		11.8											11.13		11.13									
2017-07-20 07:00:00	23178	12.29	12.0	12.0	12.25	10.91	ECNL.MI	11.34	11.61	11.34	11.57					-1.0	1							12.29																									
2017-07-21 07:00:00	77850	12.25	12.0	12.15	12.25	10.91	ECNL.MI	11.61	11.7	11.46	11.7					-1.0	1																				11.7												
2017-07-24 07:00:00	21843	12.1	12.0	12.0	12.0	10.68	ECNL.MI	11.4	11.49	11.4	11.4					-1.0	1								12.0																								
2017-07-25 07:00:00	16304	12.1	12.0	12.0	12.1	10.77	ECNL.MI	11.33	11.42	11.33	11.42					-1.0	1																																
2017-07-26 07:00:00	27515	12.1	12.1	12.1	12.1	10.77	ECNL.MI	11.36	11.36	11.36	11.36					-1.0	1																					11.36											
2017-07-27 07:00:00	22926	12.5	12.05	12.1	12.5	11.13	ECNL.MI	11.33	11.7	11.28	11.7					-1.0	1																																
2017-07-28 07:00:00	4837	12.5	12.28	12.5	12.5	11.13	ECNL.MI	11.81	11.81	11.61	11.81					-1.0	1																																
2017-07-31 07:00:00	21926	12.65	12.3	12.59	12.6	11.22	ECNL.MI	11.87	11.92	11.59	11.88					-1.0	1							12.65		12.65											11.92		11.92										
2017-08-01 07:00:00	1172	12.6	12.13	12.13	12.6	11.22	ECNL.MI	11.37	11.81	11.37	11.81					-1.0	1																																
2017-08-02 07:00:00	9646	12.3	12.07	12.14	12.3	10.95	ECNL.MI	11.4	11.55	11.33	11.55					-1.0	1																																
2017-08-03 07:00:00	7351	12.39	11.9	11.9	12.25	10.91	ECNL.MI	11.06	11.51	11.06	11.38					-1.0	1																																
2017-08-04 07:00:00	617	12.23	11.76	11.77	12.23	10.89	ECNL.MI	10.87	11.29	10.86	11.29					-1.0	0								11.76		11.76		11.76				1.0			11.76		10.86		10.86									
2017-08-07 07:00:00	0	12.23	12.23	12.23	12.23	10.89	ECNL.MI	11.24	11.24	11.24	11.24					-1.0	0							12.23									1.0			11.76	11.24												
2017-08-08 07:00:00	125	12.1	12.1	12.1	12.1	10.77	ECNL.MI	11.11	11.11	11.11	11.11					-1.0	0																1.0			11.76		11.11											
