volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
1003	1.08	1.06	1.08	1.06	1.01	EUK.MI	1.08	1.08	1.06	1.06			0.0			0																																								
0	1.06	1.06	1.06	1.06	1.01	EUK.MI	1.05	1.05	1.05	1.05			0.0			0																					1.05												0.0	0.0	0.0	0.0	0.0	0.0		0.0
10335	1.06	1.02	1.02	1.05	1.0	EUK.MI	1.04	1.08	1.04	1.07			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7005	1.06	1.01	1.06	1.05	1.0	EUK.MI	1.08	1.08	1.04	1.08			0.0			0																				1.08													0.0	0.0	0.0	0.0	0.0	0.0		0.0
1363	1.04	0.98	1.04	1.02	0.97	EUK.MI	1.09	1.09	1.03	1.07			0.0			0								0.98													1.03		1.03							1.03			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2823	1.04	1.02	1.02	1.04	0.99	EUK.MI	1.07	1.1	1.07	1.1			0.0			0																				1.1													0.0	0.0	0.0	0.0	0.0	0.0		0.0
507	1.07	1.02	1.04	1.06	1.0	EUK.MI	1.08	1.11	1.05	1.1			0.0			0							1.07																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
1987	1.06	1.01	1.01	1.04	0.99	EUK.MI	1.04	1.1	1.04	1.08			0.0			0																					1.04												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
739	1.06	1.01	1.06	1.05	1.0	EUK.MI	1.11	1.11	1.06	1.1			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
3045	1.03	1.0	1.0	1.03	0.98	EUK.MI	1.08	1.11	1.08	1.11			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
125	1.03	1.0	1.0	1.03	0.97	EUK.MI	1.11	1.14	1.11	1.14			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
400	1.03	1.02	1.02	1.03	0.97	EUK.MI	1.12	1.13	1.12	1.13			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2895	1.01	0.98	1.0	1.01	0.96	EUK.MI	1.16	1.17	1.13	1.17			0.0			0								0.98		0.98										1.17													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
