volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
2800	10.0	10.0	10.0	10.0	9.25	FF.MI	10.0	10.0	10.0	10.0			0.0			0																																						
2600	10.0	9.9	10.0	9.9	9.16	FF.MI	9.94	9.94	9.84	9.84			0.0			0								9.9												9.84											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
600	10.0	10.0	10.0	10.0	9.25	FF.MI	9.93	9.93	9.93	9.93			0.0			0																			9.93												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	10.0	10.0	10.0	10.0	9.25	FF.MI	9.85	9.85	9.85	9.85			0.0			0																				9.85											0.0	0.0	0.0	0.0	0.0	0.0		0.0
600	10.0	10.0	10.0	10.0	9.25	FF.MI	9.89	9.89	9.89	9.89			0.0			0																			9.89												0.0	0.0	0.0	0.0	0.0	0.0		0.0
200	10.0	10.0	10.0	10.0	9.25	FF.MI	9.86	9.86	9.86	9.86			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
200	10.01	10.01	10.01	10.01	9.26	FF.MI	9.79	9.79	9.79	9.79			0.0			0							10.01													9.79		9.79									0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	10.01	10.01	10.01	10.01	9.26	FF.MI	9.85	9.85	9.85	9.85			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
200	10.0	10.0	10.0	10.0	9.25	FF.MI	9.95	9.95	9.95	9.95			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	10.0	10.0	10.0	10.0	9.25	FF.MI	10.09	10.09	10.09	10.09			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	10.0	10.0	10.0	10.0	9.25	FF.MI	10.35	10.35	10.35	10.35			0.0			0								10.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	10.0	10.0	10.0	10.0	9.25	FF.MI	10.38	10.38	10.38	10.38			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	10.0	10.0	10.0	10.0	9.25	FF.MI	10.44	10.44	10.44	10.44			0.0			0																			10.44		10.44								10.44		0.0	0.0	0.0	0.0	0.0	0.0		0.0
200	10.19	10.19	10.19	10.19	9.43	FF.MI	10.38	10.38	10.38	10.38			0.0			0							10.19		10.19																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	10.19	10.19	10.19	10.19	9.43	FF.MI	10.33	10.33	10.33	10.33			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
800	10.02	10.01	10.01	10.02	9.27	FF.MI	10.16	10.17	10.16	10.17			0.0			0								10.01												10.16											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1200	10.15	10.05	10.1	10.05	9.3	FF.MI	10.24	10.29	10.19	10.19			0.0			0							10.15												10.29												0.0	0.0	0.0	0.0	0.0	0.0		0.0
