date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	142675	2.3	2.24	2.3	2.25	2.03	FM.MI	2.3	2.3	2.24	2.25						0																		2.3														
2016-01-05 08:00:00	134991	2.27	2.23	2.25	2.26	2.03	FM.MI	2.23	2.24	2.2	2.23						0																					2.2											
2016-01-06 08:00:00	96004	2.26	2.17	2.24	2.2	1.98	FM.MI	2.27	2.29	2.2	2.24						0																				2.29												
2016-01-07 08:00:00	122356	2.17	2.13	2.16	2.14	1.93	FM.MI	2.22	2.22	2.19	2.2						0								2.13													2.19											
2016-01-08 08:00:00	149442	2.2	2.13	2.16	2.15	1.94	FM.MI	2.25	2.3	2.22	2.24						0							2.2													2.3		2.3										
2016-01-11 08:00:00	346523	2.19	1.94	2.11	1.94	1.75	FM.MI	2.22	2.3	2.04	2.04						0																																
2016-01-12 08:00:00	694813	2.06	1.79	1.94	2.04	1.84	FM.MI	2.02	2.14	1.86	2.12						0								1.79													1.86											
2016-01-13 08:00:00	180526	2.09	2.0	2.05	2.01	1.81	FM.MI	2.11	2.15	2.06	2.07						0							2.09													2.15												
2016-01-14 08:00:00	209029	2.01	1.9	2.0	1.96	1.76	FM.MI	2.09	2.11	1.99	2.05						0																																
2016-01-15 08:00:00	152370	1.96	1.85	1.92	1.87	1.68	FM.MI	2.07	2.11	2.0	2.02						0																																
2016-01-18 08:00:00	173495	1.89	1.74	1.89	1.76	1.58	FM.MI	2.1	2.1	1.93	1.95						0																																
2016-01-19 08:00:00	146017	1.8	1.7	1.76	1.71	1.54	FM.MI	1.94	1.98	1.87	1.87						0																																
2016-01-20 08:00:00	179103	1.7	1.53	1.7	1.55	1.4	FM.MI	1.96	1.96	1.77	1.79						0								1.53																								
2016-01-21 08:00:00	185103	1.7	1.56	1.56	1.68	1.51	FM.MI	1.72	1.88	1.72	1.86						0																					1.72											
2016-01-22 08:00:00	387378	1.87	1.73	1.73	1.79	1.61	FM.MI	1.89	2.04	1.89	1.95						0							1.87																									
2016-01-25 08:00:00	299127	1.9	1.71	1.85	1.72	1.55	FM.MI	2.06	2.11	1.91	1.91						0																				2.11												
2016-01-26 08:00:00	156541	1.82	1.72	1.75	1.78	1.6	FM.MI	1.91	2.0	1.89	1.95						0								1.72													1.89											
2016-01-27 08:00:00	171415	1.85	1.77	1.8	1.84	1.66	FM.MI	1.98	2.04	1.95	2.02						0							1.85																									
2016-01-28 08:00:00	164363	1.85	1.74	1.85	1.75	1.57	FM.MI	2.11	2.11	1.99	1.99						0																				2.11												
2016-01-29 08:00:00	65291	1.8	1.74	1.79	1.78	1.6	FM.MI	1.99	2.0	1.93	1.98						0								1.74													1.93											
2016-02-01 08:00:00	52912	1.81	1.75	1.78	1.77	1.59	FM.MI	2.0	2.03	1.96	1.98						0							1.81																									
2016-02-02 08:00:00	58814	1.78	1.68	1.76	1.73	1.56	FM.MI	2.04	2.07	1.95	2.0						0																				2.07												
2016-02-03 08:00:00	64863	1.73	1.64	1.69	1.65	1.48	FM.MI	2.01	2.06	1.96	1.96						0																																
2016-02-04 08:00:00	50052	1.66	1.57	1.66	1.62	1.46	FM.MI	1.95	1.95	1.84	1.91						0																					1.84											
2016-02-05 08:00:00	105494	1.65	1.59	1.63	1.6	1.44	FM.MI	1.96	1.98	1.91	1.92						0																				1.98												
2016-02-08 08:00:00	162847	1.62	1.47	1.62	1.48	1.33	FM.MI	2.04	2.04	1.85	1.87						0																																
2016-02-09 08:00:00	177163	1.48	1.35	1.48	1.36	1.22	FM.MI	1.92	1.92	1.76	1.77						0								1.35																								
2016-02-10 08:00:00	181158	1.48	1.33	1.38	1.43	1.29	FM.MI	1.71	1.83	1.65	1.78					-1.0	0							1.48			1.33											1.65		1.65							1.65		
2016-02-11 08:00:00	95012	1.44	1.35	1.43	1.39	1.25	FM.MI	1.89	1.89	1.77	1.83					-1.0	0								1.35												1.89												
2016-02-12 08:00:00	55919	1.46	1.34	1.37	1.42	1.28	FM.MI	1.72	1.83	1.68	1.78					-1.0	0																					1.68											
2016-02-15 08:00:00	226070	1.66	1.45	1.46	1.66	1.49	FM.MI	1.77	2.02	1.77	2.02					-1.0	0																																
2016-02-16 08:00:00	210586	1.73	1.57	1.67	1.61	1.45	FM.MI	2.04	2.12	1.92	1.97					1.0	0																																
2016-02-17 08:00:00	136172	1.77	1.62	1.62	1.73	1.56	FM.MI	1.93	2.12	1.93	2.06					1.0	0																																
2016-02-18 08:00:00	108719	1.8	1.69	1.72	1.71	1.54	FM.MI	2.08	2.18	2.05	2.07					1.0	0							1.8													2.18		2.18										
2016-02-19 08:00:00	50293	1.74	1.64	1.73	1.69	1.52	FM.MI	2.12	2.13	2.01	2.07					1.0	0								1.64													2.01											
2016-02-22 08:00:00	122783	1.79	1.72	1.72	1.75	1.58	FM.MI	2.03	2.12	2.03	2.08					1.0	0																																
2016-02-23 08:00:00	41622	1.79	1.73	1.77	1.75	1.57	FM.MI	2.14	2.17	2.09	2.11					1.0	0							1.79													2.17												
2016-02-24 08:00:00	101588	1.78	1.64	1.78	1.72	1.55	FM.MI	2.2	2.2	2.03	2.14					1.0	0								1.64																								
2016-02-25 08:00:00	57255	1.77	1.7	1.75	1.72	1.55	FM.MI	2.12	2.15	2.06	2.09					1.0	0							1.77																									
2016-02-26 08:00:00	35142	1.75	1.7	1.75	1.7	1.53	FM.MI	2.08	2.08	2.02	2.02					1.0	0																																
2016-02-29 08:00:00	25450	1.73	1.68	1.7	1.7	1.53	FM.MI	2.0	2.03	1.97	2.0					1.0	0								1.68																								
2016-03-01 08:00:00	49994	1.75	1.71	1.75	1.74	1.57	FM.MI	2.01	2.01	1.97	2.0					1.0	0																					1.97											
2016-03-02 08:00:00	126947	1.83	1.75	1.75	1.8	1.62	FM.MI	1.99	2.08	1.99	2.05					1.0	0																																
2016-03-03 08:00:00	61294	1.85	1.79	1.82	1.84	1.66	FM.MI	2.06	2.09	2.02	2.08					1.0	0							1.85																									
2016-03-04 08:00:00	61115	1.87	1.75	1.87	1.83	1.65	FM.MI	2.12	2.12	1.99	2.08					1.0	0																				2.12												
2016-03-07 08:00:00	31853	1.83	1.77	1.83	1.8	1.62	FM.MI	2.1	2.1	2.03	2.06					1.0	0																																
2016-03-08 08:00:00	31572	1.8	1.76	1.77	1.76	1.59	FM.MI	2.04	2.07	2.02	2.03					1.0	0																																
2016-03-09 08:00:00	53628	1.78	1.7	1.75	1.78	1.6	FM.MI	2.0	2.03	1.94	2.03					1.0	0																																
2016-03-10 08:00:00	34548	1.78	1.73	1.78	1.73	1.56	FM.MI	2.04	2.04	1.98	1.98					1.0	0																																
2016-03-11 08:00:00	36075	1.77	1.71	1.73	1.74	1.57	FM.MI	1.89	1.93	1.87	1.9					1.0	0								1.71													1.87		1.87									
2016-03-14 08:00:00	58786	1.81	1.77	1.77	1.79	1.61	FM.MI	1.93	1.98	1.93	1.95					1.0	0																																
2016-03-15 08:00:00	235408	1.92	1.86	1.89	1.86	1.68	FM.MI	2.09	2.12	2.06	2.06					1.0	0																																
2016-03-16 08:00:00	192895	1.94	1.87	1.87	1.93	1.74	FM.MI	2.06	2.15	2.06	2.14					1.0	0																																
2016-03-17 08:00:00	234559	2.02	1.92	1.94	1.97	1.77	FM.MI	2.16	2.25	2.14	2.2					1.0	0							2.02		2.02											2.25		2.25		2.25								
2016-03-18 08:00:00	112057	2.0	1.92	1.99	1.93	1.74	FM.MI	2.22	2.23	2.14	2.16					1.0	0																																
2016-03-21 08:00:00	64816	1.97	1.9	1.93	1.91	1.72	FM.MI	2.15	2.18	2.11	2.12					1.0	0																																
2016-03-22 08:00:00	75109	1.92	1.86	1.9	1.88	1.7	FM.MI	2.11	2.13	2.06	2.09					1.0	0																					2.06											
2016-03-23 08:00:00	177054	1.94	1.83	1.89	1.85	1.67	FM.MI	2.12	2.17	2.06	2.08					1.0	0																				2.17												
