date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2018-03-27 07:00:00	7810	14.09	13.55	14.09	14.07	12.19	FVI.MI	14.09	14.09	13.55	14.07						0																															
2018-03-28 07:00:00	220	14.09	14.02	14.02	14.09	12.2	FVI.MI	13.94	14.01	13.94	14.01						0																			14.01												
2018-03-29 07:00:00	660	14.09	14.09	14.09	14.09	12.2	FVI.MI	13.96	13.96	13.96	13.96						0							14.09																								
2018-04-03 07:00:00	110	14.0	14.0	14.0	14.0	12.13	FVI.MI	13.81	13.81	13.81	13.81						0																															
2018-04-04 07:00:00	3520	13.82	13.18	13.82	13.18	11.42	FVI.MI	13.67	13.67	13.04	13.04						0								13.18																							
2018-04-05 07:00:00	440	13.43	13.42	13.42	13.43	11.63	FVI.MI	12.97	12.98	12.97	12.98						0							13.43																								
2018-04-06 07:00:00	5500	13.41	12.37	13.41	12.72	11.02	FVI.MI	12.99	12.99	11.98	12.32						0								12.37		12.37																					
2018-04-09 07:00:00	1760	12.89	12.73	12.75	12.88	11.16	FVI.MI	12.28	12.42	12.26	12.41						0																															
2018-04-10 07:00:00	0	12.88	12.88	12.88	12.88	11.16	FVI.MI	12.34	12.34	12.34	12.34						0							12.88													12.34											
2018-04-11 07:00:00	0	12.88	12.88	12.88	12.88	11.16	FVI.MI	12.43	12.43	12.43	12.43						0																			12.43												
2018-04-12 07:00:00	7590	13.36	12.45	13.0	12.73	11.03	FVI.MI	12.39	12.73	11.87	12.13						0																															
2018-04-13 07:00:00	0	12.73	12.73	12.73	12.73	11.03	FVI.MI	12.12	12.12	12.12	12.12						0								12.73												12.12											
2018-04-16 07:00:00	0	12.73	12.73	12.73	12.73	11.03	FVI.MI	12.12	12.12	12.12	12.12						0																															
2018-04-17 07:00:00	440	12.91	12.91	12.91	12.91	11.19	FVI.MI	12.13	12.13	12.13	12.13						0																			12.13												
2018-04-18 07:00:00	0	12.91	12.91	12.91	12.91	11.19	FVI.MI	12.07	12.07	12.07	12.07						0																				12.07		12.07									
2018-04-19 07:00:00	1320	13.25	12.92	12.92	13.07	11.32	FVI.MI	12.06	12.37	12.06	12.2						0																															
2018-04-20 07:00:00	1430	13.67	13.22	13.51	13.23	11.46	FVI.MI	12.59	12.74	12.32	12.33						0																															
2018-04-23 07:00:00	660	13.67	13.67	13.67	13.67	11.84	FVI.MI	12.66	12.66	12.66	12.66						0							13.67												12.66												
2018-04-24 07:00:00	220	13.14	13.14	13.14	13.14	11.38	FVI.MI	12.14	12.14	12.14	12.14						0								13.14												12.14											
2018-04-25 07:00:00	440	13.73	13.64	13.64	13.73	11.89	FVI.MI	12.72	12.81	12.72	12.81						0							13.73												12.81												
2018-04-26 07:00:00	1430	13.73	13.36	13.73	13.36	11.58	FVI.MI	12.68	12.68	12.35	12.35						0								13.36												12.35											
2018-04-27 07:00:00	110	13.82	13.82	13.82	13.82	11.97	FVI.MI	12.82	12.82	12.82	12.82						0																			12.82		12.82										
2018-04-30 07:00:00	0	13.82	13.82	13.82	13.82	11.97	FVI.MI	12.8	12.8	12.8	12.8						0																															
2018-05-02 07:00:00	0	13.82	13.82	13.82	13.82	11.97	FVI.MI	12.65	12.65	12.65	12.65						0							13.82													12.65											
2018-05-03 07:00:00	0	13.82	13.82	13.82	13.82	11.97	FVI.MI	12.75	12.75	12.75	12.75						0																			12.75												
2018-05-04 07:00:00	0	13.82	13.82	13.82	13.82	11.97	FVI.MI	12.61	12.61	12.61	12.61						0																															
2018-05-07 07:00:00	220	13.64	13.64	13.64	13.64	11.81	FVI.MI	12.34	12.34	12.34	12.34						0																				12.34											
2018-05-08 07:00:00	0	13.64	13.64	13.64	13.64	11.81	FVI.MI	12.54	12.54	12.54	12.54						0																			12.54												
2018-05-09 07:00:00	0	13.64	13.64	13.64	13.64	11.81	FVI.MI	12.48	12.48	12.48	12.48						0																				12.48											
2018-05-10 07:00:00	0	13.64	13.64	13.64	13.64	11.81	FVI.MI	12.6	12.6	12.6	12.6						0																			12.6												
2018-05-11 07:00:00	0	13.64	13.64	13.64	13.64	11.81	FVI.MI	12.54	12.54	12.54	12.54						0																															
2018-05-14 07:00:00	220	13.95	13.41	13.95	13.41	11.62	FVI.MI	12.79	12.79	12.3	12.3						0								13.41												12.3		12.3									
2018-05-15 07:00:00	220	13.95	13.45	13.45	13.95	12.09	FVI.MI	12.3	12.75	12.3	12.75						0																															
2018-05-16 07:00:00	770	14.0	13.82	14.0	13.91	12.05	FVI.MI	13.1	13.1	12.93	13.02					1.0	0																			13.1												
2018-05-17 07:00:00	0	13.91	13.91	13.91	13.91	12.05	FVI.MI	12.98	12.98	12.98	12.98					1.0	0																				12.98											
2018-05-18 07:00:00	990	14.18	13.82	14.0	13.82	11.97	FVI.MI	13.26	13.43	13.09	13.09					1.0	0							14.18		14.18																						
2018-05-21 07:00:00	0	13.82	13.82	13.82	13.82	11.97	FVI.MI	13.29	13.29	13.29	13.29					1.0	0								13.82																							
2018-05-22 07:00:00	330	14.14	14.13	14.13	14.14	12.25	FVI.MI	13.52	13.52	13.52	13.52					1.0	0																															
2018-05-23 07:00:00	0	14.14	14.14	14.14	14.14	12.25	FVI.MI	13.7	13.7	13.7	13.7					1.0	0																															
2018-05-24 07:00:00	0	14.14	14.14	14.14	14.14	12.25	FVI.MI	13.8	13.8	13.8	13.8					1.0	0																															
