date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	8813463	16.82	16.15	16.81	16.2	9.3	G.MI	16.81	16.82	16.15	16.2						0																		16.82													
2016-01-05 08:00:00	6212233	16.37	16.02	16.2	16.37	9.4	G.MI	16.01	16.18	15.83	16.18						0																					15.83										
2016-01-06 08:00:00	7523791	16.35	15.95	16.2	16.06	9.22	G.MI	16.45	16.6	16.19	16.31						0																				16.6											
2016-01-07 08:00:00	9816902	16.18	15.58	15.71	16.03	9.2	G.MI	16.13	16.62	16.0	16.46						0								15.58													16.0										
2016-01-08 08:00:00	7668785	16.26	15.86	16.06	15.86	9.11	G.MI	16.76	16.97	16.55	16.55						0							16.26													16.97											
2016-01-11 08:00:00	10432648	15.81	15.41	15.7	15.41	8.85	G.MI	16.48	16.59	16.17	16.17						0								15.41																							
2016-01-12 08:00:00	6548268	15.73	15.45	15.45	15.63	8.97	G.MI	16.04	16.33	16.04	16.23						0																					16.04										
2016-01-13 08:00:00	6266552	16.1	15.74	15.75	15.94	9.15	G.MI	16.21	16.57	16.2	16.41						0							16.1																								
2016-01-14 08:00:00	6568025	15.86	15.56	15.75	15.75	9.04	G.MI	16.49	16.61	16.29	16.49						0																															
2016-01-15 08:00:00	9350086	15.78	15.36	15.63	15.4	8.84	G.MI	16.88	17.04	16.59	16.63						0																															
2016-01-18 08:00:00	7444744	15.53	15.01	15.34	15.07	8.65	G.MI	17.02	17.23	16.65	16.72						0																				17.23											
2016-01-19 08:00:00	5220065	15.37	15.03	15.31	15.18	8.72	G.MI	16.81	16.88	16.51	16.67						0																					16.51										
2016-01-20 08:00:00	9513157	14.94	14.4	14.92	14.58	8.37	G.MI	17.22	17.24	16.62	16.82						0								14.4												17.24		17.24								17.24	
2016-01-21 08:00:00	10958300	14.98	14.34	14.54	14.85	8.53	G.MI	16.1	16.59	15.88	16.45						0																					15.88										
2016-01-22 08:00:00	8398594	15.2	14.88	15.03	14.92	8.57	G.MI	16.38	16.56	16.21	16.26						0							15.2																								
2016-01-25 08:00:00	6645329	15.03	14.54	15.03	14.61	8.39	G.MI	16.72	16.72	16.17	16.25						0																				16.72											
2016-01-26 08:00:00	17105392	14.58	13.88	14.43	14.15	8.12	G.MI	15.81	15.97	15.21	15.5						0																															
2016-01-27 08:00:00	15563747	14.16	13.74	14.13	13.96	8.02	G.MI	15.54	15.58	15.11	15.36						0																					15.11										
2016-01-28 08:00:00	12172727	14.0	13.29	13.86	13.39	7.69	G.MI	15.8	15.96	15.15	15.26						0								13.29												15.96											
2016-01-29 08:00:00	9216215	13.79	13.53	13.65	13.79	7.92	G.MI	15.17	15.33	15.04	15.33					-1.0	0							13.79														15.04										
2016-02-01 08:00:00	8015606	13.84	13.42	13.83	13.55	7.78	G.MI	15.51	15.52	15.05	15.2					-1.0	0																															
2016-02-02 08:00:00	9708451	13.61	13.01	13.55	13.04	7.49	G.MI	15.68	15.75	15.05	15.09					-1.0	0																				15.75											
2016-02-03 08:00:00	12420806	13.1	12.47	13.06	12.72	7.3	G.MI	15.55	15.6	14.85	15.15					-1.0	0																															
2016-02-04 08:00:00	15546483	12.88	12.18	12.87	12.58	7.22	G.MI	15.14	15.15	14.33	14.8					-1.0	0																					14.33										
2016-02-05 08:00:00	12839676	12.69	12.23	12.57	12.24	7.03	G.MI	15.11	15.25	14.7	14.71					-1.0	0																															
2016-02-08 08:00:00	12818374	12.44	11.82	12.25	11.86	6.81	G.MI	15.45	15.69	14.91	14.96					-1.0	0																				15.69											
2016-02-09 08:00:00	14776781	12.05	11.3	11.87	11.38	6.53	G.MI	15.47	15.7	14.72	14.83					-1.0	0								11.3																							
2016-02-10 08:00:00	12955601	12.22	11.37	11.56	11.98	6.88	G.MI	14.34	15.16	14.1	14.86					-1.0	0							12.22														14.1										
2016-02-11 08:00:00	15791674	11.78	10.96	11.78	10.96	6.29	G.MI	15.49	15.49	14.41	14.41					-1.0	0																				15.49											
2016-02-12 08:00:00	12586956	11.29	10.9	11.22	11.15	6.4	G.MI	14.09	14.17	13.68	14.0					-1.0	0								10.9		10.9											13.68		13.68								
2016-02-15 08:00:00	12494703	11.69	11.36	11.42	11.6	6.66	G.MI	13.89	14.22	13.82	14.11					-1.0	0																															
2016-02-16 08:00:00	8433361	11.74	11.36	11.7	11.64	6.68	G.MI	14.31	14.35	13.89	14.23					-1.0	0																				14.35											
2016-02-17 08:00:00	8190207	11.99	11.54	11.67	11.91	6.84	G.MI	13.92	14.31	13.77	14.21					-1.0	0																					13.77										
2016-02-18 08:00:00	9100095	12.15	11.81	11.99	11.83	6.79	G.MI	14.53	14.72	14.31	14.33					-1.0	0							12.15													14.72											
2016-02-19 08:00:00	9185136	11.87	11.53	11.8	11.71	6.72	G.MI	14.47	14.55	14.14	14.36					-1.0	0								11.53																							
2016-02-22 08:00:00	7480049	12.19	11.84	11.85	12.13	6.96	G.MI	14.04	14.44	14.02	14.37					-1.0	0																					14.02										
2016-02-23 08:00:00	8394663	12.24	11.92	12.06	12.12	6.96	G.MI	14.57	14.79	14.4	14.64					-1.0	0							12.24																								
2016-02-24 08:00:00	8686744	12.14	11.85	12.1	11.98	6.88	G.MI	15.01	15.06	14.7	14.86					-1.0	0								11.85												15.06											
2016-02-25 08:00:00	7475822	12.27	12.09	12.1	12.23	7.02	G.MI	14.67	14.87	14.66	14.82					-1.0	0																					14.66										
2016-02-26 08:00:00	10059185	12.81	12.33	12.35	12.77	7.33	G.MI	14.65	15.19	14.62	15.14					-1.0	0																				15.19											
2016-02-29 08:00:00	9637114	12.84	12.47	12.69	12.81	7.35	G.MI	14.93	15.11	14.67	15.07					-1.0	0																															
2016-03-01 08:00:00	9057402	12.99	12.62	12.72	12.91	7.41	G.MI	14.64	14.95	14.53	14.86					-1.0	0																					14.53										
2016-03-02 08:00:00	9000959	13.19	12.91	12.93	13.11	7.53	G.MI	14.73	15.02	14.7	14.93					-1.0	0																				15.02											
