date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2017-12-20 08:00:00	50000	2.72	2.51	2.71	2.57	2.57	GEL.MI	2.71	2.72	2.51	2.57						0																		2.72													2.72	
2017-12-21 08:00:00	11250	2.57	2.53	2.54	2.53	2.53	GEL.MI	2.53	2.55	2.52	2.52						0																																
2017-12-22 08:00:00	6250	2.52	2.5	2.52	2.5	2.5	GEL.MI	2.51	2.51	2.49	2.49						0																																
2017-12-27 08:00:00	625	2.51	2.51	2.51	2.51	2.51	GEL.MI	2.5	2.5	2.5	2.5						0																																
2017-12-28 08:00:00	4375	2.49	2.44	2.49	2.44	2.44	GEL.MI	2.48	2.48	2.43	2.43						0																					2.43											
2017-12-29 08:00:00	5000	2.5	2.34	2.4	2.5	2.5	GEL.MI	2.43	2.53	2.37	2.53						0								2.34																								
2018-01-02 08:00:00	2500	2.51	2.5	2.5	2.51	2.51	GEL.MI	2.53	2.54	2.53	2.54						0																				2.54												
2018-01-03 08:00:00	0	2.51	2.51	2.51	2.51	2.51	GEL.MI	2.53	2.53	2.53	2.53						0																																
2018-01-04 08:00:00	625	2.54	2.54	2.54	2.54	2.54	GEL.MI	2.5	2.5	2.5	2.5						0							2.54																									
2018-01-05 08:00:00	11250	2.49	2.41	2.49	2.41	2.41	GEL.MI	2.41	2.41	2.34	2.34						0								2.41													2.34											
2018-01-08 08:00:00	625	2.46	2.46	2.46	2.46	2.46	GEL.MI	2.38	2.38	2.38	2.38						0							2.46													2.38												
2018-01-09 08:00:00	1250	2.42	2.42	2.42	2.42	2.42	GEL.MI	2.33	2.33	2.33	2.33						0								2.42													2.33											
2018-01-10 08:00:00	3750	2.46	2.46	2.46	2.46	2.46	GEL.MI	2.35	2.35	2.35	2.35						0							2.46													2.35												
2018-01-11 08:00:00	2500	2.41	2.4	2.4	2.41	2.41	GEL.MI	2.28	2.29	2.28	2.29						0																																
2018-01-12 08:00:00	2500	2.41	2.39	2.39	2.41	2.41	GEL.MI	2.26	2.27	2.26	2.27						0																																
2018-01-15 08:00:00	625	2.4	2.4	2.4	2.4	2.4	GEL.MI	2.25	2.25	2.25	2.25						0																					2.25											
