date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	809052	4.06	3.9	4.05	3.94	3.66	GEO.MI	4.05	4.06	3.9	3.94						0																		4.06													
2016-01-05 08:00:00	611692	4.05	3.85	4.05	3.85	3.58	GEO.MI	4.01	4.01	3.8	3.8						0																					3.8										
2016-01-06 08:00:00	748185	3.88	3.7	3.86	3.88	3.61	GEO.MI	3.92	3.94	3.76	3.94						0																				3.94											
2016-01-07 08:00:00	807816	3.81	3.65	3.71	3.73	3.47	GEO.MI	3.81	3.92	3.75	3.83						0																					3.75		3.75								
2016-01-08 08:00:00	652737	3.82	3.65	3.77	3.65	3.4	GEO.MI	3.93	3.99	3.81	3.81						0																				3.99		3.99									
2016-01-11 08:00:00	489296	3.71	3.58	3.65	3.62	3.36	GEO.MI	3.83	3.89	3.76	3.8						0								3.58													3.76										
2016-01-12 08:00:00	335339	3.75	3.62	3.7	3.69	3.43	GEO.MI	3.84	3.9	3.76	3.83						0																															
2016-01-13 08:00:00	197035	3.77	3.69	3.69	3.74	3.48	GEO.MI	3.8	3.88	3.8	3.85						0							3.77													3.88											
2016-01-14 08:00:00	829652	3.74	3.54	3.7	3.64	3.38	GEO.MI	3.87	3.92	3.7	3.81						0																					3.7		3.7								
2016-01-15 08:00:00	1221987	3.71	3.57	3.57	3.64	3.38	GEO.MI	3.85	4.01	3.85	3.93						0																															
2016-01-18 08:00:00	597600	3.74	3.52	3.74	3.56	3.31	GEO.MI	4.15	4.15	3.91	3.95						0								3.52																							
2016-01-19 08:00:00	410306	3.72	3.57	3.57	3.67	3.41	GEO.MI	3.92	4.08	3.92	4.03						0							3.72																								
2016-01-20 08:00:00	614286	3.67	3.52	3.59	3.6	3.35	GEO.MI	4.14	4.24	4.06	4.16						0																				4.24											
2016-01-21 08:00:00	742869	3.67	3.47	3.59	3.63	3.37	GEO.MI	3.98	4.06	3.84	4.02						0								3.47		3.47											3.84										
2016-01-22 08:00:00	487658	3.86	3.65	3.65	3.72	3.45	GEO.MI	3.98	4.2	3.98	4.05						0							3.86		3.86																						
2016-01-25 08:00:00	415584	3.75	3.65	3.75	3.67	3.41	GEO.MI	4.17	4.17	4.06	4.09						0								3.65												4.17											
2016-01-26 08:00:00	372353	3.8	3.56	3.66	3.77	3.5	GEO.MI	4.01	4.16	3.9	4.13						0																					3.9										
2016-01-27 08:00:00	400278	3.84	3.73	3.78	3.73	3.47	GEO.MI	4.16	4.23	4.1	4.1						0							3.84																								
2016-01-28 08:00:00	463309	3.81	3.58	3.7	3.6	3.34	GEO.MI	4.22	4.35	4.08	4.1						0																				4.35		4.35		4.35						4.35	
2016-01-29 08:00:00	602002	3.67	3.51	3.62	3.56	3.31	GEO.MI	4.03	4.08	3.9	3.96						0																					3.9										
2016-02-01 08:00:00	1122003	3.64	3.47	3.56	3.55	3.3	GEO.MI	3.99	4.08	3.89	3.98						0																															
2016-02-02 08:00:00	614542	3.6	3.48	3.51	3.48	3.24	GEO.MI	4.06	4.16	4.03	4.03						0																															
2016-02-03 08:00:00	860294	3.5	3.4	3.46	3.45	3.21	GEO.MI	4.12	4.17	4.05	4.11						0								3.4												4.17											
2016-02-04 08:00:00	832589	3.53	3.36	3.46	3.49	3.24	GEO.MI	4.07	4.15	3.95	4.1						0							3.53																								
2016-02-05 08:00:00	2253664	3.5	3.17	3.45	3.17	2.95	GEO.MI	4.14	4.2	3.81	3.81						0																															
2016-02-08 08:00:00	2329698	3.2	2.84	3.14	2.87	2.67	GEO.MI	3.96	4.04	3.58	3.62					-1.0	0																															
2016-02-09 08:00:00	888507	2.9	2.73	2.83	2.83	2.63	GEO.MI	3.69	3.78	3.56	3.69					-1.0	0								2.73																							
2016-02-10 08:00:00	784919	2.99	2.81	2.84	2.97	2.76	GEO.MI	3.52	3.71	3.48	3.68					-1.0	0							2.99														3.48										
2016-02-11 08:00:00	718398	3.0	2.81	2.91	2.84	2.64	GEO.MI	3.82	3.94	3.7	3.74					-1.0	0								2.81												3.94											
2016-02-12 08:00:00	481298	2.98	2.83	2.93	2.83	2.63	GEO.MI	3.68	3.74	3.55	3.55					-1.0	0																															
2016-02-15 08:00:00	485309	2.99	2.89	2.95	2.92	2.72	GEO.MI	3.59	3.63	3.51	3.56					-1.0	0							2.99																								
2016-02-16 08:00:00	2581770	3.0	2.58	2.95	2.58	2.4	GEO.MI	3.6	3.67	3.15	3.15					-1.0	0																															
2016-02-17 08:00:00	1399376	2.74	2.6	2.6	2.63	2.45	GEO.MI	3.1	3.27	3.1	3.14					-1.0	0								2.6													3.1		3.1								
2016-02-18 08:00:00	844299	2.73	2.64	2.64	2.67	2.48	GEO.MI	3.2	3.31	3.2	3.23					-1.0	0							2.73																								
2016-02-19 08:00:00	421169	2.71	2.64	2.66	2.68	2.49	GEO.MI	3.26	3.32	3.23	3.29					-1.0	0								2.64																							
2016-02-22 08:00:00	886852	2.81	2.72	2.74	2.76	2.56	GEO.MI	3.24	3.33	3.23	3.27					-1.0	0							2.81																								
2016-02-23 08:00:00	913911	2.8	2.68	2.79	2.71	2.51	GEO.MI	3.37	3.38	3.24	3.27					-1.0	0																				3.38											
2016-02-24 08:00:00	414034	2.73	2.59	2.72	2.64	2.45	GEO.MI	3.37	3.38	3.21	3.27					-1.0	0								2.59		2.59		2.59																			
2016-02-25 08:00:00	622697	2.74	2.58	2.7	2.71	2.52	GEO.MI	3.27	3.32	3.13	3.28					-1.0	0																					3.13										
2016-02-26 08:00:00	2765448	3.06	2.77	2.8	2.99	2.78	GEO.MI	3.32	3.63	3.29	3.55					-1.0	0																															
2016-02-29 08:00:00	2052418	3.17	2.95	3.13	2.97	2.76	GEO.MI	3.68	3.73	3.47	3.5					-1.0	0							3.17		3.17											3.73		3.73									
2016-03-01 08:00:00	1274763	3.01	2.93	2.96	2.96	2.75	GEO.MI	3.41	3.46	3.37	3.41					-1.0	0								2.93																							
2016-03-02 08:00:00	1144614	3.07	2.91	3.0	2.96	2.75	GEO.MI	3.42	3.5	3.32	3.37					-1.0	0							3.07																								
2016-03-03 08:00:00	644573	3.0	2.92	2.96	2.93	2.72	GEO.MI	3.34	3.39	3.3	3.31					-1.0	0																															
2016-03-04 08:00:00	1083110	2.97	2.83	2.94	2.91	2.71	GEO.MI	3.33	3.37	3.21	3.3					-1.0	0																															
2016-03-07 08:00:00	714309	2.91	2.81	2.89	2.86	2.66	GEO.MI	3.32	3.34	3.22	3.29					-1.0	0																															
2016-03-08 08:00:00	1729959	2.89	2.76	2.89	2.8	2.6	GEO.MI	3.33	3.33	3.18	3.22					-1.0	0																															
2016-03-09 08:00:00	618759	2.87	2.77	2.8	2.81	2.61	GEO.MI	3.19	3.26	3.15	3.2					-1.0	0								2.77		2.77											3.15										
2016-03-10 08:00:00	3240146	3.09	2.85	2.9	2.98	2.77	GEO.MI	3.32	3.54	3.26	3.41					-1.0	0																				3.54											
2016-03-11 08:00:00	927105	3.1	2.98	3.03	2.98	2.77	GEO.MI	3.3	3.39	3.25	3.25					-1.0	0							3.1		3.1																						
2016-03-14 08:00:00	881692	3.06	2.98	3.05	3.0	2.79	GEO.MI	3.34	3.34	3.26	3.28					-1.0	0																					3.26										
2016-03-15 08:00:00	939951	3.05	2.95	3.05	2.96	2.75	GEO.MI	3.37	3.37	3.26	3.27					-1.0	0																				3.37											
2016-03-16 08:00:00	631029	3.02	2.9	2.95	2.93	2.72	GEO.MI	3.27	3.34	3.21	3.25					-1.0	0																															
2016-03-17 08:00:00	571416	3.01	2.83	2.99	2.87	2.67	GEO.MI	3.34	3.36	3.16	3.2					-1.0	0								2.83													3.16										
2016-03-18 08:00:00	617931	3.0	2.84	2.88	2.95	2.74	GEO.MI	3.21	3.34	3.16	3.28					-1.0	0																															
2016-03-21 08:00:00	468215	2.99	2.93	2.93	2.94	2.73	GEO.MI	3.25	3.31	3.25	3.26					-1.0	0							2.99													3.31			3.25								
2016-03-22 08:00:00	634534	2.99	2.85	2.95	2.91	2.7	GEO.MI	3.27	3.31	3.16	3.23					-1.0	0								2.85													3.16										
2016-03-23 08:00:00	486311	2.98	2.91	2.96	2.91	2.71	GEO.MI	3.33	3.35	3.26	3.27					-1.0	0							2.98													3.35											
2016-03-24 08:00:00	807171	2.94	2.8	2.93	2.82	2.62	GEO.MI	3.34	3.35	3.2	3.22					-1.0	0																															
2016-03-29 07:00:00	421361	2.88	2.81	2.87	2.84	2.64	GEO.MI	3.27	3.29	3.21	3.24					-1.0	0								2.81																							
2016-03-30 07:00:00	751565	2.9	2.82	2.87	2.88	2.67	GEO.MI	3.24	3.28	3.18	3.25					-1.0	0							2.9														3.18										
2016-03-31 07:00:00	674613	2.9	2.8	2.89	2.85	2.65	GEO.MI	3.3	3.32	3.2	3.26					-1.0	0																				3.32											
2016-04-01 07:00:00	791010	2.85	2.75	2.81	2.76	2.57	GEO.MI	3.27	3.32	3.21	3.22					-1.0	0								2.75													3.21										
2016-04-04 07:00:00	389941	2.84	2.73	2.74	2.84	2.64	GEO.MI	3.22	3.33	3.21	3.33					-1.0	0							2.84																								
2016-04-05 07:00:00	580199	2.8	2.67	2.8	2.68	2.49	GEO.MI	3.4	3.4	3.24	3.25					-1.0	0																				3.4		3.4									
