volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
0	9.85	9.85	9.85	9.85	7.68	GPI.MI	9.85	9.85	9.85	9.85			0.0			0																																						
0	9.85	9.85	9.85	9.85	7.68	GPI.MI	9.73	9.73	9.73	9.73			0.0			0																				9.73								9.73			0.0	0.0	0.0	0.0	0.0	0.0		0.0
500	9.82	9.82	9.82	9.82	7.66	GPI.MI	9.98	9.98	9.98	9.98			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
600	9.8	9.65	9.65	9.8	7.64	GPI.MI	9.91	10.06	9.91	10.06			0.0			0								9.65																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.64	GPI.MI	10.23	10.23	10.23	10.23			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.64	GPI.MI	10.29	10.29	10.29	10.29			0.0			0																			10.29												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.64	GPI.MI	10.17	10.17	10.17	10.17			0.0			0							9.8																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.64	GPI.MI	10.09	10.09	10.09	10.09			0.0			0																				10.09											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.64	GPI.MI	10.26	10.26	10.26	10.26			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
5000	9.7	9.7	9.7	9.7	7.56	GPI.MI	10.48	10.48	10.48	10.48			0.0			0								9.7																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
100	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.82	10.82	10.82	10.82			0.0			0																			10.82												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.71	10.71	10.71	10.71			0.0			0																				10.71											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	11.25	11.25	11.25	11.25			0.0			0																			11.25		11.25										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.8	10.8	10.8	10.8			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.62	10.62	10.62	10.62			0.0			0																				10.62		10.62									0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.84	10.84	10.84	10.84			0.0			0																			10.84												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.68	10.68	10.68	10.68			0.0			0																				10.68											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.73	10.73	10.73	10.73			0.0			0							9.75																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	11.11	11.11	11.11	11.11			0.0			0																			11.11												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.84	10.84	10.84	10.84			0.0			0																				10.84											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	10.94	10.94	10.94	10.94			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	11.28	11.28	11.28	11.28			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	11.61	11.61	11.61	11.61			0.0		1.0	0																			11.61												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	11.47	11.47	11.47	11.47			0.0		1.0	0																				11.47											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	11.72	11.72	11.72	11.72			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.75	9.75	9.75	9.75	7.6	GPI.MI	12.3	12.3	12.3	12.3			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
10000	9.51	9.51	9.51	9.51	7.41	GPI.MI	12.38	12.38	12.38	12.38			0.0		1.0	0								9.51											12.38												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
300	9.7	9.7	9.7	9.7	7.56	GPI.MI	12.03	12.03	12.03	12.03			0.0		1.0	0							9.7													12.03											0.0	0.0	0.0	0.0	0.0	0.0		0.0
38000	9.51	9.45	9.51	9.45	7.37	GPI.MI	12.49	12.49	12.42	12.42			0.0		1.0	0								9.45		9.45						9.45			12.49		12.49										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
900	9.8	9.64	9.64	9.8	7.63	GPI.MI	12.1	12.3	12.1	12.3			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.63	GPI.MI	11.92	11.92	11.92	11.92			0.0		1.0	0																				11.92											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.63	GPI.MI	11.98	11.98	11.98	11.98			0.0		1.0	0																			11.98												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.63	GPI.MI	11.69	11.69	11.69	11.69			0.0		1.0	0																				11.69											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.8	9.8	9.8	9.8	7.63	GPI.MI	11.87	11.87	11.87	11.87			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
500	9.82	9.82	9.82	9.82	7.66	GPI.MI	12.05	12.05	12.05	12.05			0.0		1.0	0																			12.05												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.82	9.82	9.82	9.82	7.66	GPI.MI	11.64	11.64	11.64	11.64			0.0		1.0	0																				11.64											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.82	9.82	9.82	9.82	7.66	GPI.MI	11.87	11.87	11.87	11.87			0.0		1.0	0							9.82		9.82																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.82	9.82	9.82	9.82	7.66	GPI.MI	12.18	12.18	12.18	12.18			0.0		1.0	0																			12.18												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.82	9.82	9.82	9.82	7.66	GPI.MI	11.91	11.91	11.91	11.91			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
