date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	33188	0.47	0.43	0.43	0.45	0.41	GTH.MI	0.43	0.47	0.43	0.45						0																	0.47														
2016-01-05 08:00:00	9432	0.46	0.43	0.44	0.46	0.42	GTH.MI	0.44	0.46	0.43	0.46						0																															
2016-01-06 08:00:00	21442	0.46	0.44	0.44	0.45	0.41	GTH.MI	0.45	0.47	0.44	0.46						0																															
2016-01-07 08:00:00	30862	0.46	0.43	0.45	0.46	0.42	GTH.MI	0.46	0.47	0.44	0.47						0																															
2016-01-08 08:00:00	15906	0.46	0.43	0.45	0.45	0.41	GTH.MI	0.47	0.48	0.45	0.47						0																			0.48												
2016-01-11 08:00:00	78557	0.45	0.43	0.44	0.43	0.39	GTH.MI	0.46	0.48	0.45	0.45						0																															
2016-01-12 08:00:00	15916	0.44	0.43	0.43	0.44	0.4	GTH.MI	0.45	0.46	0.45	0.46						0																															
2016-01-13 08:00:00	4801	0.44	0.43	0.44	0.43	0.39	GTH.MI	0.45	0.45	0.45	0.45						0																				0.45											
2016-01-14 08:00:00	41989	0.43	0.42	0.43	0.43	0.39	GTH.MI	0.45	0.45	0.44	0.45						0								0.42																							
2016-01-15 08:00:00	19308	0.44	0.42	0.43	0.44	0.4	GTH.MI	0.46	0.47	0.45	0.47						0																															
2016-01-18 08:00:00	90684	0.45	0.41	0.45	0.44	0.4	GTH.MI	0.5	0.5	0.46	0.49						0																															
2016-01-19 08:00:00	11043	0.44	0.42	0.43	0.44	0.41	GTH.MI	0.47	0.49	0.46	0.49						0							0.44																								
2016-01-20 08:00:00	37779	0.44	0.41	0.43	0.44	0.4	GTH.MI	0.5	0.5	0.48	0.5						0								0.41											0.5												
2016-01-21 08:00:00	53889	0.45	0.41	0.41	0.42	0.38	GTH.MI	0.46	0.5	0.46	0.47						0																															
2016-01-22 08:00:00	37543	0.45	0.42	0.43	0.44	0.4	GTH.MI	0.47	0.49	0.45	0.48						0																				0.45											
2016-01-25 08:00:00	32849	0.45	0.42	0.43	0.45	0.41	GTH.MI	0.48	0.5	0.47	0.5						0																			0.5												
2016-01-26 08:00:00	17430	0.44	0.43	0.43	0.44	0.41	GTH.MI	0.47	0.49	0.47	0.49						0																				0.47											
2016-01-27 08:00:00	53267	0.45	0.43	0.43	0.45	0.41	GTH.MI	0.48	0.49	0.48	0.49						0							0.45		0.45																						
2016-01-28 08:00:00	4855	0.45	0.43	0.44	0.45	0.41	GTH.MI	0.5	0.51	0.49	0.51						0																			0.51												
2016-01-29 08:00:00	11502	0.44	0.43	0.43	0.44	0.4	GTH.MI	0.48	0.49	0.48	0.49						0																				0.48											
2016-02-01 08:00:00	13456	0.44	0.43	0.43	0.44	0.4	GTH.MI	0.48	0.5	0.48	0.5						0																															
2016-02-02 08:00:00	29044	0.45	0.43	0.45	0.44	0.4	GTH.MI	0.52	0.52	0.49	0.51					1.0	0																			0.52												
2016-02-03 08:00:00	23102	0.44	0.42	0.44	0.44	0.4	GTH.MI	0.52	0.52	0.5	0.52					1.0	0																															
2016-02-04 08:00:00	30367	0.44	0.41	0.44	0.43	0.39	GTH.MI	0.52	0.52	0.48	0.51					1.0	0																				0.48											
2016-02-05 08:00:00	65811	0.43	0.41	0.41	0.43	0.39	GTH.MI	0.5	0.52	0.5	0.51					1.0	0																															
2016-02-08 08:00:00	54334	0.42	0.38	0.42	0.41	0.37	GTH.MI	0.52	0.52	0.48	0.52					1.0	0																			0.52		0.52										
2016-02-09 08:00:00	72751	0.41	0.37	0.39	0.39	0.36	GTH.MI	0.51	0.53	0.48	0.51					1.0	0																															
2016-02-10 08:00:00	15965	0.4	0.38	0.39	0.39	0.36	GTH.MI	0.49	0.49	0.47	0.49					1.0	0																				0.47											
2016-02-11 08:00:00	45164	0.39	0.37	0.39	0.37	0.34	GTH.MI	0.52	0.52	0.48	0.49					1.0	0																			0.52												
2016-02-12 08:00:00	31059	0.37	0.36	0.37	0.36	0.33	GTH.MI	0.46	0.46	0.45	0.46					1.0	0								0.36		0.36										0.45											
2016-02-15 08:00:00	39793	0.39	0.36	0.37	0.39	0.36	GTH.MI	0.45	0.47	0.44	0.47					-1.0	0																															
2016-02-16 08:00:00	54844	0.4	0.38	0.38	0.39	0.36	GTH.MI	0.47	0.49	0.46	0.48					-1.0	0																			0.49			0.46									
2016-02-17 08:00:00	124677	0.41	0.38	0.39	0.39	0.36	GTH.MI	0.47	0.49	0.45	0.47					-1.0	0																				0.45											
2016-02-18 08:00:00	44954	0.4	0.38	0.39	0.39	0.36	GTH.MI	0.47	0.49	0.46	0.47					-1.0	0																															
2016-02-19 08:00:00	116795	0.43	0.39	0.4	0.42	0.39	GTH.MI	0.49	0.53	0.48	0.52					-1.0	0																															
2016-02-22 08:00:00	141005	0.44	0.41	0.43	0.43	0.39	GTH.MI	0.5	0.52	0.49	0.51					-1.0	0							0.44																								
2016-02-23 08:00:00	598	0.43	0.4	0.43	0.43	0.39	GTH.MI	0.52	0.52	0.49	0.52					-1.0	0								0.4																							
2016-02-24 08:00:00	64334	0.43	0.4	0.41	0.41	0.38	GTH.MI	0.51	0.54	0.5	0.51					1.0	0																															
2016-02-25 08:00:00	142458	0.45	0.41	0.42	0.43	0.39	GTH.MI	0.51	0.55	0.49	0.52					1.0	0																			0.55		0.55		0.55								
2016-02-26 08:00:00	27286	0.45	0.42	0.42	0.45	0.41	GTH.MI	0.49	0.53	0.49	0.53					1.0	0																															
2016-02-29 08:00:00	130759	0.45	0.42	0.44	0.45	0.41	GTH.MI	0.52	0.53	0.49	0.53					1.0	0																															
2016-03-01 08:00:00	151804	0.45	0.43	0.45	0.43	0.39	GTH.MI	0.52	0.52	0.5	0.5					1.0	0																															
2016-03-02 08:00:00	64455	0.45	0.43	0.45	0.45	0.41	GTH.MI	0.51	0.51	0.49	0.51					1.0	0							0.45																								
2016-03-03 08:00:00	107752	0.45	0.43	0.45	0.44	0.41	GTH.MI	0.51	0.51	0.49	0.5					1.0	0																															
2016-03-04 08:00:00	44732	0.44	0.42	0.44	0.44	0.41	GTH.MI	0.49	0.5	0.48	0.5					1.0	0																				0.48											
2016-03-07 08:00:00	69750	0.44	0.43	0.44	0.44	0.4	GTH.MI	0.51	0.51	0.49	0.51					1.0	0																															
2016-03-08 08:00:00	182962	0.47	0.42	0.43	0.44	0.4	GTH.MI	0.5	0.54	0.48	0.5					1.0	0																			0.54												
2016-03-09 08:00:00	287615	0.44	0.43	0.44	0.43	0.39	GTH.MI	0.5	0.51	0.48	0.49					1.0	0								0.43																							
2016-03-10 08:00:00	13660	0.43	0.42	0.43	0.43	0.39	GTH.MI	0.49	0.49	0.49	0.49					1.0	0																															
2016-03-11 08:00:00	437484	0.46	0.42	0.42	0.44	0.4	GTH.MI	0.46	0.5	0.45	0.48					1.0	0							0.46		0.46		0.46																				
2016-03-14 08:00:00	202331	0.45	0.42	0.44	0.43	0.39	GTH.MI	0.48	0.49	0.45	0.47					1.0	0								0.42		0.42										0.45											
2016-03-15 08:00:00	20291	0.44	0.43	0.43	0.43	0.4	GTH.MI	0.48	0.49	0.47	0.48					1.0	0																															
2016-03-16 08:00:00	12942	0.44	0.43	0.43	0.44	0.4	GTH.MI	0.47	0.49	0.47	0.49					1.0	0							0.44																								
2016-03-17 08:00:00	65290	0.45	0.43	0.44	0.44	0.4	GTH.MI	0.48	0.5	0.48	0.49					1.0	0																			0.5			0.48									
2016-03-18 08:00:00	68092	0.45	0.43	0.44	0.43	0.39	GTH.MI	0.5	0.5	0.47	0.47					1.0	0																															
2016-03-21 08:00:00	112736	0.44	0.42	0.43	0.43	0.39	GTH.MI	0.48	0.49	0.47	0.47					1.0	0																															
2016-03-22 08:00:00	122319	0.43	0.41	0.43	0.42	0.38	GTH.MI	0.47	0.48	0.45	0.46					-1.0	0																				0.45											
2016-03-23 08:00:00	14839	0.43	0.42	0.43	0.42	0.38	GTH.MI	0.48	0.48	0.47	0.47					-1.0	0								0.42																							
2016-03-24 08:00:00	7174	0.43	0.41	0.41	0.43	0.39	GTH.MI	0.47	0.49	0.47	0.49					-1.0	0																															
2016-03-29 07:00:00	34852	0.43	0.41	0.43	0.43	0.39	GTH.MI	0.49	0.49	0.47	0.49					-1.0	0																															
2016-03-30 07:00:00	47159	0.44	0.43	0.43	0.44	0.4	GTH.MI	0.49	0.5	0.49	0.5					-1.0	0							0.44												0.5												
2016-03-31 07:00:00	54210	0.43	0.42	0.43	0.43	0.39	GTH.MI	0.49	0.49	0.49	0.49					-1.0	0																				0.49											
2016-04-01 07:00:00	63709	0.43	0.41	0.42	0.43	0.39	GTH.MI	0.49	0.5	0.48	0.5					-1.0	0								0.41																							
2016-04-04 07:00:00	369240	0.44	0.41	0.43	0.43	0.39	GTH.MI	0.51	0.52	0.48	0.5					-1.0	0							0.44		0.44										0.52		0.52										
2016-04-05 07:00:00	137220	0.42	0.39	0.42	0.39	0.35	GTH.MI	0.51	0.51	0.47	0.47					-1.0	0																															
2016-04-06 07:00:00	28152	0.4	0.38	0.4	0.39	0.36	GTH.MI	0.48	0.48	0.46	0.47					-1.0	0								0.38		0.38										0.46											
2016-04-07 07:00:00	12048	0.4	0.38	0.39	0.38	0.35	GTH.MI	0.49	0.49	0.47	0.47					-1.0	0																			0.49												
2016-04-08 07:00:00	37050	0.4	0.39	0.39	0.4	0.37	GTH.MI	0.47	0.48	0.47	0.48					-1.0	0							0.4																								
2016-04-11 07:00:00	20500	0.41	0.39	0.41	0.39	0.36	GTH.MI	0.48	0.48	0.46	0.46					-1.0	0																															
2016-04-12 07:00:00	18092	0.4	0.39	0.39	0.39	0.36	GTH.MI	0.47	0.48	0.46	0.46					-1.0	0								0.39																							
2016-04-13 07:00:00	20536	0.41	0.39	0.4	0.41	0.37	GTH.MI	0.46	0.47	0.44	0.47					-1.0	0																															
2016-04-14 07:00:00	41498	0.42	0.39	0.4	0.41	0.37	GTH.MI	0.45	0.47	0.45	0.46					-1.0	0							0.42																								
2016-04-15 07:00:00	39074	0.41	0.4	0.4	0.4	0.36	GTH.MI	0.45	0.46	0.45	0.45					-1.0	0								0.4												0.45		0.45									
2016-04-18 07:00:00	327031	0.44	0.4	0.4	0.43	0.39	GTH.MI	0.45	0.5	0.45	0.48					-1.0	0							0.44												0.5		0.5										
2016-04-19 07:00:00	44691	0.42	0.41	0.42	0.41	0.37	GTH.MI	0.48	0.48	0.46	0.46					-1.0	0								0.41																							
2016-04-20 07:00:00	9309	0.42	0.41	0.41	0.41	0.37	GTH.MI	0.46	0.47	0.46	0.46					-1.0	0																				0.46											
2016-04-21 07:00:00	90788	0.44	0.42	0.42	0.43	0.39	GTH.MI	0.46	0.49	0.46	0.48					-1.0	0																			0.49												
2016-04-22 07:00:00	7750	0.43	0.42	0.43	0.43	0.39	GTH.MI	0.48	0.48	0.46	0.48					-1.0	0																				0.46											
2016-04-25 07:00:00	3010	0.43	0.42	0.42	0.43	0.39	GTH.MI	0.47	0.48	0.47	0.48					-1.0	0																			0.48												
2016-04-26 07:00:00	23070	0.43	0.42	0.42	0.43	0.39	GTH.MI	0.46	0.48	0.46	0.48					-1.0	0																				0.46											
2016-04-27 07:00:00	231759	0.45	0.42	0.44	0.44	0.41	GTH.MI	0.48	0.5	0.46	0.49					-1.0	0																															
2016-04-28 07:00:00	408764	0.45	0.42	0.45	0.44	0.4	GTH.MI	0.49	0.49	0.46	0.48					-1.0	0							0.45		0.45																						
2016-04-29 07:00:00	20849	0.45	0.43	0.43	0.43	0.4	GTH.MI	0.48	0.5	0.48	0.48					-1.0	0																			0.5												
2016-05-02 07:00:00	21000	0.43	0.43	0.43	0.43	0.39	GTH.MI	0.49	0.49	0.48	0.48					-1.0	0																				0.48											
2016-05-03 07:00:00	90897	0.43	0.42	0.42	0.43	0.39	GTH.MI	0.49	0.5	0.48	0.49					-1.0	0																			0.5												
2016-05-04 07:00:00	31474	0.43	0.41	0.42	0.42	0.38	GTH.MI	0.48	0.49	0.48	0.48					-1.0	0																															
2016-05-05 07:00:00	37524	0.41	0.41	0.41	0.41	0.37	GTH.MI	0.48	0.48	0.47	0.47					-1.0	0																				0.47											
2016-05-06 07:00:00	1	0.41	0.41	0.41	0.41	0.38	GTH.MI	0.48	0.48	0.48	0.48					-1.0	0																															
2016-05-09 07:00:00	0	0.41	0.41	0.41	0.41	0.38	GTH.MI	0.49	0.49	0.49	0.49					-1.0	0																			0.49												
2016-05-10 07:00:00	359	0.4	0.4	0.4	0.4	0.37	GTH.MI	0.47	0.47	0.47	0.47					-1.0	0								0.4																							
2016-05-11 07:00:00	4825	0.4	0.4	0.4	0.4	0.36	GTH.MI	0.46	0.46	0.46	0.46					-1.0	0																				0.46											
2016-05-12 07:00:00	11942	0.41	0.4	0.4	0.41	0.37	GTH.MI	0.48	0.48	0.46	0.48					-1.0	0																															
2016-05-13 07:00:00	21310	0.41	0.4	0.41	0.41	0.37	GTH.MI	0.48	0.48	0.47	0.48					-1.0	0							0.41																								
2016-05-16 07:00:00	18800	0.41	0.4	0.4	0.41	0.37	GTH.MI	0.47	0.48	0.47	0.48					-1.0	0																															
2016-05-17 07:00:00	9443	0.41	0.4	0.41	0.4	0.37	GTH.MI	0.49	0.49	0.48	0.48					-1.0	0								0.4																							
2016-05-18 07:00:00	11440	0.41	0.4	0.4	0.41	0.37	GTH.MI	0.47	0.48	0.47	0.48					-1.0	0																															
2016-05-19 07:00:00	8907	0.42	0.4	0.42	0.4	0.37	GTH.MI	0.49	0.49	0.48	0.48					-1.0	0																															
