date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2019-06-19 07:00:00	138225	3.99	3.66	3.99	3.71	3.6	IEG.MI	3.99	3.99	3.66	3.71						0																																
2019-06-20 07:00:00	29088	3.77	3.72	3.72	3.74	3.64	IEG.MI	3.7	3.75	3.7	3.72						0								3.72													3.7											
2019-06-21 07:00:00	132269	3.8	3.71	3.8	3.73	3.63	IEG.MI	3.77	3.77	3.68	3.7						0																																
2019-06-24 07:00:00	20727	3.78	3.73	3.73	3.78	3.68	IEG.MI	3.72	3.77	3.72	3.77						0							3.78													3.77												
2019-06-25 07:00:00	5051	3.78	3.65	3.7	3.7	3.6	IEG.MI	3.72	3.8	3.67	3.71						0																																
2019-06-26 07:00:00	13909	3.7	3.6	3.7	3.7	3.6	IEG.MI	3.73	3.73	3.63	3.73						0								3.6																								
2019-06-27 07:00:00	31297	3.7	3.65	3.7	3.65	3.55	IEG.MI	3.72	3.72	3.67	3.67						0																					3.67											
2019-06-28 07:00:00	132	3.75	3.67	3.75	3.67	3.57	IEG.MI	3.75	3.75	3.67	3.67						0																				3.75												
2019-07-01 07:00:00	5150	3.71	3.7	3.7	3.7	3.6	IEG.MI	3.69	3.7	3.69	3.69						0							3.71																									
2019-07-02 07:00:00	2000	3.7	3.7	3.7	3.7	3.6	IEG.MI	3.67	3.67	3.67	3.67						0																																
2019-07-03 07:00:00	3250	3.7	3.61	3.61	3.68	3.58	IEG.MI	3.5	3.58	3.5	3.57						0																																
2019-07-04 07:00:00	1311	3.7	3.63	3.68	3.64	3.54	IEG.MI	3.53	3.55	3.48	3.49						0																																
2019-07-05 07:00:00	25612	3.64	3.55	3.6	3.55	3.45	IEG.MI	3.48	3.51	3.43	3.43						0								3.55													3.43											
2019-07-08 07:00:00	10175	3.67	3.55	3.55	3.67	3.57	IEG.MI	3.43	3.54	3.43	3.54						0							3.67													3.54												
2019-07-09 07:00:00	51650	3.66	3.5	3.51	3.6	3.5	IEG.MI	3.4	3.55	3.39	3.49						0								3.5		3.5											3.39		3.39									
2019-07-10 07:00:00	86899	3.79	3.65	3.69	3.72	3.62	IEG.MI	3.55	3.65	3.51	3.58						0																																
2019-07-11 07:00:00	96799	3.94	3.83	3.94	3.94	3.83	IEG.MI	3.77	3.77	3.67	3.77						0																																
2019-07-12 07:00:00	96525	3.96	3.9	3.94	3.96	3.85	IEG.MI	3.77	3.79	3.73	3.79						0																																
2019-07-15 07:00:00	59862	4.36	4.04	4.04	4.05	3.94	IEG.MI	3.87	4.17	3.87	3.88						0							4.36													4.17												
2019-07-16 07:00:00	29979	4.28	4.05	4.06	4.08	3.97	IEG.MI	3.88	4.09	3.87	3.9						0																																
2019-07-17 07:00:00	4670	4.16	4.05	4.16	4.05	3.94	IEG.MI	4.0	4.0	3.89	3.89						0								4.05													3.89											
2019-07-18 07:00:00	12225	4.16	4.06	4.13	4.06	3.95	IEG.MI	3.97	4.0	3.9	3.9						0																																
2019-07-19 07:00:00	69970	4.13	4.03	4.06	4.13	4.02	IEG.MI	3.98	4.05	3.95	4.05						0																				4.05												
2019-07-22 07:00:00	4963	4.14	4.07	4.13	4.09	3.98	IEG.MI	4.03	4.04	3.97	3.99						0																					3.97											
2019-07-23 07:00:00	12441	4.26	4.08	4.08	4.19	4.07	IEG.MI	3.94	4.12	3.94	4.05						0																																
2019-07-24 07:00:00	15090	4.39	4.27	4.39	4.27	4.15	IEG.MI	4.22	4.22	4.1	4.1					1.0	0							4.39																									
2019-07-25 07:00:00	6052	4.39	4.24	4.39	4.24	4.12	IEG.MI	4.25	4.25	4.11	4.11					1.0	0																				4.25												
2019-07-26 07:00:00	2457	4.3	4.21	4.3	4.26	4.14	IEG.MI	4.18	4.18	4.09	4.14					1.0	0								4.21													4.09											
2019-07-29 07:00:00	10363	4.4	4.26	4.29	4.34	4.22	IEG.MI	4.19	4.3	4.16	4.24					1.0	0							4.4		4.4																							
2019-07-30 07:00:00	17060	4.36	4.21	4.35	4.32	4.2	IEG.MI	4.34	4.35	4.2	4.31					1.0	0																				4.35												
2019-07-31 07:00:00	6284	4.44	4.22	4.44	4.22	4.1	IEG.MI	4.4	4.4	4.19	4.19					1.0	0																																
2019-08-01 07:00:00	4871	4.33	4.17	4.22	4.3	4.18	IEG.MI	4.15	4.26	4.1	4.23					1.0	0								4.17													4.1											
2019-08-02 07:00:00	114	4.3	4.3	4.3	4.3	4.18	IEG.MI	4.34	4.34	4.34	4.34					1.0	0							4.3													4.34												
2019-08-05 07:00:00	922	4.28	4.17	4.18	4.28	4.16	IEG.MI	4.27	4.37	4.26	4.37					1.0	0								4.17													4.26											
2019-08-06 07:00:00	300	4.28	4.28	4.28	4.28	4.16	IEG.MI	4.4	4.4	4.4	4.4					1.0	0							4.28													4.4		4.4										
2019-08-07 07:00:00	4226	4.28	4.17	4.18	4.28	4.16	IEG.MI	4.32	4.42	4.31	4.42					1.0	0																																
2019-08-08 07:00:00	4960	4.25	4.08	4.1	4.24	4.12	IEG.MI	4.17	4.33	4.15	4.32					1.0	0																					4.15		4.15									
2019-08-09 07:00:00	592	4.16	4.1	4.1	4.16	4.05	IEG.MI	4.28	4.34	4.28	4.34					1.0	0								4.1																								
2019-08-12 07:00:00	0	4.16	4.16	4.16	4.16	4.05	IEG.MI	4.36	4.36	4.36	4.36					1.0	0																				4.36												
