volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
64333	28.78	27.94	28.78	28.14	17.31	IF.MI	28.78	28.78	27.94	28.14			0.0			0																																								
66034	28.49	27.52	28.49	27.52	16.92	IF.MI	28.15	28.15	27.19	27.19			0.0			0																					27.19												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
50462	27.7	26.86	27.58	27.4	16.85	IF.MI	28.0	28.12	27.27	27.82			0.0			0																				28.12													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
97607	26.78	25.68	26.78	26.01	16.0	IF.MI	27.5	27.5	26.37	26.71			0.0			0																					26.37												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
126567	26.86	25.39	26.59	26.01	16.0	IF.MI	27.75	28.03	26.5	27.14			0.0			0																				28.03													0.0	0.0	0.0	0.0	0.0	0.0		0.0
80456	25.8	25.12	25.8	25.68	15.79	IF.MI	27.08	27.08	26.36	26.95			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
91990	25.8	25.06	25.8	25.71	15.81	IF.MI	26.79	26.79	26.02	26.69			0.0			0								25.06													26.02												0.0	0.0	0.0	0.0	0.0	0.0		0.0
61342	26.39	25.61	25.94	25.8	15.87	IF.MI	26.71	27.17	26.37	26.56			0.0			0							26.39													27.17													0.0	0.0	0.0	0.0	0.0	0.0		0.0
96285	25.7	24.71	25.6	25.35	15.59	IF.MI	26.8	26.91	25.87	26.54			0.0			0								24.71													25.87		25.87										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
128138	27.07	24.72	25.2	26.58	16.35	IF.MI	27.22	29.24	26.7	28.71			0.0			0							27.07													29.24													0.0	0.0	0.0	0.0	0.0	0.0		0.0
73518	26.6	24.51	26.26	24.77	15.23	IF.MI	29.14	29.51	27.19	27.48			0.0			0								24.51		24.51																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
106223	26.39	24.15	24.85	25.92	15.94	IF.MI	27.29	28.98	26.52	28.46			0.0			0																					26.52												0.0	0.0	0.0	0.0	0.0	0.0		0.0
151587	26.6	25.13	25.61	26.18	16.1	IF.MI	29.55	30.69	29.0	30.21			0.0			0																				30.69													0.0	0.0	0.0	0.0	0.0	0.0		0.0
250296	26.77	25.32	26.77	25.81	15.87	IF.MI	29.65	29.65	28.04	28.58			0.0			0																					28.04												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
104224	27.77	26.01	26.01	27.49	16.91	IF.MI	28.34	30.26	28.34	29.95			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
75999	28.24	27.49	27.94	27.53	16.93	IF.MI	31.08	31.41	30.58	30.62			0.0			0																				31.41													0.0	0.0	0.0	0.0	0.0	0.0		0.0
91955	28.5	26.66	26.85	28.5	17.53	IF.MI	29.42	31.23	29.21	31.23			0.0			0																					29.21												0.0	0.0	0.0	0.0	0.0	0.0		0.0
83962	28.83	27.86	28.59	28.51	17.53	IF.MI	31.45	31.71	30.65	31.36			0.0			0							28.83																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
81816	28.87	27.51	28.51	27.83	17.12	IF.MI	32.5	32.91	31.36	31.72			0.0			0								27.51												32.91													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
70611	28.8	27.97	28.42	28.8	17.71	IF.MI	31.58	32.01	31.08	32.01			0.0			0																					31.08												0.0	0.0	0.0	0.0	0.0	0.0		0.0
137267	29.55	28.41	29.05	28.7	17.65	IF.MI	32.58	33.14	31.86	32.19			0.0		1.0	0							29.55		29.55																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
62063	28.95	27.84	28.95	28.2	17.34	IF.MI	33.49	33.49	32.21	32.62			0.0		1.0	0																				33.49		33.49											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
96087	28.35	26.41	28.3	27.13	16.68	IF.MI	33.7	33.76	31.45	32.31			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
112268	27.75	26.73	27.54	26.75	16.45	IF.MI	32.4	32.64	31.44	31.47			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
78896	27.07	25.8	26.75	26.0	15.99	IF.MI	32.15	32.54	31.01	31.25			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
147471	26.32	23.34	26.3	23.35	14.36	IF.MI	33.17	33.19	29.43	29.45			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
148935	23.64	21.4	23.39	23.42	14.4	IF.MI	30.48	30.8	27.88	30.52			0.0		1.0	0								21.4		21.4		21.4									27.88		27.88										0.0	0.0	0.0	0.0	0.0	0.0		0.0
93224	24.73	22.9	22.9	24.57	15.11	IF.MI	28.41	30.68	28.41	30.48			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
114551	25.3	23.95	24.2	24.62	15.14	IF.MI	31.81	33.26	31.48	32.36			0.0		1.0	0																				33.26													0.0	0.0	0.0	0.0	0.0	0.0		0.0
100990	25.22	24.22	24.5	24.72	15.2	IF.MI	30.76	31.66	30.41	31.04			0.0		1.0	0																					30.41												0.0	0.0	0.0	0.0	0.0	0.0		0.0
98177	26.02	25.02	25.49	25.99	15.98	IF.MI	31.01	31.66	30.44	31.62			0.0		1.0	0							26.02																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
45338	25.99	25.02	25.6	25.82	15.88	IF.MI	31.3	31.78	30.59	31.57			0.0		1.0	0								25.02												31.78													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
67433	26.12	25.32	26.01	25.66	15.78	IF.MI	31.03	31.16	30.21	30.62			0.0		1.0	0							26.12														30.21												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
88491	26.0	25.32	25.7	25.52	15.69	IF.MI	31.14	31.5	30.68	30.92			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
50541	25.63	24.75	25.25	25.63	15.76	IF.MI	30.96	31.43	30.35	31.43			0.0		1.0	0								24.75																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
140208	27.69	25.48	25.48	27.6	16.97	IF.MI	30.18	32.8	30.18	32.69			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
55235	27.7	26.67	27.55	26.78	16.47	IF.MI	33.28	33.46	32.22	32.35			0.0		1.0	0							27.7																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
90371	27.01	26.02	26.68	26.36	16.21	IF.MI	33.09	33.5	32.27	32.69			0.0		1.0	0								26.02												33.5		33.5											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
81660	27.19	26.18	26.18	27.19	16.72	IF.MI	31.73	32.96	31.73	32.96			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
99371	27.44	26.42	27.0	27.0	16.6	IF.MI	32.02	32.54	31.33	32.02			0.0		1.0	0							27.44																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
44468	27.14	26.4	27.05	26.9	16.54	IF.MI	31.83	31.93	31.06	31.65			0.0		1.0	0								26.4																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
64998	27.77	26.39	26.39	27.71	17.04	IF.MI	30.38	31.97	30.38	31.9			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
72873	28.17	27.0	27.71	27.33	16.81	IF.MI	31.56	32.08	30.75	31.12			0.0		1.0	0							28.17		28.17																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
39882	27.5	26.88	27.5	27.0	16.6	IF.MI	31.07	31.07	30.37	30.51			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
42278	27.33	26.32	27.33	26.8	16.48	IF.MI	31.0	31.0	29.85	30.4			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
74136	26.82	25.83	26.5	25.83	15.89	IF.MI	30.43	30.79	29.66	29.66			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
81000	26.03	25.14	25.97	26.03	16.01	IF.MI	29.88	29.95	28.93	29.95			0.0		1.0	0								25.14		25.14																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
45460	26.16	25.58	25.8	25.71	15.81	IF.MI	29.38	29.79	29.13	29.28			0.0		1.0	0							26.16																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
87273	26.19	25.24	25.9	25.33	15.58	IF.MI	29.64	29.97	28.88	28.99			0.0		-1.0	0								25.24																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
118178	26.31	25.6	26.0	25.9	15.93	IF.MI	28.39	28.73	27.95	28.28			0.0		-1.0	0																					27.95		27.95										0.0	0.0	0.0	0.0	0.0	0.0		0.0
87650	26.75	25.91	25.91	26.32	16.19	IF.MI	28.3	29.22	28.3	28.75			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
73035	26.8	26.2	26.2	26.8	16.48	IF.MI	28.95	29.61	28.95	29.61			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
42489	27.15	26.57	26.66	27.15	16.7	IF.MI	29.51	30.05	29.41	30.05			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
39533	27.5	26.81	27.09	27.5	16.91	IF.MI	30.19	30.64	29.87	30.64			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
97863	28.61	27.32	27.32	28.61	17.6	IF.MI	30.44	31.87	30.44	31.87			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
161354	29.41	28.16	28.31	29.03	17.85	IF.MI	31.39	32.61	31.23	32.19			0.0		-1.0	0							29.41		29.41		29.41									32.61													0.0	0.0	0.0	0.0	0.0	0.0		0.0
102110	29.2	27.71	29.15	28.78	17.7	IF.MI	32.32	32.38	30.73	31.91			0.0		-1.0	0								27.71													30.73												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
40254	29.18	28.55	28.78	28.55	17.56	IF.MI	32.32	32.77	32.06	32.06			0.0		-1.0	0							29.18																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
61051	28.91	28.27	28.5	28.82	17.72	IF.MI	32.53	33.0	32.27	32.89			0.0		1.0	0																				33.0													0.0	0.0	0.0	0.0	0.0	0.0		0.0
61362	28.5	27.6	28.19	28.1	17.75	IF.MI	32.16	32.52	31.49	32.06			0.0		1.0	0								27.6													31.49												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
52924	28.87	28.14	28.14	28.7	18.13	IF.MI	31.75	32.58	31.75	32.38			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
89300	29.11	28.43	28.6	29.11	18.39	IF.MI	32.73	33.31	32.54	33.31			0.0		1.0	0							29.11																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
63924	29.1	28.27	29.05	28.58	18.05	IF.MI	33.88	33.94	32.97	33.33			0.0	1.0	1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
69948	29.0	28.15	28.25	28.7	18.13	IF.MI	33.21	34.09	33.09	33.74			0.0	1.0	1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
