volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
407	25.84	25.17	25.84	25.17	25.17	IIG.MI	25.84	25.84	25.17	25.17			0.0			0																		25.84																						
3613	25.73	25.54	25.54	25.54	25.54	IIG.MI	25.24	25.43	25.24	25.24			0.0			0							25.73														25.24												0.0	0.0	0.0	0.0	0.0	0.0		0.0
254	25.05	24.91	24.97	24.91	24.91	IIG.MI	25.36	25.44	25.29	25.29			0.0			0																				25.44													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3104	24.86	23.56	24.86	24.22	24.22	IIG.MI	25.53	25.53	24.2	24.87			0.0			0								23.56													24.2		24.2										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3867	24.76	24.01	24.76	24.46	24.46	IIG.MI	25.84	25.84	25.06	25.53			0.0			0							24.76																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
559	24.46	23.97	24.07	24.46	24.46	IIG.MI	25.26	25.67	25.16	25.67			0.0			0								23.97												25.67													0.0	0.0	0.0	0.0	0.0	0.0		0.0
712	24.51	24.01	24.51	24.45	24.45	IIG.MI	25.45	25.45	24.93	25.39			0.0			0																					24.93												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1017	25.0	24.44	25.0	24.44	24.44	IIG.MI	25.74	25.74	25.17	25.17			0.0			0							25.0		25.0											25.74		25.74											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1017	24.07	23.58	23.98	24.07	24.07	IIG.MI	25.11	25.2	24.69	25.2			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3053	23.53	22.59	23.53	22.6	22.6	IIG.MI	25.42	25.42	24.4	24.41			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
