volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
103103922	3.06	2.98	3.05	2.98	1.66	ISP.MI	3.05	3.06	2.98	2.98			0.0			0																		3.06																						
70473223	3.04	2.99	3.0	3.04	1.69	ISP.MI	2.97	3.0	2.95	3.0			0.0			0							3.04														2.95												0.0	0.0	0.0	0.0	0.0	0.0		0.0
84184856	3.04	2.96	3.03	2.96	1.64	ISP.MI	3.07	3.09	3.0	3.0			0.0			0																				3.09													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
122691238	2.94	2.82	2.89	2.91	1.62	ISP.MI	2.97	3.02	2.9	2.99			0.0			0								2.82													2.9		2.9										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
96943673	2.97	2.9	2.91	2.9	1.61	ISP.MI	3.04	3.1	3.02	3.02			0.0			0							2.97													3.1													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
75364956	2.95	2.86	2.89	2.86	1.59	ISP.MI	3.03	3.09	3.0	3.0			0.0			0								2.86																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
81961998	2.94	2.85	2.87	2.92	1.62	ISP.MI	2.98	3.05	2.96	3.03			0.0			0																					2.96												0.0	0.0	0.0	0.0	0.0	0.0		0.0
96167028	3.02	2.94	2.94	2.97	1.65	ISP.MI	3.02	3.1	3.02	3.06			0.0			0							3.02		3.02											3.1													0.0	0.0	0.0	0.0	0.0	0.0		0.0
96205377	2.95	2.88	2.93	2.89	1.61	ISP.MI	3.07	3.09	3.01	3.03			0.0			0																					3.01												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
132187909	2.9	2.78	2.88	2.8	1.56	ISP.MI	3.11	3.13	3.0	3.03			0.0			0																				3.13		3.13											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
131261310	2.81	2.65	2.78	2.66	1.48	ISP.MI	3.08	3.12	2.94	2.95			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
151784491	2.77	2.62	2.76	2.69	1.5	ISP.MI	3.03	3.05	2.88	2.95			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
178220318	2.64	2.51	2.63	2.54	1.41	ISP.MI	3.03	3.04	2.89	2.93			0.0			0								2.51																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
253498471	2.67	2.49	2.54	2.67	1.48	ISP.MI	2.81	2.96	2.76	2.95			0.0			0																					2.76												0.0	0.0	0.0	0.0	0.0	0.0		0.0
160479064	2.77	2.69	2.75	2.71	1.51	ISP.MI	3.0	3.02	2.93	2.96			0.0			0							2.77													3.02													0.0	0.0	0.0	0.0	0.0	0.0		0.0
107039611	2.76	2.62	2.75	2.64	1.47	ISP.MI	3.06	3.07	2.92	2.93			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
124257062	2.71	2.56	2.58	2.67	1.49	ISP.MI	2.82	2.97	2.8	2.93			0.0			0								2.56													2.8												0.0	0.0	0.0	0.0	0.0	0.0		0.0
97353493	2.72	2.62	2.7	2.65	1.47	ISP.MI	2.97	2.99	2.88	2.91			0.0			0							2.72													2.99													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
159433030	2.68	2.48	2.64	2.51	1.4	ISP.MI	3.01	3.05	2.83	2.87			0.0			0								2.48																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
125636501	2.62	2.54	2.57	2.62	1.46	ISP.MI	2.85	2.91	2.83	2.91			0.0			0							2.62														2.83												0.0	0.0	0.0	0.0	0.0	0.0		0.0
84715632	2.66	2.54	2.62	2.56	1.42	ISP.MI	2.94	2.98	2.85	2.87			0.0			0																				2.98													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
100676804	2.56	2.46	2.55	2.47	1.38	ISP.MI	2.95	2.96	2.84	2.86			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
176874960	2.49	2.27	2.46	2.34	1.3	ISP.MI	2.93	2.96	2.71	2.79			0.0		-1.0	0								2.27													2.71		2.71										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
183695403	2.49	2.33	2.41	2.48	1.38	ISP.MI	2.83	2.93	2.74	2.92			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
234890436	2.6	2.38	2.44	2.38	1.32	ISP.MI	2.94	3.13	2.86	2.87			0.0		-1.0	0							2.6													3.13													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
173369219	2.45	2.25	2.45	2.29	1.27	ISP.MI	3.09	3.09	2.84	2.89			0.0		-1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
243231645	2.34	2.12	2.33	2.15	1.19	ISP.MI	3.03	3.05	2.77	2.8			0.0		-1.0	0								2.12		2.12											2.77												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
258422129	2.48	2.16	2.17	2.46	1.37	ISP.MI	2.69	3.08	2.68	3.05			0.0		-1.0	0							2.48																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
209024344	2.4	2.27	2.39	2.29	1.27	ISP.MI	3.15	3.15	2.99	3.01			0.0		1.0	0								2.27												3.15		3.15		3.15							3.15		-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
206377215	2.41	2.29	2.34	2.4	1.33	ISP.MI	2.94	3.03	2.88	3.01			0.0		1.0	0																					2.88												0.0	0.0	0.0	0.0	0.0	0.0		0.0
169290142	2.52	2.45	2.48	2.48	1.38	ISP.MI	3.02	3.07	2.98	3.02			0.0		1.0	0							2.52		2.52											3.07													0.0	0.0	0.0	0.0	0.0	0.0		0.0
138471368	2.51	2.4	2.49	2.44	1.36	ISP.MI	3.05	3.07	2.94	2.98			0.0		1.0	0								2.4																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
126647062	2.51	2.42	2.44	2.5	1.39	ISP.MI	2.92	2.99	2.89	2.98			0.0		1.0	0							2.51																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
160137980	2.53	2.35	2.51	2.38	1.32	ISP.MI	3.04	3.07	2.84	2.88			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
185115483	2.39	2.27	2.34	2.33	1.29	ISP.MI	2.87	2.94	2.78	2.85			0.0		1.0	0								2.27																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
109536216	2.41	2.36	2.37	2.4	1.34	ISP.MI	2.8	2.85	2.79	2.85			0.0		1.0	0							2.41														2.79												0.0	0.0	0.0	0.0	0.0	0.0		0.0
123900714	2.45	2.34	2.38	2.34	1.3	ISP.MI	2.88	2.95	2.83	2.83			0.0		1.0	0																				2.95													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
114284300	2.36	2.24	2.34	2.26	1.26	ISP.MI	2.9	2.93	2.78	2.8			0.0		1.0	0								2.24		2.24																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
104551512	2.34	2.28	2.3	2.3	1.28	ISP.MI	2.79	2.83	2.77	2.79			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
130890070	2.36	2.31	2.33	2.34	1.3	ISP.MI	2.76	2.8	2.73	2.77			0.0		1.0	0							2.36																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
99851290	2.34	2.26	2.3	2.34	1.3	ISP.MI	2.71	2.76	2.66	2.76			0.0		-1.0	0								2.26													2.66		2.66										0.0	0.0	0.0	0.0	0.0	0.0		0.0
129626106	2.4	2.32	2.32	2.39	1.33	ISP.MI	2.67	2.76	2.67	2.75			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
148899259	2.49	2.42	2.44	2.48	1.38	ISP.MI	2.77	2.84	2.76	2.82			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
163056237	2.58	2.48	2.49	2.58	1.43	ISP.MI	2.81	2.92	2.8	2.91			0.0		-1.0	0							2.58													2.92													0.0	0.0	0.0	0.0	0.0	0.0		0.0
159165029	2.61	2.49	2.59	2.52	1.4	ISP.MI	2.93	2.96	2.82	2.86			0.0		-1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
130748965	2.51	2.4	2.5	2.46	1.37	ISP.MI	2.87	2.88	2.76	2.83			0.0		-1.0	0								2.4													2.76												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
108089089	2.51	2.39	2.44	2.49	1.38	ISP.MI	2.8	2.89	2.75	2.86			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
106543628	2.56	2.48	2.48	2.52	1.4	ISP.MI	2.82	2.92	2.82	2.86			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
331293137	2.73	2.49	2.53	2.54	1.41	ISP.MI	2.89	3.12	2.85	2.91			0.0		1.0	0																				3.12		3.12											0.0	0.0	0.0	0.0	0.0	0.0		0.0
223051653	2.75	2.62	2.65	2.73	1.52	ISP.MI	2.89	3.0	2.87	2.99			0.0		1.0	0							2.75		2.75		2.75																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
192360706	2.79	2.64	2.76	2.68	1.49	ISP.MI	3.01	3.04	2.88	2.93			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
115814014	2.71	2.63	2.67	2.65	1.47	ISP.MI	2.95	2.99	2.9	2.93			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
