date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	8254	21.18	20.56	21.15	20.62	15.79	ITM.MI	21.15	21.18	20.56	20.62						0																																
2016-01-05 08:00:00	1396	21.0	20.6	21.0	21.0	16.08	ITM.MI	20.75	20.75	20.36	20.75						0							21.0														20.36											
2016-01-06 08:00:00	2916	20.9	20.65	20.9	20.85	15.97	ITM.MI	21.22	21.22	20.96	21.17						0																				21.22												
2016-01-07 08:00:00	17682	20.86	19.93	20.85	20.0	15.31	ITM.MI	21.41	21.43	20.47	20.54						0																																
2016-01-08 08:00:00	15706	20.23	19.25	20.23	19.25	14.74	ITM.MI	21.11	21.11	20.09	20.09						0																																
2016-01-11 08:00:00	14254	19.41	18.91	19.35	19.2	14.7	ITM.MI	20.31	20.37	19.84	20.15						0								18.91																								
2016-01-12 08:00:00	3936	19.41	18.98	18.98	19.35	14.82	ITM.MI	19.7	20.15	19.7	20.09						0							19.41																									
2016-01-13 08:00:00	28796	19.95	18.52	19.02	18.85	14.43	ITM.MI	19.59	20.54	19.07	19.41						0																																
2016-01-14 08:00:00	16568	18.97	18.35	18.92	18.65	14.28	ITM.MI	19.81	19.86	19.22	19.53						0																					19.22											
2016-01-15 08:00:00	23968	18.75	17.65	18.75	18.5	14.17	ITM.MI	20.25	20.25	19.06	19.98						0																																
2016-01-18 08:00:00	13928	18.65	17.66	18.65	17.75	13.59	ITM.MI	20.69	20.69	19.59	19.69						0																				20.69												
2016-01-19 08:00:00	4978	17.94	17.51	17.92	17.53	13.42	ITM.MI	19.68	19.71	19.23	19.25						0																					19.23											
2016-01-20 08:00:00	7524	17.61	16.6	17.61	16.75	12.83	ITM.MI	20.33	20.33	19.16	19.33						0																				20.33												
2016-01-21 08:00:00	28226	17.12	16.03	16.89	16.03	12.27	ITM.MI	18.7	18.96	17.75	17.75						0								16.03													17.75		17.75									
2016-01-22 08:00:00	30614	17.25	16.5	16.95	16.77	12.85	ITM.MI	18.47	18.79	17.98	18.28						0							17.25																									
