volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
2108	7.59	7.59	7.59	7.59	6.71	IVS.MI	7.59	7.59	7.59	7.59			0.0			0																																								
922	7.59	7.29	7.33	7.59	6.71	IVS.MI	7.25	7.5	7.2	7.5			0.0			0								7.29													7.2									7.2			0.0	0.0	0.0	0.0	0.0	0.0		0.0
635	7.59	7.51	7.59	7.55	6.67	IVS.MI	7.71	7.71	7.62	7.66			0.0			0							7.59													7.71													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4877	7.58	7.03	7.34	7.48	6.61	IVS.MI	7.54	7.79	7.22	7.68			0.0			0								7.03													7.22												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
777	7.55	7.34	7.55	7.45	6.59	IVS.MI	7.88	7.88	7.66	7.78			0.0			0							7.55													7.88													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
630	7.46	7.34	7.42	7.42	6.55	IVS.MI	7.79	7.83	7.7	7.78			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1528	7.44	7.33	7.33	7.39	6.53	IVS.MI	7.61	7.72	7.61	7.67			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3142	7.42	7.33	7.33	7.36	6.51	IVS.MI	7.55	7.64	7.55	7.58			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1489	7.38	6.98	7.34	7.33	6.48	IVS.MI	7.68	7.72	7.31	7.68			0.0			0																					7.31												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8051	7.32	6.94	7.17	7.23	6.39	IVS.MI	7.74	7.91	7.49	7.81			0.0			0								6.94																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2354	7.28	6.99	7.28	7.26	6.42	IVS.MI	8.08	8.08	7.75	8.06			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
672	7.32	7.12	7.32	7.29	6.44	IVS.MI	8.03	8.04	7.82	8.01			0.0			0							7.32																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4370	7.33	6.8	7.14	7.29	6.44	IVS.MI	8.24	8.46	7.85	8.41			0.0			0								6.8												8.46		8.46											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2423	7.32	7.04	7.32	7.2	6.37	IVS.MI	8.1	8.1	7.79	7.98			0.0			0							7.32																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
