volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
3029330	12.75	12.32	12.75	12.37	11.19	LDO.MI	12.75	12.75	12.32	12.37			0.0			0																																								
2590152	12.87	12.4	12.42	12.86	11.63	LDO.MI	12.27	12.72	12.25	12.71			0.0			0							12.87																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
2548446	12.97	12.45	12.82	12.56	11.36	LDO.MI	13.02	13.17	12.64	12.75			0.0			0																		12.97		13.17													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3547508	12.75	12.17	12.32	12.55	11.35	LDO.MI	12.65	13.09	12.5	12.89			0.0			0																					12.5												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2709408	12.7	12.36	12.64	12.38	11.2	LDO.MI	13.19	13.25	12.9	12.92			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2083558	12.62	12.33	12.38	12.45	11.26	LDO.MI	12.99	13.24	12.94	13.07			0.0			0								12.33																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
2648260	12.76	12.43	12.53	12.59	11.39	LDO.MI	13.01	13.25	12.91	13.07			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2658365	12.88	12.6	12.69	12.69	11.48	LDO.MI	13.06	13.26	12.97	13.06			0.0			0							12.88		12.88											13.26		13.26											0.0	0.0	0.0	0.0	0.0	0.0		0.0
3511227	12.49	12.06	12.49	12.12	10.96	LDO.MI	13.08	13.08	12.63	12.69			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6827144	12.19	11.32	12.04	11.54	10.44	LDO.MI	13.0	13.17	12.23	12.46			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3716665	11.65	11.04	11.54	11.33	10.25	LDO.MI	12.8	12.93	12.25	12.57			0.0			0								11.04													12.25												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2371567	11.61	11.22	11.56	11.58	10.47	LDO.MI	12.69	12.75	12.32	12.72			0.0			0							11.61																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
3295984	11.48	10.93	11.33	11.01	9.96	LDO.MI	13.07	13.25	12.61	12.7			0.0			0								10.93												13.25													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3850427	11.41	10.87	11.09	11.23	10.16	LDO.MI	12.28	12.64	12.04	12.44			0.0			0																					12.04												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3130425	11.61	11.29	11.49	11.45	10.36	LDO.MI	12.52	12.65	12.3	12.48			0.0			0							11.61																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
2559720	11.59	11.2	11.55	11.29	10.21	LDO.MI	12.85	12.89	12.46	12.56			0.0			0																				12.89													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3290589	11.31	11.04	11.15	11.29	10.21	LDO.MI	12.22	12.39	12.1	12.37			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
9374800	11.39	10.45	11.35	10.86	9.82	LDO.MI	12.49	12.53	11.5	11.95			0.0			0																					11.5		11.5										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6623601	11.12	10.58	10.86	10.76	9.73	LDO.MI	12.38	12.68	12.06	12.26			0.0			0								10.58												12.68													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3821281	10.96	10.73	10.91	10.93	9.89	LDO.MI	12.12	12.18	11.92	12.15			0.0			0																					11.92												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2737677	11.07	10.79	11.03	10.95	9.9	LDO.MI	12.37	12.42	12.1	12.28			0.0			0							11.07																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
3166705	11.03	10.53	11.02	10.63	9.61	LDO.MI	12.75	12.76	12.18	12.3			0.0			0																				12.76		12.76											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4617182	10.7	10.1	10.63	10.43	9.43	LDO.MI	12.66	12.74	12.03	12.42			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4769473	10.56	9.99	10.51	10.24	9.26	LDO.MI	12.36	12.42	11.75	12.05			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10233516	10.17	9.36	10.15	9.64	8.71	LDO.MI	12.2	12.22	11.26	11.58			0.0		-1.0	0																					11.26												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5939406	9.78	8.94	9.69	9.2	8.33	LDO.MI	12.21	12.33	11.27	11.61			0.0		-1.0	0																				12.33													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6602091	9.31	8.51	9.2	8.91	8.06	LDO.MI	11.99	12.13	11.08	11.61			0.0		-1.0	0								8.51		8.51																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4659460	9.47	8.77	8.93	9.27	8.39	LDO.MI	11.07	11.74	10.89	11.51			0.0		-1.0	0							9.47														10.89												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4858455	9.14	8.63	9.14	8.63	7.8	LDO.MI	12.01	12.01	11.34	11.34			0.0		-1.0	0								8.63												12.01													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4416877	8.99	8.6	8.68	8.86	8.01	LDO.MI	10.89	11.29	10.8	11.12			0.0		-1.0	0																					10.8		10.8		10.8								0.0	0.0	0.0	0.0	0.0	0.0		0.0
5686244	9.45	9.09	9.12	9.29	8.4	LDO.MI	11.1	11.5	11.06	11.3			0.0		-1.0	0							9.45													11.5													0.0	0.0	0.0	0.0	0.0	0.0		0.0
6009029	9.44	9.04	9.44	9.19	8.31	LDO.MI	11.54	11.55	11.05	11.24			0.0		-1.0	0								9.04																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4436826	9.34	9.17	9.26	9.31	8.42	LDO.MI	11.05	11.14	10.94	11.11			0.0		-1.0	0																					10.94												0.0	0.0	0.0	0.0	0.0	0.0		0.0
5424764	9.75	9.34	9.36	9.43	8.53	LDO.MI	11.34	11.81	11.32	11.43			0.0		-1.0	0							9.75		9.75											11.81		11.81											0.0	0.0	0.0	0.0	0.0	0.0		0.0
3894980	9.5	9.12	9.4	9.31	8.42	LDO.MI	11.53	11.65	11.19	11.41			0.0		-1.0	0								9.12																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3139572	9.49	9.31	9.42	9.44	8.54	LDO.MI	11.16	11.25	11.03	11.19			0.0		-1.0	0																					11.03												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4500223	9.72	9.45	9.48	9.49	8.59	LDO.MI	11.46	11.74	11.42	11.47			0.0		-1.0	0							9.72													11.74													0.0	0.0	0.0	0.0	0.0	0.0		0.0
4898758	9.56	8.94	9.51	9.12	8.25	LDO.MI	11.79	11.86	11.09	11.32			0.0		-1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2390649	9.3	9.1	9.23	9.17	8.29	LDO.MI	11.19	11.27	11.04	11.12			0.0		-1.0	0								9.1		9.1																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
4543149	9.48	9.14	9.27	9.35	8.45	LDO.MI	10.99	11.25	10.84	11.08			0.0		-1.0	0																					10.84		10.84										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4645972	9.7	9.24	9.35	9.53	8.62	LDO.MI	11.01	11.41	10.88	11.22			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
6268007	10.23	9.43	9.48	10.19	9.22	LDO.MI	10.91	11.78	10.85	11.73			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
5993435	10.35	10.0	10.33	10.0	9.04	LDO.MI	11.76	11.79	11.39	11.39			0.0		-1.0	0							10.35		10.35											11.79		11.79											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3329860	10.14	9.95	10.11	10.02	9.06	LDO.MI	11.42	11.46	11.24	11.32			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
4931337	10.07	9.69	10.04	9.96	9.01	LDO.MI	11.39	11.42	10.99	11.3			0.0		-1.0	0																					10.99												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2236414	9.98	9.73	9.95	9.83	8.89	LDO.MI	11.42	11.46	11.18	11.29			0.0		-1.0	0								9.73																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5095073	10.17	9.9	9.99	10.03	9.07	LDO.MI	11.5	11.7	11.39	11.54			0.0		-1.0	0																				11.7													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2835933	10.19	9.98	10.01	10.09	9.13	LDO.MI	11.4	11.6	11.37	11.49			0.0		-1.0	0							10.19																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
5729693	10.4	9.86	10.06	9.86	8.92	LDO.MI	11.51	11.9	11.28	11.28			0.0		1.0	0								9.86																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6630970	10.6	9.99	9.99	10.54	9.53	LDO.MI	10.91	11.57	10.91	11.51			0.0		1.0	0																					10.91		10.91										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4658727	10.85	10.62	10.67	10.85	9.81	LDO.MI	11.65	11.85	11.6	11.85			0.0		1.0	0							10.85																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
3222430	10.85	10.62	10.74	10.74	9.71	LDO.MI	11.87	11.99	11.73	11.87			0.0		1.0	0								10.62																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4506665	11.05	10.78	10.81	10.96	9.91	LDO.MI	11.97	12.23	11.93	12.13			0.0		1.0	0							11.05													12.23													0.0	0.0	0.0	0.0	0.0	0.0		0.0
6478789	11.05	10.51	10.98	10.78	9.75	LDO.MI	12.23	12.31	11.71	12.01			0.0		1.0	0								10.51													11.71												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6160258	11.23	10.84	10.89	11.17	10.1	LDO.MI	12.13	12.51	12.08	12.44			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2690189	11.27	11.07	11.17	11.15	10.08	LDO.MI	12.39	12.5	12.28	12.36			0.0		1.0	0							11.27													12.5													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2965997	11.27	10.87	11.08	11.27	10.19	LDO.MI	12.29	12.5	12.05	12.5			0.0		1.0	0								10.87													12.05												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3544682	11.47	11.18	11.3	11.24	10.17	LDO.MI	12.69	12.88	12.56	12.62			0.0		1.0	0							11.47		11.47		11.47																						-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2337035	11.3	11.06	11.19	11.23	10.16	LDO.MI	12.77	12.9	12.62	12.82			0.0		1.0	0																				12.9													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1917128	11.36	11.03	11.27	11.19	10.12	LDO.MI	12.86	12.96	12.59	12.77			0.0		1.0	0								11.03																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2409532	11.39	11.18	11.28	11.31	10.23	LDO.MI	12.73	12.85	12.62	12.76			0.0		1.0	0							11.39														12.62												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2874183	11.36	11.09	11.21	11.15	10.08	LDO.MI	12.83	13.0	12.69	12.76			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
