volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
51000	2.85	2.85	2.85	2.85	2.85	MAPS.MI	2.85	2.85	2.85	2.85			0.0			0																																								
683000	4.11	3.6	3.8	4.11	4.11	MAPS.MI	3.77	4.08	3.57	4.08			0.0			0							4.11													4.08													0.0	0.0	0.0	0.0	0.0	0.0		0.0
748000	4.49	3.52	4.42	3.57	3.57	MAPS.MI	4.39	4.46	3.49	3.54			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
223000	3.65	3.24	3.58	3.28	3.28	MAPS.MI	3.53	3.6	3.2	3.23			0.0			0								3.24													3.2												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
216000	3.72	3.25	3.25	3.52	3.52	MAPS.MI	3.19	3.65	3.19	3.46			0.0			0							3.72													3.65													0.0	0.0	0.0	0.0	0.0	0.0		0.0
77000	3.57	3.3	3.55	3.36	3.36	MAPS.MI	3.45	3.47	3.21	3.27			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
79000	3.53	3.25	3.36	3.43	3.43	MAPS.MI	3.24	3.41	3.14	3.31			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
183000	3.47	3.21	3.46	3.27	3.27	MAPS.MI	3.31	3.31	3.07	3.12			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
113000	3.3	3.08	3.25	3.11	3.11	MAPS.MI	3.12	3.17	2.96	2.99			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
69000	3.11	3.0	3.11	3.02	3.02	MAPS.MI	2.98	2.98	2.88	2.9			0.0			0																					2.88												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
56000	3.05	2.97	3.02	3.02	3.02	MAPS.MI	2.93	2.96	2.89	2.94			0.0			0								2.97																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
12000	3.06	3.0	3.0	3.02	3.02	MAPS.MI	2.92	2.98	2.92	2.93			0.0			0							3.06													2.98													0.0	0.0	0.0	0.0	0.0	0.0		0.0
45000	3.05	2.95	3.05	2.98	2.98	MAPS.MI	2.96	2.96	2.86	2.89			0.0			0								2.95		2.95											2.86		2.86										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
62000	3.08	2.99	2.99	3.03	3.03	MAPS.MI	2.89	2.98	2.89	2.92			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
27000	3.08	2.98	3.0	3.02	3.02	MAPS.MI	2.92	3.0	2.9	2.94			0.0			0																				3.0		3.0											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17000	3.07	3.01	3.07	3.04	3.04	MAPS.MI	2.95	2.95	2.9	2.92			0.0			0							3.07																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
17000	3.06	3.02	3.02	3.02	3.02	MAPS.MI	2.87	2.91	2.87	2.87			0.0			0								3.02													2.87												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33000	3.1	3.02	3.02	3.06	3.06	MAPS.MI	2.87	2.95	2.87	2.91			0.0			0																				2.95													0.0	0.0	0.0	0.0	0.0	0.0		0.0
26000	3.12	3.04	3.1	3.04	3.04	MAPS.MI	2.92	2.94	2.86	2.86			0.0			0							3.12														2.86												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6000	3.08	3.06	3.06	3.08	3.08	MAPS.MI	2.89	2.91	2.89	2.91			0.0			0																				2.91			2.89										0.0	0.0	0.0	0.0	0.0	0.0		0.0
23000	3.08	3.04	3.08	3.06	3.06	MAPS.MI	2.9	2.9	2.86	2.88			0.0			0								3.04													2.86												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12000	3.08	3.06	3.08	3.06	3.06	MAPS.MI	2.9	2.9	2.88	2.88			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
179000	3.3	3.14	3.26	3.22	3.22	MAPS.MI	3.08	3.12	2.97	3.04			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
74000	3.3	3.2	3.22	3.28	3.28	MAPS.MI	3.04	3.12	3.02	3.1			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
142000	3.5	3.32	3.4	3.34	3.34	MAPS.MI	3.21	3.31	3.14	3.16			0.0			0							3.5													3.31													0.0	0.0	0.0	0.0	0.0	0.0		0.0
40000	3.38	3.26	3.38	3.26	3.26	MAPS.MI	3.17	3.17	3.06	3.06			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
20000	3.3	3.24	3.24	3.26	3.26	MAPS.MI	3.03	3.09	3.03	3.05			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
26000	3.26	3.2	3.26	3.2	3.2	MAPS.MI	3.05	3.05	2.99	2.99			0.0			0								3.2													2.99												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23000	3.28	3.2	3.2	3.28	3.28	MAPS.MI	2.98	3.05	2.98	3.05			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
47000	3.33	3.25	3.25	3.31	3.31	MAPS.MI	3.03	3.1	3.03	3.08			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
13000	3.35	3.3	3.35	3.32	3.32	MAPS.MI	3.13	3.13	3.09	3.1			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
34000	3.36	3.3	3.31	3.36	3.36	MAPS.MI	3.12	3.17	3.11	3.17			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
95000	3.71	3.38	3.38	3.67	3.67	MAPS.MI	3.19	3.5	3.19	3.46			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
86000	3.7	3.54	3.7	3.55	3.55	MAPS.MI	3.49	3.49	3.34	3.34			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
55000	3.67	3.59	3.59	3.63	3.63	MAPS.MI	3.37	3.45	3.37	3.41			0.0		1.0	0																				3.45													0.0	0.0	0.0	0.0	0.0	0.0		0.0
36000	3.65	3.6	3.62	3.64	3.64	MAPS.MI	3.38	3.42	3.37	3.41			0.0		1.0	0																					3.37												0.0	0.0	0.0	0.0	0.0	0.0		0.0
28000	3.7	3.62	3.63	3.62	3.62	MAPS.MI	3.43	3.49	3.41	3.42			0.0		1.0	0							3.7		3.7											3.49													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
22000	3.63	3.55	3.62	3.62	3.62	MAPS.MI	3.41	3.42	3.34	3.41			0.0		1.0	0																					3.34												0.0	0.0	0.0	0.0	0.0	0.0		0.0
34000	3.62	3.54	3.6	3.62	3.62	MAPS.MI	3.44	3.46	3.39	3.46			0.0		1.0	0								3.54																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
57000	3.69	3.61	3.63	3.62	3.62	MAPS.MI	3.5	3.57	3.48	3.49			0.0		1.0	0							3.69													3.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
38000	3.7	3.58	3.7	3.58	3.58	MAPS.MI	3.57	3.57	3.46	3.46			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11000	3.6	3.54	3.6	3.54	3.54	MAPS.MI	3.54	3.54	3.48	3.48			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
19000	3.58	3.51	3.58	3.53	3.53	MAPS.MI	3.51	3.51	3.44	3.46			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
46000	3.54	3.32	3.52	3.37	3.37	MAPS.MI	3.5	3.52	3.3	3.35			0.0		1.0	0								3.32		3.32											3.3												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33000	3.51	3.44	3.45	3.49	3.49	MAPS.MI	3.38	3.44	3.37	3.42			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
135000	3.85	3.56	3.68	3.74	3.74	MAPS.MI	3.61	3.78	3.5	3.67			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
568000	4.45	3.79	3.79	4.44	4.44	MAPS.MI	3.67	4.31	3.67	4.3			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
525000	5.15	4.16	4.39	4.55	4.55	MAPS.MI	4.26	5.0	4.03	4.42			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
256000	4.99	4.45	4.63	4.7	4.7	MAPS.MI	4.62	4.98	4.44	4.69			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
130000	4.96	4.7	4.85	4.84	4.84	MAPS.MI	4.8	4.91	4.65	4.79			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
407000	5.51	4.88	5.01	5.28	5.28	MAPS.MI	4.99	5.49	4.85	5.26			0.0	1.0	1.0	1							5.51		5.51		5.51									5.49		5.49		5.49									0.0	0.0	0.0	0.0	0.0	0.0		0.0
448000	5.6	4.76	5.36	4.76	4.76	MAPS.MI	5.45	5.7	4.85	4.85			0.0	1.0	1.0	1																		5.6													5.7		-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
198000	5.1	4.6	4.95	4.84	4.84	MAPS.MI	4.98	5.13	4.62	4.87			0.0	1.0	1.0	1								4.6													4.62												0.0	0.0	0.0	0.0	0.0	0.0		0.0
97000	5.08	4.9	5.04	4.91	4.91	MAPS.MI	5.07	5.11	4.93	4.94			0.0	1.0	1.0	1							5.08													5.11													0.0	0.0	0.0	0.0	0.0	0.0		0.0
141000	4.94	4.62	4.86	4.74	4.74	MAPS.MI	4.91	4.99	4.67	4.79			0.0	1.0	1.0	1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
22000	4.75	4.54	4.66	4.74	4.74	MAPS.MI	4.78	4.86	4.65	4.85			0.0	1.0	1.0	1								4.54													4.65												0.0	0.0	0.0	0.0	0.0	0.0		0.0
187000	5.3	4.85	4.89	5.03	5.03	MAPS.MI	5.02	5.44	4.98	5.17			0.0	1.0	1.0	1							5.3													5.44													0.0	0.0	0.0	0.0	0.0	0.0		0.0
148000	5.12	4.78	5.0	4.89	4.89	MAPS.MI	5.17	5.3	4.94	5.06			0.0	1.0	1.0	1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
104000	4.29	3.92	4.2	4.05	4.05	MAPS.MI	4.33	4.42	4.05	4.17			0.0	1.0	1.0	1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
146000	4.03	3.83	4.03	3.93	3.93	MAPS.MI	4.09	4.09	3.88	3.98			0.0	1.0	1.0	1								3.83													3.88												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
59000	4.1	3.95	3.96	4.0	4.0	MAPS.MI	4.03	4.17	4.02	4.07			0.0	1.0	1.0	1							4.1													4.17													0.0	0.0	0.0	0.0	0.0	0.0		0.0
27000	4.03	3.88	4.01	3.95	3.95	MAPS.MI	4.08	4.1	3.94	4.01			0.0	1.0	1.0	1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
89000	3.99	3.73	3.99	3.76	3.76	MAPS.MI	4.01	4.01	3.75	3.78			0.0	1.0	1.0	1								3.73													3.75		3.75										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
77000	3.94	3.8	3.8	3.85	3.85	MAPS.MI	3.8	3.94	3.8	3.85			0.0	1.0	1.0	1																				3.94													0.0	0.0	0.0	0.0	0.0	0.0		0.0
94000	3.92	3.8	3.89	3.87	3.87	MAPS.MI	3.87	3.9	3.78	3.84			0.0	1.0	1.0	1																					3.78												0.0	0.0	0.0	0.0	0.0	0.0		0.0
45000	3.99	3.8	3.88	3.81	3.81	MAPS.MI	3.88	3.99	3.8	3.81			0.0	1.0	1.0	1							3.99													3.99		3.99											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
18000	3.88	3.79	3.86	3.8	3.8	MAPS.MI	3.83	3.85	3.76	3.77			0.0	1.0	1.0	1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10000	3.8	3.74	3.79	3.8	3.8	MAPS.MI	3.77	3.78	3.72	3.78			0.0	1.0	-1.0	1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
63000	3.88	3.66	3.8	3.69	3.69	MAPS.MI	3.77	3.86	3.63	3.67			0.0	1.0	-1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
40000	3.67	3.59	3.62	3.59	3.59	MAPS.MI	3.51	3.56	3.47	3.47			0.0	1.0	-1.0	0								3.59													3.47		3.47										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
