volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
55300	19.08	18.58	19.08	18.66	14.27	MARR.MI	19.08	19.08	18.58	18.66			0.0			0																																							
73811	18.7	18.23	18.56	18.44	14.1	MARR.MI	18.34	18.48	18.01	18.22			0.0			0																				18.01												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
53040	18.52	17.83	18.52	18.29	13.99	MARR.MI	18.8	18.8	18.1	18.57			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
56121	18.35	17.74	18.35	18.03	13.79	MARR.MI	18.85	18.85	18.22	18.52			0.0			0								17.74																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
59814	18.39	17.97	18.0	17.97	13.75	MARR.MI	18.78	19.19	18.75	18.75			0.0			0							18.39												19.19													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
48484	18.05	17.45	17.9	17.47	13.36	MARR.MI	18.79	18.94	18.31	18.33			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
120244	17.68	17.31	17.41	17.56	13.43	MARR.MI	18.08	18.36	17.97	18.23			0.0			0								17.31												17.97		17.97										0.0	0.0	0.0	0.0	0.0	0.0		0.0
63719	17.95	17.38	17.38	17.67	13.52	MARR.MI	17.89	18.48	17.89	18.19			0.0			0							17.95																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
91120	17.69	17.2	17.69	17.26	13.2	MARR.MI	18.52	18.52	18.01	18.07			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
117511	17.5	16.95	17.47	17.27	13.21	MARR.MI	18.87	18.9	18.31	18.65			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
