volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
101	9.8	9.8	9.8	9.8	8.4	ORS.MI	9.8	9.8	9.8	9.8			0.0			0																																								
305	9.67	9.58	9.58	9.67	8.29	ORS.MI	9.46	9.56	9.46	9.56			0.0			0								9.58													9.46									9.46			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	9.82	9.82	9.82	9.82			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	9.94	9.94	9.94	9.94			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	10.1	10.1	10.1	10.1			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	10.15	10.15	10.15	10.15			0.0			0							9.67													10.15													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	10.04	10.04	10.04	10.04			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	9.96	9.96	9.96	9.96			0.0			0																					9.96												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	10.13	10.13	10.13	10.13			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	9.67	9.67	9.67	9.67	8.29	ORS.MI	10.45	10.45	10.45	10.45			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2240	9.67	9.64	9.67	9.67	8.29	ORS.MI	10.73	10.73	10.7	10.73			0.0			0								9.64												10.73													0.0	0.0	0.0	0.0	0.0	0.0		0.0
1730	9.79	9.58	9.59	9.77	8.38	ORS.MI	10.53	10.75	10.52	10.73			0.0			0							9.79		9.79												10.52												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3054	9.62	9.38	9.53	9.62	8.25	ORS.MI	10.99	11.11	10.82	11.11			0.0			0								9.38		9.38										11.11		11.11											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
