volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
6729	3.39	3.22	3.33	3.27	3.27	PRM.MI	3.33	3.39	3.22	3.27			0.0			0																																							
13099	3.59	3.3	3.38	3.3	3.3	PRM.MI	3.34	3.55	3.26	3.26			0.0			0							3.59										3.59		3.55											3.55		0.0	0.0	0.0	0.0	0.0	0.0		0.0
1802	3.36	3.2	3.3	3.2	3.2	PRM.MI	3.35	3.41	3.24	3.24			0.0			0																				3.24												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2523	3.3	3.2	3.2	3.24	3.24	PRM.MI	3.29	3.38	3.29	3.32			0.0			0																			3.38													0.0	0.0	0.0	0.0	0.0	0.0		0.0
4566	3.24	3.1	3.16	3.11	3.11	PRM.MI	3.29	3.38	3.23	3.24			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
28842	3.15	2.86	3.15	2.98	2.98	PRM.MI	3.3	3.3	3.0	3.13			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7571	3.09	2.84	2.98	2.88	2.88	PRM.MI	3.1	3.21	2.95	2.99			0.0			0								2.84																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10575	3.03	2.92	2.92	2.94	2.94	PRM.MI	3.01	3.11	3.01	3.02			0.0			0							3.03																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
6129	3.08	2.8	2.96	2.85	2.85	PRM.MI	3.09	3.22	2.93	2.98			0.0			0																				2.93												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4927	2.9	2.8	2.81	2.82	2.82	PRM.MI	3.03	3.13	3.02	3.05			0.0			0																			3.13													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13459	2.79	2.51	2.79	2.51	2.51	PRM.MI	3.09	3.09	2.78	2.78			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12137	2.56	2.26	2.51	2.3	2.3	PRM.MI	2.75	2.81	2.48	2.52			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14781	2.29	2.01	2.29	2.22	2.22	PRM.MI	2.65	2.65	2.31	2.56			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
19228	2.22	2.05	2.2	2.16	2.16	PRM.MI	2.43	2.45	2.27	2.39			0.0			0								2.05												2.27												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11176	2.37	2.2	2.2	2.37	2.37	PRM.MI	2.39	2.59	2.39	2.59			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
21271	2.59	2.35	2.38	2.4	2.4	PRM.MI	2.64	2.89	2.61	2.67			0.0			0							2.59												2.89													0.0	0.0	0.0	0.0	0.0	0.0		0.0
7330	2.37	2.31	2.31	2.37	2.37	PRM.MI	2.53	2.6	2.53	2.6			0.0			0																				2.53												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2884	2.37	2.31	2.31	2.36	2.36	PRM.MI	2.55	2.61	2.54	2.6			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3605	2.31	2.3	2.31	2.3	2.3	PRM.MI	2.63	2.63	2.62	2.62			0.0			0								2.3																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1442	2.4	2.32	2.33	2.36	2.36	PRM.MI	2.59	2.66	2.57	2.63			0.0			0							2.4																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
240	2.36	2.31	2.31	2.36	2.36	PRM.MI	2.59	2.65	2.59	2.65			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
1682	2.32	2.23	2.31	2.32	2.32	PRM.MI	2.67	2.68	2.58	2.68			0.0			0								2.23																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	2.32	2.32	2.32	2.32	2.32	PRM.MI	2.76	2.76	2.76	2.76			0.0			0							2.32												2.76													0.0	0.0	0.0	0.0	0.0	0.0		0.0
6369	2.36	2.12	2.25	2.12	2.12	PRM.MI	2.65	2.78	2.5	2.5			0.0			0																				2.5												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5047	2.27	2.09	2.17	2.14	2.14	PRM.MI	2.6	2.73	2.51	2.58			0.0			0																			2.73													0.0	0.0	0.0	0.0	0.0	0.0		0.0
11536	2.08	1.97	2.08	1.97	1.97	PRM.MI	2.62	2.62	2.48	2.48			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5528	1.99	1.85	1.94	1.99	1.99	PRM.MI	2.52	2.59	2.41	2.59			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
