volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
887304	19.58	18.67	19.58	18.73	15.97	PRY.MI	19.58	19.58	18.67	18.73			0.0			0																																						
1000751	19.08	18.27	18.93	18.95	16.16	PRY.MI	18.71	18.86	18.06	18.72			0.0			0																				18.06								18.06			0.0	0.0	0.0	0.0	0.0	0.0		0.0
1241778	18.97	18.02	18.97	18.29	15.6	PRY.MI	19.26	19.26	18.3	18.57			0.0			0																			19.26												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1533158	18.8	17.6	17.92	18.2	15.52	PRY.MI	18.41	19.31	18.07	18.69			0.0			0																				18.07											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1135610	18.51	17.61	18.21	17.61	15.01	PRY.MI	19.01	19.32	18.37	18.37			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
956331	18.16	17.6	17.61	17.87	15.24	PRY.MI	18.48	19.06	18.47	18.75			0.0			0								17.6																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
1413688	18.53	17.71	17.77	18.26	15.57	PRY.MI	18.45	19.24	18.39	18.96			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1085777	18.78	18.36	18.46	18.5	15.78	PRY.MI	19.0	19.34	18.9	19.05			0.0			0							18.78												19.34												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1239255	18.34	17.79	18.24	17.98	15.33	PRY.MI	19.1	19.2	18.63	18.83			0.0			0																				18.63											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1508219	18.17	17.13	17.87	17.32	14.77	PRY.MI	19.3	19.62	18.5	18.7			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
916890	17.71	17.14	17.4	17.36	14.81	PRY.MI	19.31	19.65	19.02	19.27			0.0			0								17.14																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
754051	17.85	17.32	17.64	17.73	15.12	PRY.MI	19.38	19.6	19.03	19.47			0.0			0							17.85																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1324957	17.49	16.79	17.37	16.94	14.44	PRY.MI	20.05	20.18	19.38	19.55			0.0			0								16.79		16.79									20.18												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1657611	17.85	16.98	17.13	17.84	15.21	PRY.MI	18.97	19.76	18.8	19.75			0.0			0																				18.8											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1700823	18.55	17.83	18.04	18.4	15.69	PRY.MI	19.66	20.22	19.43	20.05			0.0			0							18.55																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1642456	18.62	17.64	18.56	17.82	15.19	PRY.MI	20.65	20.71	19.63	19.82			0.0			0																			20.71												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1148138	18.25	17.48	17.61	18.24	15.56	PRY.MI	19.29	20.0	19.15	19.99			0.0			0								17.48												19.15											0.0	0.0	0.0	0.0	0.0	0.0		0.0
961816	18.27	17.75	18.16	18.13	15.46	PRY.MI	19.97	20.1	19.53	19.94			0.0			0							18.27																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1417627	18.27	17.33	18.09	17.46	14.89	PRY.MI	20.62	20.83	19.76	19.9			0.0			0								17.33											20.83												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1198010	18.24	17.66	17.84	18.24	15.56	PRY.MI	19.82	20.27	19.63	20.27			0.0			0																				19.63											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1114992	18.84	18.16	18.44	18.38	15.67	PRY.MI	20.68	21.13	20.36	20.61			0.0		1.0	0							18.84		18.84										21.13												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1079027	18.42	17.5	18.42	17.68	15.08	PRY.MI	21.31	21.31	20.24	20.46			0.0		1.0	0																				20.24											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1513535	18.21	17.28	17.77	17.59	15.0	PRY.MI	21.16	21.69	20.57	20.94			0.0		1.0	0																			21.69												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1101293	18.01	17.22	17.87	17.79	15.17	PRY.MI	21.02	21.19	20.25	20.93			0.0		1.0	0																				20.25											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1243591	17.9	17.21	17.65	17.33	14.78	PRY.MI	21.22	21.51	20.68	20.84			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1036882	17.59	16.37	17.32	16.4	13.98	PRY.MI	21.85	22.18	20.64	20.68			0.0		1.0	0																			22.18		22.18										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1750002	16.59	15.53	16.51	15.93	13.59	PRY.MI	21.52	21.62	20.23	20.76			0.0		1.0	0								15.53		15.53		15.53				15.53															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1430600	16.86	15.9	16.16	16.83	14.35	PRY.MI	20.04	20.92	19.73	20.88			0.0		1.0	0							16.86													19.73											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1621149	16.55	15.81	16.55	15.9	13.56	PRY.MI	21.76	21.76	20.78	20.91			0.0		1.0	0								15.81											21.76			20.78									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1838828	16.38	15.89	16.16	16.09	13.72	PRY.MI	20.28	20.56	19.95	20.2			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1299264	16.65	16.21	16.35	16.59	14.15	PRY.MI	19.89	20.25	19.73	20.18			0.0		1.0	0																				19.73											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1650321	16.82	16.29	16.65	16.45	14.03	PRY.MI	20.36	20.57	19.92	20.12			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1371453	17.19	16.62	16.62	17.11	14.59	PRY.MI	19.83	20.51	19.83	20.42			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1300711	17.4	16.93	17.14	16.98	14.48	PRY.MI	20.77	21.09	20.51	20.57			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1908427	17.38	16.93	16.93	17.2	14.67	PRY.MI	20.76	21.31	20.76	21.09			0.0		1.0	0																			21.31												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1212703	17.76	17.35	17.4	17.71	15.1	PRY.MI	20.61	21.04	20.56	20.98			0.0		1.0	0							17.76													20.56											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1221717	17.79	17.28	17.47	17.37	14.82	PRY.MI	21.1	21.49	20.87	20.99			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1466698	17.45	16.79	17.45	17.12	14.6	PRY.MI	21.64	21.64	20.83	21.23			0.0		1.0	0								16.79																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1520107	17.82	17.13	17.38	17.75	15.14	PRY.MI	21.07	21.6	20.77	21.52			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1251544	18.14	17.75	17.89	18.03	15.38	PRY.MI	21.21	21.51	21.05	21.38			0.0		1.0	0																			21.51												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1192246	18.23	17.61	17.94	18.18	15.5	PRY.MI	21.11	21.45	20.71	21.38			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1108634	18.59	18.0	18.11	18.49	15.76	PRY.MI	20.84	21.4	20.72	21.28			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
791486	18.7	18.25	18.7	18.36	15.66	PRY.MI	21.29	21.29	20.79	20.91			0.0		1.0	0							18.7																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
972771	18.45	18.08	18.34	18.39	15.68	PRY.MI	20.72	20.84	20.43	20.78			0.0		1.0	0								18.08												20.43	20.84										0.0	0.0	0.0	0.0	0.0	0.0		0.0
840325	18.56	18.06	18.48	18.47	15.75	PRY.MI	20.96	21.06	20.49	20.95			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
863747	18.49	18.23	18.48	18.49	15.77	PRY.MI	21.21	21.23	20.93	21.23			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1011809	18.69	18.18	18.32	18.53	15.8	PRY.MI	21.08	21.51	20.92	21.33			0.0		1.0	0																			21.51												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1032745	18.72	18.35	18.42	18.58	15.85	PRY.MI	20.97	21.31	20.89	21.16			0.0		1.0	0							18.72																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1577026	18.96	18.08	18.61	18.08	15.42	PRY.MI	21.3	21.7	20.69	20.69			0.0		1.0	0								18.08																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1388673	18.83	18.22	18.28	18.83	16.06	PRY.MI	19.96	20.56	19.9	20.56			0.0		1.0	0																				19.9		19.9		19.9							0.0	0.0	0.0	0.0	0.0	0.0		0.0
860380	19.11	18.83	18.92	18.91	16.13	PRY.MI	20.67	20.88	20.57	20.66			0.0		1.0	1							19.11												20.88												0.0	0.0	0.0	0.0	0.0	0.0		0.0
916984	18.91	18.56	18.85	18.61	15.87	PRY.MI	20.83	20.89	20.51	20.56			0.0		1.0	1																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
758076	18.78	18.47	18.62	18.67	15.92	PRY.MI	20.61	20.79	20.44	20.66			0.0		1.0	1								18.47												20.44											0.0	0.0	0.0	0.0	0.0	0.0		0.0
869765	19.05	18.47	18.78	19.01	16.21	PRY.MI	20.93	21.22	20.58	21.18			0.0		1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
789153	19.13	18.86	19.13	18.9	16.12	PRY.MI	21.32	21.32	21.01	21.06			0.0		1.0	1							19.13												21.32												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
619338	19.11	18.78	18.85	18.96	16.17	PRY.MI	20.91	21.2	20.82	21.02			0.0		1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
881488	18.89	18.49	18.79	18.89	16.11	PRY.MI	20.84	20.95	20.5	20.95			0.0		1.0	1								18.49												20.5											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1019501	19.33	18.91	18.95	18.98	16.18	PRY.MI	21.28	21.7	21.24	21.31			0.0		1.0	1							19.33												21.7												0.0	0.0	0.0	0.0	0.0	0.0		0.0
857829	18.95	18.58	18.94	18.61	15.87	PRY.MI	21.62	21.63	21.21	21.24			0.0		1.0	1								18.58												21.21											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
861229	19.04	18.64	18.66	18.96	16.17	PRY.MI	21.29	21.72	21.27	21.63			0.0		1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1032877	19.61	19.05	19.15	19.43	16.57	PRY.MI	21.61	22.12	21.49	21.93			0.0		1.0	1							19.61		19.61																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
871877	19.41	19.17	19.38	19.25	16.41	PRY.MI	22.18	22.22	21.94	22.03			0.0	1.0	1.0	1																			22.22												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1130240	19.03	18.77	18.98	18.92	16.13	PRY.MI	22.14	22.19	21.89	22.07			0.0	1.0	1.0	1								18.77												21.89											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
724906	19.21	18.68	18.86	18.97	16.18	PRY.MI	22.17	22.58	21.96	22.3			0.0	1.0	1.0	1							19.21																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1357307	18.77	18.28	18.71	18.36	15.66	PRY.MI	22.67	22.74	22.16	22.25			0.0	1.0	1.0	1																			22.74												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
898960	18.53	18.21	18.53	18.44	15.72	PRY.MI	22.29	22.29	21.9	22.17			0.0	1.0	1.0	1																				21.9											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1736488	18.56	17.7	18.43	17.75	15.14	PRY.MI	22.72	22.88	21.82	21.88			0.0	1.0	1.0	0								17.7		17.7									22.88												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1899217	18.47	17.88	17.9	18.37	15.66	PRY.MI	21.2	21.87	21.17	21.76			0.0	1.0	1.0	0																				21.17											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2259814	19.5	18.18	18.28	19.47	16.6	PRY.MI	21.39	22.81	21.26	22.78			0.0	1.0	1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1711948	19.46	19.05	19.35	19.37	16.52	PRY.MI	22.99	23.13	22.64	23.03			0.0	1.0	1.0	0																			23.13		23.13										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1537063	20.03	19.5	19.58	19.95	17.02	PRY.MI	22.35	22.86	22.26	22.78			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
832443	20.0	19.77	19.92	19.89	16.96	PRY.MI	22.53	22.63	22.37	22.5			0.0	1.0	1.0	1							20.0																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
920589	19.79	19.53	19.73	19.62	16.73	PRY.MI	22.41	22.48	22.18	22.28			0.0	1.0	1.0	1																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
944823	19.5	19.18	19.28	19.42	16.91	PRY.MI	21.77	22.02	21.66	21.94			0.0	1.0	1.0	1								19.18												21.66											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1229391	20.17	19.3	19.37	19.78	17.22	PRY.MI	21.78	22.67	21.69	22.23			0.0	1.0	1.0	1																			22.67												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1078377	19.91	19.47	19.68	19.91	17.33	PRY.MI	21.87	22.12	21.64	22.12			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
816134	19.95	19.47	19.81	19.85	17.28	PRY.MI	21.93	22.09	21.55	21.97			0.0	1.0	1.0	1																				21.55											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
661725	20.03	19.73	19.8	19.87	17.3	PRY.MI	21.97	22.23	21.89	22.04			0.0	1.0	1.0	1							20.03																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1022966	20.02	19.39	19.94	19.44	16.93	PRY.MI	22.46	22.56	21.85	21.9			0.0	1.0	1.0	1								19.39											22.56												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1003230	19.86	19.51	19.59	19.62	17.08	PRY.MI	21.75	22.05	21.67	21.78			0.0	1.0	1.0	1																				21.67											0.0	0.0	0.0	0.0	0.0	0.0		0.0
938678	19.97	19.46	19.69	19.86	17.29	PRY.MI	21.78	22.09	21.52	21.96			0.0	1.0	1.0	1																			22.09												0.0	0.0	0.0	0.0	0.0	0.0		0.0
965196	20.1	19.61	19.74	20.0	17.42	PRY.MI	21.57	21.96	21.42	21.86			0.0	1.0	1.0	1																				21.42		21.42									0.0	0.0	0.0	0.0	0.0	0.0		0.0
964651	20.13	19.76	19.83	19.91	17.33	PRY.MI	22.1	22.44	22.03	22.19			0.0	1.0	1.0	1							20.13		20.13																						-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
610729	20.0	19.69	19.93	19.8	17.24	PRY.MI	22.43	22.52	22.17	22.29			0.0	1.0	1.0	1																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
991405	19.79	19.27	19.72	19.36	16.85	PRY.MI	22.76	22.84	22.24	22.34			0.0	1.0	1.0	1								19.27		19.27																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1053040	19.73	19.36	19.42	19.4	16.9	PRY.MI	22.45	22.81	22.37	22.43			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
591239	19.87	19.42	19.5	19.6	17.06	PRY.MI	22.56	22.98	22.47	22.67			0.0	1.0	1.0	1							19.87												22.98												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1158009	19.67	19.35	19.63	19.53	17.01	PRY.MI	22.81	22.86	22.48	22.69			0.0	1.0	1.0	1								19.35												22.48											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
774946	19.81	19.41	19.64	19.73	17.18	PRY.MI	23.02	23.22	22.76	23.13			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1740588	20.59	19.44	19.75	20.35	17.72	PRY.MI	22.83	23.81	22.48	23.53			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1657548	20.96	20.17	20.31	20.78	18.09	PRY.MI	23.8	24.56	23.63	24.34			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1756204	21.15	20.57	20.83	21.06	18.34	PRY.MI	24.47	24.85	24.17	24.73			0.0	1.0	1.0	1																			24.85												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1623069	21.17	20.83	20.88	21.01	18.29	PRY.MI	24.42	24.76	24.37	24.57			0.0	1.0	1.0	1							21.17		21.17																						-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
726103	20.88	20.61	20.84	20.88	18.18	PRY.MI	24.37	24.41	24.09	24.41			0.0	1.0	1.0	1								20.61												24.09											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1286595	21.1	20.53	20.92	20.79	18.1	PRY.MI	24.79	25.0	24.33	24.63			0.0	1.0	1.0	1							21.1												25.0												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
901473	20.91	20.5	20.59	20.91	18.21	PRY.MI	24.1	24.48	23.99	24.48			0.0	1.0	1.0	1																				23.99											0.0	0.0	0.0	0.0	0.0	0.0		0.0
859675	20.86	20.52	20.7	20.69	18.02	PRY.MI	24.46	24.65	24.24	24.45			0.0	1.0	1.0	1								20.52		20.52																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1034475	21.22	20.77	20.77	21.17	18.44	PRY.MI	24.17	24.7	24.17	24.65			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1136581	21.39	20.83	21.23	21.0	18.29	PRY.MI	25.41	25.59	24.93	25.13			0.0	1.0	1.0	1																			25.59		25.59		25.59								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
856982	21.48	20.87	20.9	21.36	18.6	PRY.MI	24.21	24.88	24.17	24.73	25.59	18.06	0.0	1.0	1.0	1	1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1066890	21.55	21.08	21.45	21.25	18.5	PRY.MI	24.44	24.55	24.01	24.21	25.59	18.06	0.0	1.0	1.0	1	1.0			1.0																24.01											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
657013	21.46	21.18	21.22	21.38	18.61	PRY.MI	24.15	24.43	24.11	24.33	25.59	18.07	0.0	1.0	1.0	1	1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
652419	21.52	21.2	21.28	21.4	18.63	PRY.MI	24.26	24.54	24.17	24.39	25.59	18.07	0.0	1.0	1.0	1	1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
635399	21.7	21.25	21.38	21.6	18.81	PRY.MI	24.23	24.6	24.09	24.48	25.59	18.37	0.0	1.0	1.0	1	1.0			1.0			21.7		21.7		21.7																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
1158187	21.59	21.22	21.5	21.26	18.51	PRY.MI	24.73	24.83	24.41	24.46	25.59	18.39	0.0	1.0	1.0	1	1.0			1.0																											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
657943	21.46	21.03	21.28	21.2	18.46	PRY.MI	24.77	24.99	24.48	24.68	25.59	18.39	0.0	1.0	1.0	1	1.0			1.0																											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
777409	21.42	21.03	21.34	21.1	18.37	PRY.MI	24.9	25.0	24.54	24.62	25.59	18.5	0.0	1.0	1.0	1	1.0			1.0																											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
788160	21.24	20.76	21.18	20.82	18.13	PRY.MI	25.1	25.17	24.6	24.67	25.59	18.5	0.0	1.0	1.0	1	1.0			1.0															25.17												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
