volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
5728108	0.61	0.59	0.6	0.6	0.4	RCS.MI	0.6	0.61	0.59	0.6			0.0			0																																						
6222140	0.62	0.6	0.61	0.6	0.41	RCS.MI	0.6	0.61	0.59	0.6			0.0			0							0.62																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
4131152	0.61	0.57	0.61	0.58	0.39	RCS.MI	0.62	0.62	0.58	0.59			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10686633	0.61	0.55	0.56	0.6	0.41	RCS.MI	0.57	0.62	0.57	0.62			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
5812583	0.61	0.56	0.6	0.57	0.39	RCS.MI	0.63	0.64	0.59	0.6			0.0			0																		0.64													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4163488	0.58	0.55	0.57	0.56	0.37	RCS.MI	0.6	0.61	0.58	0.58			0.0			0								0.55											0.58												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
9644799	0.59	0.53	0.55	0.58	0.39	RCS.MI	0.57	0.61	0.55	0.6			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
9381277	0.62	0.58	0.58	0.61	0.41	RCS.MI	0.6	0.64	0.6	0.63			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
12803149	0.65	0.59	0.6	0.65	0.44	RCS.MI	0.63	0.69	0.62	0.68			0.0			0							0.65		0.65																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
6887313	0.66	0.62	0.64	0.62	0.42	RCS.MI	0.69	0.71	0.66	0.66			0.0			0																		0.71		0.71											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3997139	0.63	0.59	0.61	0.59	0.4	RCS.MI	0.68	0.7	0.65	0.65			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3764408	0.62	0.56	0.6	0.57	0.38	RCS.MI	0.66	0.69	0.61	0.62			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2441909	0.56	0.53	0.56	0.53	0.36	RCS.MI	0.65	0.65	0.61	0.61			0.0			0								0.53		0.53																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2827206	0.55	0.53	0.53	0.55	0.37	RCS.MI	0.59	0.61	0.58	0.6			0.0			0																			0.58												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4044236	0.59	0.56	0.56	0.57	0.38	RCS.MI	0.6	0.65	0.6	0.62			0.0			0							0.59											0.65													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2331471	0.59	0.54	0.58	0.54	0.36	RCS.MI	0.64	0.65	0.6	0.6			0.0			0								0.54																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3279813	0.58	0.53	0.54	0.56	0.38	RCS.MI	0.59	0.63	0.58	0.61			0.0			0							0.58												0.58												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4209309	0.58	0.55	0.56	0.56	0.38	RCS.MI	0.62	0.64	0.61	0.61			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
4006046	0.56	0.53	0.55	0.54	0.36	RCS.MI	0.63	0.64	0.61	0.62			0.0			0								0.53																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1573299	0.57	0.55	0.55	0.57	0.38	RCS.MI	0.61	0.64	0.61	0.63			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
