volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
367925	24.29	23.53	24.09	23.64	19.07	REC.MI	24.09	24.29	23.53	23.64			0.0			0																																						
456698	24.48	23.81	23.99	24.37	19.66	REC.MI	23.71	24.19	23.53	24.08			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
179721	24.5	24.09	24.47	24.37	19.66	REC.MI	24.84	24.87	24.46	24.74			0.0			0							24.5												24.87												0.0	0.0	0.0	0.0	0.0	0.0		0.0
392653	24.26	23.52	24.0	23.96	19.33	REC.MI	24.65	24.91	24.15	24.61			0.0			0																				24.15											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
312566	24.2	23.51	23.95	23.51	18.96	REC.MI	24.99	25.25	24.53	24.53			0.0			0																			25.25												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
202393	23.79	23.28	23.7	23.32	18.81	REC.MI	24.87	24.97	24.43	24.47			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
274170	23.69	23.13	23.26	23.13	18.66	REC.MI	24.15	24.6	24.01	24.01			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
325617	23.5	23.18	23.44	23.18	18.7	REC.MI	24.13	24.19	23.86	23.86			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
445591	23.01	22.0	23.01	22.45	18.11	REC.MI	24.09	24.09	23.03	23.51			0.0			0								22.0												23.03		23.03						23.03			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
348602	22.77	22.15	22.54	22.6	18.23	REC.MI	24.35	24.59	23.92	24.41			0.0			0							22.77																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
316547	22.74	21.8	22.53	21.83	17.61	REC.MI	25.0	25.23	24.19	24.22			0.0			0								21.8																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
331013	22.79	22.09	22.23	22.6	18.23	REC.MI	24.41	25.03	24.26	24.82			0.0			0							22.79																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
434199	22.3	21.75	22.15	21.75	17.54	REC.MI	25.56	25.73	25.1	25.1			0.0			0																			25.73												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
362083	22.36	21.61	22.3	21.73	17.53	REC.MI	24.7	24.76	23.93	24.06			0.0			0								21.61		21.61										23.93											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
295782	22.74	22.04	22.22	22.68	18.29	REC.MI	24.21	24.78	24.02	24.71			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
184403	23.09	22.57	22.88	22.97	18.53	REC.MI	25.45	25.68	25.1	25.55			0.0			0																			25.68												0.0	0.0	0.0	0.0	0.0	0.0		0.0
