date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	68154	4.79	4.61	4.72	4.79	3.17	RWAY.MI	4.72	4.79	4.61	4.79						0																																
2016-01-05 08:00:00	69492	4.76	4.65	4.72	4.73	3.14	RWAY.MI	4.66	4.7	4.6	4.68						0																					4.6											
2016-01-06 08:00:00	37490	4.82	4.61	4.82	4.68	3.1	RWAY.MI	4.89	4.89	4.68	4.76						0																		4.82		4.89												
2016-01-07 08:00:00	114077	4.73	4.47	4.63	4.66	3.09	RWAY.MI	4.75	4.86	4.59	4.78						0								4.47													4.59		4.59									
2016-01-08 08:00:00	30895	4.73	4.58	4.68	4.58	3.04	RWAY.MI	4.88	4.93	4.78	4.78						0							4.73													4.93		4.93										
2016-01-11 08:00:00	90758	4.68	4.49	4.5	4.49	2.97	RWAY.MI	4.72	4.91	4.71	4.71						0								4.49													4.71											
2016-01-12 08:00:00	52978	4.7	4.46	4.46	4.67	3.09	RWAY.MI	4.63	4.88	4.63	4.85						0							4.7													4.88												
2016-01-13 08:00:00	37043	4.73	4.5	4.5	4.61	3.05	RWAY.MI	4.63	4.87	4.63	4.75						0																																
2016-01-14 08:00:00	122170	4.53	4.42	4.5	4.5	2.98	RWAY.MI	4.71	4.74	4.63	4.71						0																					4.63											
2016-01-15 08:00:00	145196	4.48	4.29	4.4	4.38	2.9	RWAY.MI	4.75	4.84	4.63	4.73						0																																
2016-01-18 08:00:00	108378	4.4	4.22	4.28	4.31	2.85	RWAY.MI	4.75	4.89	4.68	4.78						0								4.22												4.89												
2016-01-19 08:00:00	20676	4.41	4.27	4.28	4.3	2.85	RWAY.MI	4.7	4.84	4.69	4.72						0							4.41														4.69											
