date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	7057	11.54	11.2	11.54	11.41	8.9	SAB.MI	11.54	11.54	11.2	11.41						0																																
2016-01-05 08:00:00	3576	11.62	11.35	11.41	11.48	8.96	SAB.MI	11.27	11.48	11.22	11.34						0							11.62											11.62			11.22											
2016-01-06 08:00:00	1737	11.3	11.28	11.3	11.3	8.82	SAB.MI	11.47	11.47	11.45	11.47						0																																
2016-01-07 08:00:00	7293	11.29	11.1	11.29	11.1	8.66	SAB.MI	11.59	11.59	11.4	11.4						0																																
2016-01-08 08:00:00	7155	11.3	11.03	11.25	11.15	8.7	SAB.MI	11.74	11.79	11.51	11.64						0																																
2016-01-11 08:00:00	2915	11.2	11.01	11.08	11.15	8.7	SAB.MI	11.63	11.75	11.56	11.7						0								11.01												11.75												
2016-01-12 08:00:00	12005	11.27	11.08	11.15	11.08	8.64	SAB.MI	11.58	11.7	11.5	11.5						0							11.27																									
2016-01-13 08:00:00	6018	11.19	11.0	11.15	11.0	8.58	SAB.MI	11.48	11.52	11.32	11.32						0																					11.32											
2016-01-14 08:00:00	6503	11.01	10.83	11.01	10.87	8.48	SAB.MI	11.53	11.53	11.34	11.38						0																																
2016-01-15 08:00:00	9401	11.06	10.5	11.06	10.5	8.19	SAB.MI	11.95	11.95	11.34	11.34						0																				11.95												
2016-01-18 08:00:00	6329	10.56	10.03	10.56	10.03	7.82	SAB.MI	11.72	11.72	11.13	11.13						0								10.03																								
2016-01-19 08:00:00	5382	10.45	10.2	10.32	10.21	7.96	SAB.MI	11.33	11.48	11.2	11.21						0							10.45														11.2											
2016-01-20 08:00:00	10136	10.53	9.91	10.05	10.16	7.93	SAB.MI	11.6	12.15	11.44	11.72						0																				12.15		12.15										
2016-01-21 08:00:00	15238	10.33	9.63	10.11	10.14	7.91	SAB.MI	11.2	11.44	10.66	11.23						0								9.63		9.63											10.66		10.66									
2016-01-22 08:00:00	11177	10.8	10.31	10.45	10.31	8.04	SAB.MI	11.39	11.77	11.23	11.23						0							10.8		10.8																							
2016-01-25 08:00:00	7439	10.49	10.19	10.49	10.33	8.06	SAB.MI	11.67	11.67	11.33	11.49						0								10.19												11.67												
2016-01-26 08:00:00	11495	10.51	10.3	10.51	10.35	8.07	SAB.MI	11.52	11.52	11.29	11.34						0																					11.29											
2016-01-27 08:00:00	681	10.53	10.48	10.53	10.52	8.21	SAB.MI	11.58	11.58	11.53	11.57						0							10.53																									
2016-01-28 08:00:00	4238	10.41	10.03	10.35	10.15	7.92	SAB.MI	11.8	11.87	11.43	11.57						0								10.03												11.87												
2016-01-29 08:00:00	5210	10.39	10.3	10.32	10.35	8.07	SAB.MI	11.47	11.55	11.45	11.5						0							10.39														11.45											
2016-02-01 08:00:00	8357	10.53	9.89	10.4	10.39	8.11	SAB.MI	11.66	11.81	11.09	11.65						0								9.89																								
2016-02-02 08:00:00	4315	10.57	10.0	10.57	10.29	8.03	SAB.MI	12.23	12.23	11.57	11.9					1.0	0							10.57																									
2016-02-03 08:00:00	6482	10.42	10.0	10.42	10.35	8.07	SAB.MI	12.41	12.41	11.91	12.32					1.0	0																				12.41												
2016-02-04 08:00:00	12706	10.31	9.8	10.31	10.2	7.96	SAB.MI	12.13	12.13	11.53	12.0					1.0	0								9.8													11.53											
2016-02-05 08:00:00	771	10.37	10.16	10.37	10.16	7.93	SAB.MI	12.46	12.46	12.21	12.21					1.0	0							10.37																									
2016-02-08 08:00:00	8538	10.33	9.87	10.33	10.0	7.8	SAB.MI	13.03	13.03	12.45	12.61					1.0	0																																
2016-02-09 08:00:00	2209	9.98	9.78	9.98	9.78	7.63	SAB.MI	13.01	13.01	12.74	12.74					1.0	0								9.78												13.01												
2016-02-10 08:00:00	5710	10.09	9.92	9.95	10.05	7.84	SAB.MI	12.34	12.52	12.31	12.47					1.0	0							10.09														12.31											
2016-02-11 08:00:00	4854	9.92	9.77	9.92	9.85	7.68	SAB.MI	13.04	13.04	12.84	12.94					1.0	0								9.77		9.77										13.04												
2016-02-12 08:00:00	7601	10.27	9.88	10.01	10.1	7.88	SAB.MI	12.57	12.89	12.4	12.68					1.0	0																																
2016-02-15 08:00:00	7215	10.27	9.93	10.12	10.1	7.88	SAB.MI	12.31	12.49	12.08	12.29					1.0	0																					12.08											
2016-02-16 08:00:00	4353	10.42	10.12	10.27	10.42	8.13	SAB.MI	12.56	12.74	12.37	12.74					1.0	0																																
2016-02-17 08:00:00	7846	10.77	10.5	10.5	10.77	8.4	SAB.MI	12.53	12.85	12.53	12.85					1.0	0																																
2016-02-18 08:00:00	22361	10.92	10.7	10.8	10.81	8.43	SAB.MI	13.09	13.23	12.96	13.1					1.0	0							10.92		10.92		10.92									13.23		13.23		13.23								
2016-02-19 08:00:00	2038	10.81	10.6	10.76	10.6	8.27	SAB.MI	13.19	13.25	13.0	13.0					1.0	0								10.6																							13.25	
2016-02-22 08:00:00	4880	10.74	10.65	10.68	10.74	8.38	SAB.MI	12.65	12.72	12.61	12.72					1.0	0							10.74														12.61											
2016-02-23 08:00:00	427	10.7	10.56	10.56	10.7	8.35	SAB.MI	12.76	12.93	12.76	12.93					1.0	0																																
2016-02-24 08:00:00	1160	10.63	10.5	10.52	10.55	8.23	SAB.MI	13.05	13.18	13.02	13.08					1.0	0																				13.18												
2016-02-25 08:00:00	5533	10.62	10.1	10.55	10.36	8.08	SAB.MI	12.79	12.87	12.24	12.56					1.0	0																																
2016-02-26 08:00:00	5422	10.5	10.0	10.43	10.48	8.18	SAB.MI	12.37	12.45	11.86	12.43					1.0	0																																
