volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
110000	1.17	1.1	1.14	1.13	1.03	SCK.MI	1.14	1.18	1.1	1.13			0.0			0																		1.17																						
42000	1.17	1.11	1.11	1.16	1.05	SCK.MI	1.11	1.17	1.11	1.16			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
167000	1.17	1.1	1.16	1.15	1.04	SCK.MI	1.17	1.18	1.11	1.16			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
88000	1.17	1.11	1.11	1.12	1.02	SCK.MI	1.15	1.21	1.15	1.16			0.0			0																				1.21													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
114000	1.14	1.08	1.14	1.09	0.99	SCK.MI	1.19	1.19	1.13	1.13			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
84000	1.11	1.05	1.08	1.05	0.96	SCK.MI	1.13	1.16	1.1	1.1			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
76000	1.05	0.99	1.05	0.99	0.9	SCK.MI	1.12	1.12	1.05	1.05			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
39000	1.01	0.95	0.99	0.95	0.87	SCK.MI	1.06	1.08	1.02	1.02			0.0			0								0.95																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23000	0.98	0.94	0.95	0.98	0.89	SCK.MI	1.02	1.05	1.01	1.05			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.98	0.98	0.98	0.98	0.89	SCK.MI	1.03	1.03	1.03	1.03			0.0			0																					1.03												0.0	0.0	0.0	0.0	0.0	0.0		0.0
20000	1.01	1.0	1.0	1.01	0.92	SCK.MI	1.05	1.07	1.05	1.07			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
19000	1.04	1.03	1.04	1.04	0.95	SCK.MI	1.1	1.11	1.09	1.1			0.0			0																				1.11													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.04	1.04	1.04	1.04	0.95	SCK.MI	1.1	1.1	1.1	1.1			0.0			0							1.04																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
197000	1.04	1.03	1.03	1.04	0.95	SCK.MI	1.08	1.09	1.08	1.09			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
24000	1.04	1.0	1.04	1.04	0.94	SCK.MI	1.1	1.1	1.06	1.1			0.0			0								1.0													1.06												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.04	1.04	1.04	1.04	0.94	SCK.MI	1.09	1.09	1.09	1.09			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.04	1.04	1.04	1.04	0.94	SCK.MI	1.11	1.11	1.11	1.11			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
12000	1.07	1.0	1.02	1.07	0.97	SCK.MI	1.1	1.15	1.08	1.15			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.07	1.07	1.07	1.07	0.97	SCK.MI	1.14	1.14	1.14	1.14			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
9000	1.11	1.07	1.07	1.11	1.01	SCK.MI	1.14	1.18	1.14	1.18			0.0			0							1.11													1.18													0.0	0.0	0.0	0.0	0.0	0.0		0.0
12000	1.11	1.02	1.07	1.11	1.01	SCK.MI	1.14	1.18	1.08	1.18			0.0			0								1.02													1.08												0.0	0.0	0.0	0.0	0.0	0.0		0.0
78000	1.15	1.08	1.1	1.13	1.03	SCK.MI	1.17	1.22	1.15	1.2			0.0		1.0	0							1.15													1.22		1.22											0.0	0.0	0.0	0.0	0.0	0.0		0.0
59000	1.15	1.08	1.14	1.12	1.01	SCK.MI	1.22	1.23	1.16	1.19			0.0		1.0	0																															1.23		-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15000	1.12	1.08	1.08	1.12	1.02	SCK.MI	1.13	1.17	1.13	1.17			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.1	1.1	1.1	1.1	1.0	SCK.MI	1.15	1.15	1.15	1.15			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5000	1.08	1.08	1.08	1.08	0.98	SCK.MI	1.13	1.13	1.13	1.13			0.0		1.0	0								1.08													1.13												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	1.08	1.08	1.08	1.08	0.98	SCK.MI	1.13	1.13	1.13	1.13			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
34000	1.15	1.05	1.05	1.14	1.04	SCK.MI	1.1	1.21	1.1	1.19			0.0		1.0	0																				1.21													0.0	0.0	0.0	0.0	0.0	0.0		0.0
48000	1.15	1.1	1.12	1.11	1.01	SCK.MI	1.16	1.19	1.14	1.15			0.0		1.0	0							1.15		1.15																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3000	1.11	1.1	1.1	1.11	1.01	SCK.MI	1.13	1.15	1.13	1.15			0.0		1.0	0								1.1													1.13												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.12	1.12	1.12	1.12	1.02	SCK.MI	1.15	1.15	1.15	1.15			0.0		1.0	0							1.12													1.15													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	1.12	1.09	1.12	1.09	0.99	SCK.MI	1.14	1.14	1.11	1.11			0.0		1.0	0								1.09													1.11		1.11										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
22000	1.13	1.09	1.09	1.13	1.03	SCK.MI	1.11	1.15	1.11	1.15			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.13	1.13	1.13	1.13	1.03	SCK.MI	1.16	1.16	1.16	1.16			0.0		1.0	0																				1.16													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.13	1.13	1.13	1.13	1.03	SCK.MI	1.14	1.14	1.14	1.14			0.0		1.0	0							1.13																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.13	1.13	1.13	1.13	1.03	SCK.MI	1.14	1.14	1.14	1.14			0.0		1.0	0																					1.14												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.13	1.13	1.13	1.13	1.02	SCK.MI	1.14	1.14	1.14	1.14			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
14000	1.13	1.07	1.13	1.1	1.0	SCK.MI	1.19	1.19	1.13	1.16			0.0		1.0	0																				1.19		1.19											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5000	1.09	1.06	1.06	1.07	0.97	SCK.MI	1.12	1.15	1.12	1.13			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4000	1.05	1.04	1.05	1.04	0.95	SCK.MI	1.12	1.12	1.11	1.11			0.0		1.0	0								1.04																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
55000	1.08	1.0	1.03	1.08	0.98	SCK.MI	1.09	1.14	1.05	1.14			0.0		-1.0	0							1.08																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
60000	1.04	1.0	1.02	1.0	0.91	SCK.MI	1.09	1.1	1.06	1.06			0.0		-1.0	0																					1.06		1.06										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21000	1.04	0.99	1.02	1.01	0.92	SCK.MI	1.1	1.11	1.06	1.09			0.0		-1.0	0																				1.11													0.0	0.0	0.0	0.0	0.0	0.0		0.0
64000	0.99	0.98	0.99	0.98	0.89	SCK.MI	1.09	1.09	1.07	1.07			0.0		-1.0	0								0.98													1.07												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17000	1.01	0.99	1.0	0.99	0.9	SCK.MI	1.08	1.1	1.08	1.08			0.0		-1.0	0							1.01																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
25000	1.04	0.98	1.0	0.98	0.89	SCK.MI	1.1	1.15	1.09	1.09			0.0		-1.0	0																				1.15		1.15											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
37000	0.95	0.91	0.95	0.92	0.84	SCK.MI	1.07	1.07	1.03	1.04			0.0		-1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
28000	0.95	0.89	0.93	0.94	0.86	SCK.MI	1.06	1.08	1.01	1.07			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.91	0.91	0.91	0.91	0.83	SCK.MI	1.03	1.03	1.03	1.03			0.0		-1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
38000	0.93	0.88	0.91	0.9	0.82	SCK.MI	1.01	1.03	0.98	1.0			0.0	-1.0	-1.0	-1																					0.98		0.98										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.9	0.9	0.9	0.9	0.82	SCK.MI	1.01	1.01	1.01	1.01			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.9	0.9	0.9	0.9	0.82	SCK.MI	1.03	1.03	1.03	1.03			0.0	-1.0	-1.0	-1																				1.03													0.0	0.0	0.0	0.0	0.0	0.0		0.0
14000	0.88	0.87	0.88	0.88	0.8	SCK.MI	1.01	1.01	1.0	1.01			0.0	-1.0	-1.0	-1																					1.0												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.88	0.88	0.88	0.88	0.8	SCK.MI	1.01	1.01	1.01	1.01			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
7000	0.9	0.87	0.9	0.87	0.8	SCK.MI	1.05	1.05	1.02	1.02			0.0	-1.0	-1.0	-1																				1.05		1.05											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4000	0.87	0.87	0.87	0.87	0.8	SCK.MI	1.03	1.03	1.03	1.03			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.87	0.87	0.87	0.87	0.8	SCK.MI	1.02	1.02	1.02	1.02			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.87	0.87	0.87	0.87	0.8	SCK.MI	1.02	1.02	1.02	1.02			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.87	0.87	0.87	0.87	0.8	SCK.MI	1.0	1.0	1.0	1.0			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.85	0.84	0.84	0.85	0.77	SCK.MI	0.97	0.98	0.97	0.98			0.0	-1.0	-1.0	-1								0.84		0.84											0.97												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13000	0.87	0.84	0.84	0.87	0.8	SCK.MI	0.96	1.0	0.96	1.0			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.87	0.87	0.87	0.87	0.8	SCK.MI	1.0	1.0	1.0	1.0			0.0	-1.0	-1.0	-1							0.87													1.0													0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.89	0.86	0.88	0.86	0.78	SCK.MI	0.99	1.01	0.96	0.96			0.0	-1.0	-1.0	-1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.86	0.86	0.86	0.86	0.78	SCK.MI	0.97	0.97	0.97	0.97			0.0	-1.0	-1.0	-1								0.86													0.97												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.86	0.86	0.86	0.86	0.78	SCK.MI	0.98	0.98	0.98	0.98			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.88	0.88	0.88	0.88	0.8	SCK.MI	0.98	0.98	0.98	0.98			0.0	-1.0	-1.0	-1							0.88		0.88											0.98													0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.87	0.87	0.87	0.87	0.79	SCK.MI	0.98	0.98	0.98	0.98			0.0	-1.0	-1.0	-1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6000	0.86	0.86	0.86	0.86	0.78	SCK.MI	0.97	0.97	0.97	0.97			0.0	-1.0	-1.0	-1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1000	0.84	0.84	0.84	0.84	0.76	SCK.MI	0.96	0.96	0.96	0.96			0.0	-1.0	-1.0	-1																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7000	0.84	0.82	0.82	0.82	0.75	SCK.MI	0.93	0.95	0.93	0.94			0.0	-1.0	-1.0	-1																					0.93												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2000	0.84	0.82	0.84	0.82	0.75	SCK.MI	0.96	0.96	0.94	0.94			0.0	-1.0	-1.0	-1																				0.96			0.94										0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	0.81	0.81	0.81	0.81	0.73	SCK.MI	0.93	0.93	0.93	0.93			0.0	-1.0	-1.0	-1								0.81													0.93												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
123000	0.85	0.75	0.81	0.85	0.77	SCK.MI	0.93	0.98	0.87	0.98			0.0	-1.0	-1.0	-1							0.85																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
29000	0.83	0.79	0.83	0.82	0.75	SCK.MI	0.97	0.97	0.92	0.95			0.0	-1.0	-1.0	-1								0.79		0.79																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
29000	0.86	0.76	0.79	0.86	0.78	SCK.MI	0.93	1.02	0.9	1.02			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.88	0.83	0.83	0.88	0.8	SCK.MI	0.97	1.02	0.97	1.02			0.0	-1.0	-1.0	-1																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.92	0.88	0.88	0.92	0.83	SCK.MI	1.03	1.07	1.03	1.07			0.0	-1.0	1.0	0							0.92		0.92		0.92					0.0			0.92	1.07		1.07		1.07					0.0			1.07	0.0	0.0	0.0	0.0	0.0	0.0		0.0
6000	0.92	0.88	0.91	0.91	0.83	SCK.MI	1.07	1.07	1.03	1.06			0.0	-1.0	1.0	0																0.0			0.92										0.0			1.07	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21000	0.9	0.85	0.9	0.85	0.77	SCK.MI	1.03	1.03	0.97	0.97			0.0	-1.0	1.0	0																0.0			0.92										0.0			1.07	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
