volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
272000	0.82	0.75	0.76	0.8	0.8	SEIF.MI	0.76	0.82	0.75	0.8			0.0			0																																					
114000	0.83	0.78	0.83	0.8	0.8	SEIF.MI	0.83	0.83	0.78	0.8			0.0			0							0.83										0.83		0.83									0.83		0.0	0.0	0.0	0.0	0.0	0.0		0.0
68000	0.8	0.76	0.8	0.78	0.78	SEIF.MI	0.8	0.8	0.76	0.78			0.0			0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
32000	0.79	0.76	0.79	0.76	0.76	SEIF.MI	0.79	0.79	0.75	0.75			0.0			0								0.76												0.75										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
26000	0.79	0.75	0.79	0.76	0.76	SEIF.MI	0.79	0.79	0.75	0.76			0.0			0																			0.79											0.0	0.0	0.0	0.0	0.0	0.0		0.0
62000	0.79	0.76	0.79	0.77	0.77	SEIF.MI	0.78	0.78	0.76	0.77			0.0			0							0.79																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
16000	0.78	0.78	0.78	0.78	0.78	SEIF.MI	0.76	0.76	0.76	0.76			0.0			0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
22000	0.78	0.76	0.76	0.78	0.78	SEIF.MI	0.74	0.76	0.74	0.76			0.0			0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
26000	0.77	0.74	0.76	0.77	0.77	SEIF.MI	0.74	0.75	0.72	0.75			0.0			0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
30000	0.76	0.75	0.76	0.75	0.75	SEIF.MI	0.74	0.74	0.73	0.73			0.0			0								0.75												0.73										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8000	0.76	0.76	0.76	0.76	0.76	SEIF.MI	0.73	0.74	0.73	0.74			0.0			0							0.76																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.76	0.76	0.76	0.76	0.76	SEIF.MI	0.74	0.74	0.74	0.74			0.0			0																			0.74											0.0	0.0	0.0	0.0	0.0	0.0		0.0
16000	0.76	0.75	0.75	0.76	0.76	SEIF.MI	0.73	0.74	0.73	0.74			0.0			0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
54000	0.76	0.73	0.74	0.75	0.75	SEIF.MI	0.72	0.74	0.71	0.73			0.0			0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
182000	0.75	0.69	0.75	0.72	0.72	SEIF.MI	0.73	0.73	0.67	0.7			0.0			0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8000	0.73	0.72	0.73	0.72	0.72	SEIF.MI	0.71	0.71	0.69	0.69			0.0			0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
18000	0.71	0.69	0.71	0.71	0.71	SEIF.MI	0.68	0.68	0.67	0.68			0.0			0								0.69												0.67		0.67								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
