date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	1705033	21.67	20.38	21.46	20.66	18.28	SFER.MI	21.46	21.67	20.38	20.66						0																															
2016-01-05 08:00:00	997627	20.96	20.2	20.91	20.36	18.01	SFER.MI	20.66	20.71	19.96	20.12						0																															
2016-01-06 08:00:00	985547	20.41	19.64	20.39	19.78	17.5	SFER.MI	20.7	20.72	19.94	20.08						0																					19.94										
2016-01-07 08:00:00	1381959	20.5	18.5	19.21	20.28	17.94	SFER.MI	19.73	21.05	19.0	20.83						0								18.5																					19.0		
2016-01-08 08:00:00	951699	20.67	19.9	20.4	19.99	17.68	SFER.MI	21.29	21.57	20.77	20.86						0																															
2016-01-11 08:00:00	1189444	20.82	19.76	19.83	20.63	18.25	SFER.MI	20.81	21.85	20.74	21.65						0																															
2016-01-12 08:00:00	2266409	22.39	20.84	20.93	21.94	19.41	SFER.MI	21.73	23.25	21.64	22.78						0																				23.25											
2016-01-13 08:00:00	1367537	22.27	21.44	22.17	21.63	19.13	SFER.MI	22.82	22.93	22.07	22.27						0							22.27																								
2016-01-14 08:00:00	1053164	21.51	20.53	21.29	21.3	18.84	SFER.MI	22.29	22.52	21.5	22.3						0																					21.5										
2016-01-15 08:00:00	802632	21.47	20.58	21.11	20.87	18.46	SFER.MI	22.8	23.19	22.23	22.54						0																															
2016-01-18 08:00:00	939035	21.07	19.9	20.65	20.67	18.29	SFER.MI	22.91	23.38	22.08	22.93						0																				23.38											
2016-01-19 08:00:00	975727	20.92	20.09	20.67	20.46	18.1	SFER.MI	22.7	22.97	22.06	22.47						0																					22.06										
2016-01-20 08:00:00	943974	20.32	19.42	20.06	19.94	17.64	SFER.MI	23.15	23.45	22.41	23.01						0								19.42												23.45		23.45									
2016-01-21 08:00:00	1002361	20.32	19.56	19.96	19.86	17.57	SFER.MI	22.1	22.5	21.66	21.99						0																					21.66		21.66								
2016-01-22 08:00:00	813843	20.78	20.06	20.17	20.56	18.19	SFER.MI	21.98	22.64	21.86	22.4						0																															
