volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
17624520	4.92	4.77	4.84	4.87	3.01	SRG.MI	4.84	4.92	4.77	4.87			0.0			0																												4.77										
15815528	4.99	4.9	4.92	4.99	3.08	SRG.MI	4.86	4.93	4.84	4.93			0.0			0							4.99																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
14541976	5.01	4.92	5.0	4.95	3.05	SRG.MI	5.07	5.09	5.0	5.02			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
20766565	5.02	4.87	4.88	4.95	3.06	SRG.MI	5.01	5.15	5.0	5.09			0.0			0								4.87																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
20906102	5.02	4.92	4.94	4.97	3.07	SRG.MI	5.16	5.24	5.13	5.19			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
14675512	5.07	4.95	4.99	5.02	3.1	SRG.MI	5.23	5.32	5.2	5.27			0.0			0																			5.32												0.0	0.0	0.0	0.0	0.0	0.0		0.0
16114994	5.1	5.01	5.03	5.08	3.13	SRG.MI	5.22	5.3	5.2	5.27			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
13866934	5.14	5.07	5.13	5.07	3.13	SRG.MI	5.29	5.3	5.22	5.22			0.0			0							5.14		5.14											5.22											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16252904	5.11	5.0	5.03	5.05	3.12	SRG.MI	5.27	5.35	5.23	5.29			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
20613726	5.07	4.94	5.03	4.98	3.07	SRG.MI	5.44	5.48	5.34	5.38			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12570168	5.01	4.92	5.0	4.93	3.04	SRG.MI	5.54	5.56	5.46	5.47			0.0			0								4.92											5.56												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13933356	5.02	4.93	4.99	5.02	3.1	SRG.MI	5.48	5.52	5.42	5.51			0.0			0							5.02													5.42											0.0	0.0	0.0	0.0	0.0	0.0		0.0
21701847	4.99	4.88	4.98	4.89	3.02	SRG.MI	5.75	5.76	5.63	5.64			0.0			0								4.88		4.88									5.76												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16255975	5.02	4.88	4.88	5.01	3.09	SRG.MI	5.41	5.56	5.41	5.55			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
14148644	5.1	4.98	5.03	5.04	3.11	SRG.MI	5.48	5.56	5.42	5.5			0.0			0																				5.42											0.0	0.0	0.0	0.0	0.0	0.0		0.0
10434039	5.11	5.02	5.08	5.06	3.13	SRG.MI	5.65	5.68	5.59	5.63			0.0			0																			5.68												0.0	0.0	0.0	0.0	0.0	0.0		0.0
11823099	5.17	5.02	5.02	5.15	3.18	SRG.MI	5.51	5.67	5.5	5.64			0.0			0																				5.5											0.0	0.0	0.0	0.0	0.0	0.0		0.0
13865857	5.19	5.12	5.14	5.19	3.21	SRG.MI	5.66	5.71	5.63	5.71			0.0			0							5.19																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
13946692	5.23	5.06	5.19	5.11	3.15	SRG.MI	5.92	5.97	5.77	5.82			0.0			0								5.06											5.97												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15088356	5.22	5.15	5.19	5.21	3.22	SRG.MI	5.77	5.81	5.72	5.79			0.0			0																				5.72											0.0	0.0	0.0	0.0	0.0	0.0		0.0
11072849	5.24	5.18	5.21	5.23	3.23	SRG.MI	5.85	5.88	5.81	5.87			0.0			0							5.24		5.24																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
17689022	5.22	5.15	5.22	5.19	3.21	SRG.MI	6.04	6.04	5.96	6.01			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14900718	5.22	5.08	5.2	5.11	3.16	SRG.MI	6.2	6.22	6.05	6.09			0.0		1.0	0																			6.22												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12410285	5.19	5.06	5.18	5.1	3.15	SRG.MI	6.1	6.11	5.95	6.0			0.0		1.0	0																				5.95											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17693959	5.09	4.96	5.07	4.98	3.07	SRG.MI	6.1	6.12	5.96	5.99			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
24317845	5.01	4.86	4.98	4.88	3.01	SRG.MI	6.28	6.32	6.13	6.16			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
24612622	4.93	4.79	4.9	4.83	2.98	SRG.MI	6.39	6.42	6.24	6.3			0.0		1.0	0								4.79											6.42		6.42										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17253086	4.93	4.8	4.88	4.85	3.0	SRG.MI	6.05	6.12	5.96	6.02			0.0		1.0	0							4.93													5.96											0.0	0.0	0.0	0.0	0.0	0.0		0.0
23472800	4.83	4.75	4.8	4.76	2.94	SRG.MI	6.31	6.35	6.25	6.26			0.0		1.0	0								4.75		4.75		4.75							6.35												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17509238	4.85	4.77	4.82	4.84	2.99	SRG.MI	6.05	6.09	5.99	6.08			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
15029559	4.97	4.89	4.92	4.96	3.06	SRG.MI	5.99	6.05	5.95	6.03			0.0		1.0	0							4.97													5.95											0.0	0.0	0.0	0.0	0.0	0.0		0.0
12125044	4.99	4.88	4.98	4.91	3.03	SRG.MI	6.08	6.1	5.97	6.01			0.0		1.0	0								4.88											6.1												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14831188	4.96	4.89	4.93	4.94	3.05	SRG.MI	5.89	5.91	5.83	5.9			0.0		1.0	0																				5.83		5.83									0.0	0.0	0.0	0.0	0.0	0.0		0.0
13190961	5.01	4.95	4.96	4.96	3.06	SRG.MI	6.01	6.07	5.99	6.01			0.0		1.0	0							5.01																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
11265940	4.99	4.91	4.95	4.95	3.06	SRG.MI	6.07	6.12	6.02	6.07			0.0		1.0	0								4.91											6.12												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
9892339	5.04	4.97	5.0	5.02	3.1	SRG.MI	5.93	5.97	5.89	5.95			0.0		1.0	0							5.04													5.89											0.0	0.0	0.0	0.0	0.0	0.0		0.0
10397440	5.01	4.96	5.01	4.97	3.07	SRG.MI	6.05	6.06	5.99	6.01			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11665892	4.98	4.9	4.98	4.93	3.04	SRG.MI	6.18	6.18	6.08	6.11			0.0		1.0	0								4.9											6.18		6.18										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11422772	5.03	4.96	4.98	5.02	3.1	SRG.MI	6.04	6.1	6.01	6.08			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
12039338	5.08	5.0	5.05	5.02	3.1	SRG.MI	5.99	6.03	5.93	5.95			0.0		1.0	0							5.08																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
11502329	5.05	4.97	5.01	5.02	3.1	SRG.MI	5.9	5.94	5.85	5.91			0.0		1.0	0								4.97																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
11333020	5.09	5.0	5.01	5.08	3.13	SRG.MI	5.77	5.86	5.76	5.85			0.0		-1.0	0							5.09																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
14938112	5.1	5.01	5.08	5.03	3.11	SRG.MI	5.78	5.81	5.7	5.73			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12995492	5.04	4.94	5.03	4.99	3.08	SRG.MI	5.69	5.7	5.58	5.64			0.0		-1.0	0																				5.58		5.58									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12302203	5.03	4.96	5.01	4.99	3.08	SRG.MI	5.68	5.71	5.63	5.66			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
10246917	5.0	4.93	4.99	4.94	3.05	SRG.MI	5.73	5.74	5.66	5.68			0.0		-1.0	0																			5.74												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12264393	4.97	4.91	4.92	4.95	3.06	SRG.MI	5.66	5.72	5.65	5.7			0.0		-1.0	0								4.91																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
9813473	5.01	4.93	4.93	4.96	3.06	SRG.MI	5.61	5.71	5.61	5.64			0.0		-1.0	0																				5.61											0.0	0.0	0.0	0.0	0.0	0.0		0.0
22084816	5.15	4.95	4.96	5.04	3.11	SRG.MI	5.67	5.89	5.67	5.77			0.0		-1.0	0																			5.89		5.89										0.0	0.0	0.0	0.0	0.0	0.0		0.0
12908265	5.16	5.05	5.08	5.16	3.18	SRG.MI	5.55	5.63	5.52	5.63			0.0		-1.0	0																				5.52		5.52		5.52							0.0	0.0	0.0	0.0	0.0	0.0		0.0
