date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	3918843	1.79	1.7	1.76	1.71	1.0	SRS.MI	1.76	1.79	1.7	1.7						0																																
2016-01-05 08:00:00	5721348	1.73	1.63	1.71	1.67	0.98	SRS.MI	1.69	1.7	1.61	1.65						0																					1.61											
2016-01-06 08:00:00	2195330	1.69	1.63	1.68	1.68	0.99	SRS.MI	1.7	1.71	1.65	1.7						0																				1.71												
2016-01-07 08:00:00	3769231	1.64	1.57	1.62	1.63	0.96	SRS.MI	1.66	1.69	1.62	1.68						0								1.57													1.62											
2016-01-08 08:00:00	3070612	1.68	1.63	1.66	1.64	0.96	SRS.MI	1.73	1.76	1.7	1.71						0																																
2016-01-11 08:00:00	7976579	1.74	1.61	1.64	1.69	0.99	SRS.MI	1.72	1.82	1.69	1.77						0																																
2016-01-12 08:00:00	7056106	1.75	1.68	1.71	1.69	0.99	SRS.MI	1.77	1.82	1.74	1.75						0																																
2016-01-13 08:00:00	14828016	1.83	1.74	1.76	1.78	1.05	SRS.MI	1.81	1.88	1.79	1.83						0							1.83																									
2016-01-14 08:00:00	9827848	1.8	1.73	1.77	1.77	1.04	SRS.MI	1.85	1.88	1.81	1.86						0																																
2016-01-15 08:00:00	3576992	1.79	1.74	1.78	1.75	1.03	SRS.MI	1.93	1.93	1.88	1.89						0								1.74																								
2016-01-18 08:00:00	6219193	1.8	1.74	1.74	1.76	1.04	SRS.MI	1.93	2.0	1.93	1.96						0							1.8													2.0												
2016-01-19 08:00:00	5826957	1.8	1.7	1.8	1.8	1.06	SRS.MI	1.98	1.98	1.87	1.98						0																					1.87											
2016-01-20 08:00:00	4774362	1.78	1.71	1.77	1.75	1.03	SRS.MI	2.04	2.06	1.97	2.01						0								1.71		1.71										2.06												
2016-01-21 08:00:00	7030725	1.87	1.72	1.73	1.83	1.08	SRS.MI	1.92	2.07	1.9	2.03						0																					1.9											
2016-01-22 08:00:00	7015863	1.88	1.81	1.85	1.84	1.08	SRS.MI	2.01	2.05	1.97	2.0						0																																
2016-01-25 08:00:00	12101360	1.96	1.84	1.84	1.93	1.14	SRS.MI	2.05	2.18	2.05	2.15						0																				2.18												
2016-01-26 08:00:00	8252521	1.98	1.88	1.91	1.95	1.15	SRS.MI	2.09	2.17	2.06	2.14						0							1.98		1.98												2.06											
2016-01-27 08:00:00	4722494	1.96	1.9	1.96	1.95	1.15	SRS.MI	2.16	2.16	2.09	2.15						0																																
2016-01-28 08:00:00	11284225	2.0	1.85	1.96	1.9	1.12	SRS.MI	2.23	2.27	2.11	2.16						0																		2.0		2.27												
2016-01-29 08:00:00	6262440	1.93	1.85	1.93	1.92	1.13	SRS.MI	2.15	2.15	2.06	2.13						0								1.85													2.06											
2016-02-01 08:00:00	4801101	1.96	1.9	1.94	1.94	1.14	SRS.MI	2.18	2.19	2.13	2.18						0							1.96																									
2016-02-02 08:00:00	5323766	1.98	1.86	1.92	1.89	1.11	SRS.MI	2.22	2.29	2.15	2.19					1.0	0																																
2016-02-03 08:00:00	3858115	1.91	1.83	1.89	1.86	1.09	SRS.MI	2.26	2.28	2.18	2.21					1.0	0																				2.28		2.28										
2016-02-04 08:00:00	4655443	1.9	1.74	1.89	1.75	1.03	SRS.MI	2.22	2.23	2.04	2.06					1.0	0																																
2016-02-05 08:00:00	9324859	1.75	1.62	1.74	1.63	0.96	SRS.MI	2.09	2.1	1.95	1.96					1.0	0																																
2016-02-08 08:00:00	14442755	1.65	1.4	1.65	1.45	0.85	SRS.MI	2.08	2.08	1.77	1.83					1.0	0																																
