volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
3378741	11.05	10.64	10.87	10.8	8.3	TEN.MI	10.87	11.05	10.64	10.8			0.0			0																																						
3019336	11.02	10.7	10.94	10.82	8.32	TEN.MI	10.81	10.89	10.57	10.69			0.0			0							11.02																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
4969669	10.85	10.26	10.84	10.56	8.12	TEN.MI	11.01	11.02	10.42	10.72			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5288747	10.34	9.7	10.21	10.26	7.89	TEN.MI	10.49	10.62	9.96	10.54			0.0			0																				9.96											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5358044	10.28	9.87	10.22	9.87	7.59	TEN.MI	10.66	10.73	10.3	10.3			0.0			0																			10.73												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4904955	10.09	9.76	9.85	9.76	7.5	TEN.MI	10.33	10.59	10.24	10.24			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6381481	10.08	9.57	9.71	9.71	7.46	TEN.MI	10.08	10.47	9.94	10.08			0.0			0								9.57																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5053057	10.04	9.68	9.76	9.77	7.51	TEN.MI	10.05	10.34	9.97	10.06			0.0			0							10.04																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
7417260	9.85	9.43	9.59	9.7	7.46	TEN.MI	10.04	10.31	9.87	10.16			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7232543	9.67	9.04	9.6	9.09	6.99	TEN.MI	10.37	10.44	9.76	9.82			0.0			0																				9.76											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5991367	9.3	8.88	9.18	9.01	6.93	TEN.MI	10.19	10.32	9.85	10.0			0.0			0								8.88																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7136880	9.39	9.11	9.23	9.3	7.15	TEN.MI	10.13	10.31	10.0	10.21			0.0			0							9.39																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
5471425	9.03	8.65	9.02	8.77	6.74	TEN.MI	10.4	10.43	9.98	10.12			0.0			0								8.65		8.65									10.43												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6613519	9.15	8.66	8.82	9.1	7.0	TEN.MI	9.77	10.13	9.59	10.08			0.0			0																				9.59		9.59						9.59			0.0	0.0	0.0	0.0	0.0	0.0		0.0
6866608	9.52	9.27	9.34	9.34	7.18	TEN.MI	10.17	10.37	10.11	10.17			0.0			0							9.52																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
4844882	9.41	9.07	9.41	9.1	7.0	TEN.MI	10.47	10.47	10.09	10.12			0.0			0																			10.47												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5568287	9.32	8.78	8.92	9.3	7.15	TEN.MI	9.77	10.21	9.63	10.19			0.0			0								8.78												9.63											0.0	0.0	0.0	0.0	0.0	0.0		0.0
4883266	9.45	9.15	9.32	9.45	7.26	TEN.MI	10.26	10.4	10.07	10.4			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
7226566	9.81	9.19	9.36	9.48	7.29	TEN.MI	10.67	11.18	10.48	10.81			0.0			0							9.81		9.81										11.18												0.0	0.0	0.0	0.0	0.0	0.0		0.0
6973221	9.69	9.3	9.69	9.48	7.29	TEN.MI	10.77	10.77	10.33	10.54			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
4978938	9.6	9.18	9.57	9.36	7.2	TEN.MI	10.73	10.77	10.29	10.5			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5211393	9.41	8.88	9.36	8.9	6.85	TEN.MI	10.83	10.89	10.27	10.3			0.0			0																				10.27											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6881402	9.05	8.61	8.95	8.94	6.87	TEN.MI	10.66	10.78	10.26	10.64			0.0			0								8.61																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
7204689	9.63	9.12	9.19	9.48	7.29	TEN.MI	10.82	11.33	10.73	11.15			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
7995625	9.81	9.34	9.36	9.65	7.42	TEN.MI	11.26	11.79	11.22	11.6			0.0		1.0	0							9.81																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
5429404	9.89	9.31	9.76	9.36	7.2	TEN.MI	12.31	12.47	11.73	11.81			0.0		1.0	0																			12.47		12.47										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5885648	9.44	8.77	9.36	8.82	6.78	TEN.MI	12.2	12.3	11.43	11.5			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5837225	9.1	8.7	8.9	8.9	6.85	TEN.MI	11.04	11.29	10.8	11.05			0.0		1.0	0																				10.8											0.0	0.0	0.0	0.0	0.0	0.0		0.0
7115119	8.88	8.53	8.8	8.64	6.64	TEN.MI	11.57	11.67	11.21	11.36			0.0		1.0	0								8.53		8.53		8.53				8.53															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6378555	9.33	8.81	8.9	9.33	7.17	TEN.MI	11.17	11.71	11.07	11.71			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
4083610	9.66	9.31	9.46	9.54	7.33	TEN.MI	11.51	11.75	11.33	11.61			0.0		1.0	0							9.66												11.75												0.0	0.0	0.0	0.0	0.0	0.0		0.0
5734333	9.81	9.16	9.73	9.24	7.11	TEN.MI	11.9	11.99	11.21	11.3			0.0		1.0	0								9.16												11.21											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5149868	9.85	9.27	9.32	9.81	7.54	TEN.MI	11.12	11.75	11.06	11.7			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
4721711	9.95	9.62	9.8	9.69	7.44	TEN.MI	11.87	12.06	11.66	11.73			0.0		1.0	0							9.95		9.95										12.06												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5641150	9.7	9.3	9.56	9.37	7.2	TEN.MI	11.72	11.89	11.4	11.49			0.0		1.0	0								9.3																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3599239	9.8	9.38	9.48	9.77	7.51	TEN.MI	11.23	11.6	11.11	11.57			0.0		1.0	0							9.8													11.11											0.0	0.0	0.0	0.0	0.0	0.0		0.0
3547220	9.72	9.41	9.68	9.41	7.23	TEN.MI	11.69	11.74	11.37	11.37			0.0		1.0	0																			11.74												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6028305	9.28	8.79	9.27	8.98	6.9	TEN.MI	11.49	11.51	10.9	11.13			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
9876455	9.33	8.6	8.84	8.99	6.91	TEN.MI	10.72	11.31	10.42	10.9			0.0		1.0	0								8.6		8.6										10.42		10.42									0.0	0.0	0.0	0.0	0.0	0.0		0.0
8157733	9.86	9.18	9.23	9.83	7.56	TEN.MI	10.94	11.69	10.89	11.66			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
6403607	10.1	9.69	9.77	10.05	7.73	TEN.MI	11.5	11.88	11.39	11.82			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
4676138	10.36	10.02	10.02	10.29	7.91	TEN.MI	11.53	11.93	11.53	11.85			0.0		1.0	0							10.36												11.93												0.0	0.0	0.0	0.0	0.0	0.0		0.0
5500424	10.24	9.91	10.18	10.22	7.86	TEN.MI	11.59	11.66	11.29	11.64			0.0		1.0	0								9.91												11.29											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4626863	10.53	10.2	10.22	10.44	8.03	TEN.MI	11.55	11.9	11.53	11.8			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
5392112	10.89	10.42	10.5	10.86	8.35	TEN.MI	11.91	12.35	11.82	12.32			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
5850323	11.01	10.69	10.82	10.98	8.44	TEN.MI	12.42	12.64	12.27	12.61			0.0		1.0	0							11.01		11.01		11.01								12.64												0.0	0.0	0.0	0.0	0.0	0.0		0.0
5496630	10.97	10.47	10.94	10.58	8.13	TEN.MI	12.59	12.62	12.05	12.17			0.0		1.0	0								10.47																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4192407	10.82	10.51	10.51	10.78	8.29	TEN.MI	11.97	12.32	11.97	12.27			0.0		1.0	0							10.82																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
5149089	10.96	10.41	10.78	10.41	8.0	TEN.MI	12.34	12.54	11.91	11.91			0.0		1.0	0								10.41		10.41																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3591628	10.88	10.64	10.64	10.78	8.29	TEN.MI	11.62	11.88	11.62	11.77			0.0		1.0	0							10.88																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
3122051	10.95	10.62	10.81	10.73	8.25	TEN.MI	11.81	11.96	11.6	11.72			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2568782	10.76	10.53	10.66	10.61	8.16	TEN.MI	11.78	11.89	11.63	11.72			0.0		1.0	0								10.53												11.63											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3248241	10.78	10.55	10.66	10.73	8.25	TEN.MI	11.8	11.93	11.68	11.88			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
3853545	10.94	10.7	10.86	10.92	8.39	TEN.MI	12.1	12.19	11.92	12.17			0.0		1.0	0							10.94		10.94										12.19												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3842149	10.96	10.72	10.94	10.72	8.24	TEN.MI	12.19	12.21	11.94	11.94			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2563692	10.8	10.51	10.63	10.67	8.2	TEN.MI	11.79	11.98	11.66	11.83			0.0		1.0	0								10.51												11.66											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3522647	10.92	10.56	10.58	10.91	8.39	TEN.MI	11.73	12.11	11.71	12.1			0.0		1.0	0							10.92																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
2799506	10.91	10.65	10.88	10.73	8.25	TEN.MI	12.22	12.25	11.96	12.05			0.0		1.0	0																			12.25												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
