volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
84630790	1.17	1.12	1.17	1.13	1.07	TIT.MI	1.17	1.17	1.12	1.13			0.0			0																		1.17																				
67791490	1.15	1.13	1.14	1.14	1.09	TIT.MI	1.12	1.14	1.12	1.13			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
90695107	1.15	1.11	1.14	1.11	1.05	TIT.MI	1.16	1.16	1.12	1.12			0.0			0																					1.12										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
109247197	1.12	1.07	1.09	1.11	1.06	TIT.MI	1.12	1.15	1.1	1.14			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
81033983	1.13	1.08	1.11	1.08	1.02	TIT.MI	1.16	1.18	1.12	1.12			0.0			0																				1.18											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
64404898	1.11	1.07	1.08	1.07	1.02	TIT.MI	1.14	1.16	1.13	1.13			0.0			0								1.07																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
71758162	1.1	1.07	1.08	1.08	1.02	TIT.MI	1.12	1.15	1.12	1.12			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
82576201	1.11	1.07	1.09	1.08	1.02	TIT.MI	1.12	1.14	1.11	1.11			0.0			0							1.11																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
109705222	1.07	1.03	1.07	1.06	1.01	TIT.MI	1.12	1.12	1.08	1.11			0.0			0																					1.08		1.08								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
132529509	1.06	1.0	1.05	1.0	0.95	TIT.MI	1.14	1.14	1.08	1.08			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
100042698	1.03	1.0	1.0	1.0	0.95	TIT.MI	1.11	1.14	1.11	1.11			0.0			0								1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
88162573	1.05	1.02	1.02	1.05	1.0	TIT.MI	1.12	1.15	1.12	1.15			0.0			0							1.05																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
124654333	1.03	0.97	1.03	0.98	0.93	TIT.MI	1.18	1.19	1.12	1.13			0.0			0								0.97		0.97										1.19		1.19									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
165261590	1.03	0.98	0.98	1.03	0.98	TIT.MI	1.09	1.14	1.09	1.14			0.0			0																					1.09										0.0	0.0	0.0	0.0	0.0	0.0		0.0
111448016	1.08	1.03	1.04	1.06	1.01	TIT.MI	1.14	1.17	1.12	1.15			0.0			0							1.08		1.08											1.17											0.0	0.0	0.0	0.0	0.0	0.0		0.0
66484522	1.06	1.02	1.06	1.03	0.98	TIT.MI	1.18	1.18	1.13	1.14			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
107584381	1.03	1.0	1.01	1.02	0.98	TIT.MI	1.11	1.13	1.09	1.12			0.0			0								1.0													1.09										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
65913533	1.05	1.01	1.02	1.04	0.99	TIT.MI	1.13	1.15	1.11	1.14			0.0			0							1.05																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
211078311	1.04	0.97	1.03	0.98	0.93	TIT.MI	1.17	1.18	1.11	1.11			0.0			0								0.97												1.18											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
94156327	1.02	0.99	1.0	1.02	0.97	TIT.MI	1.11	1.14	1.1	1.14			0.0			0							1.02																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
73633341	1.01	0.99	1.01	0.99	0.95	TIT.MI	1.13	1.13	1.11	1.11			0.0			0																					1.11										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
104045400	1.0	0.96	1.0	0.97	0.92	TIT.MI	1.15	1.16	1.11	1.12			0.0			0																				1.16											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
130347912	0.97	0.94	0.97	0.94	0.9	TIT.MI	1.16	1.16	1.11	1.12			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
129800515	0.97	0.92	0.96	0.93	0.88	TIT.MI	1.13	1.14	1.08	1.09			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
165466871	0.94	0.89	0.92	0.89	0.85	TIT.MI	1.11	1.13	1.07	1.07			0.0		-1.0	0																					1.07										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
