volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
38971	5.72	5.6	5.7	5.63	5.63	TSL.MI	5.7	5.72	5.6	5.63			0.0			0																																								
22358	5.67	5.57	5.64	5.57	5.57	TSL.MI	5.57	5.6	5.5	5.5			0.0			0																					5.5												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
35830	5.6	5.4	5.6	5.49	5.49	TSL.MI	5.69	5.69	5.48	5.57			0.0			0																				5.69													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
105088	5.54	5.3	5.44	5.34	5.34	TSL.MI	5.59	5.69	5.44	5.48			0.0			0																					5.44												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
26266	5.44	5.32	5.33	5.32	5.32	TSL.MI	5.56	5.68	5.55	5.55			0.0			0																				5.68													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
34105	5.35	5.21	5.35	5.23	5.23	TSL.MI	5.61	5.61	5.47	5.49			0.0			0								5.21																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
26678	5.33	5.21	5.23	5.26	5.26	TSL.MI	5.43	5.53	5.41	5.46			0.0			0																					5.41												0.0	0.0	0.0	0.0	0.0	0.0		0.0
53062	5.43	5.26	5.26	5.34	5.34	TSL.MI	5.42	5.59	5.42	5.5			0.0			0							5.43													5.59													0.0	0.0	0.0	0.0	0.0	0.0		0.0
109830	5.3	4.88	5.3	5.16	5.16	TSL.MI	5.55	5.55	5.11	5.4			0.0			0																					5.11												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
56235	5.15	5.0	5.1	5.07	5.07	TSL.MI	5.51	5.56	5.4	5.48			0.0			0																				5.56													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
92636	5.0	4.78	4.93	4.9	4.9	TSL.MI	5.47	5.55	5.3	5.44			0.0			0								4.78																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
71614	5.05	4.83	4.97	4.84	4.84	TSL.MI	5.46	5.55	5.3	5.32			0.0			0							5.05																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
187222	4.72	4.3	4.7	4.36	4.36	TSL.MI	5.42	5.45	4.96	5.03			0.0			0								4.3		4.3																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
136633	4.65	4.39	4.42	4.57	4.57	TSL.MI	4.89	5.15	4.86	5.06			0.0			0																					4.86		4.86										0.0	0.0	0.0	0.0	0.0	0.0		0.0
111235	4.78	4.55	4.69	4.75	4.75	TSL.MI	5.11	5.21	4.96	5.18			0.0			0							4.78																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
72096	4.8	4.6	4.8	4.63	4.63	TSL.MI	5.34	5.34	5.12	5.15			0.0			0								4.6												5.34													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
54540	4.92	4.48	4.92	4.78	4.78	TSL.MI	5.39	5.39	4.91	5.24			0.0			0																					4.91												0.0	0.0	0.0	0.0	0.0	0.0		0.0
31704	4.84	4.64	4.77	4.74	4.74	TSL.MI	5.25	5.32	5.1	5.21			0.0			0							4.84		4.84																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
29326	4.77	4.55	4.66	4.55	4.55	TSL.MI	5.31	5.44	5.19	5.19			0.0			0								4.55												5.44		5.44											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
36189	4.73	4.55	4.73	4.62	4.62	TSL.MI	5.26	5.26	5.06	5.13			0.0			0							4.73														5.06												0.0	0.0	0.0	0.0	0.0	0.0		0.0
31777	4.7	4.56	4.7	4.57	4.57	TSL.MI	5.27	5.27	5.11	5.13			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
39404	4.57	4.44	4.53	4.54	4.54	TSL.MI	5.24	5.29	5.14	5.25			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
70851	4.52	4.29	4.46	4.42	4.42	TSL.MI	5.31	5.38	5.11	5.26			0.0			0								4.29												5.38													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
42927	4.5	4.31	4.42	4.5	4.5	TSL.MI	5.2	5.29	5.07	5.29			0.0			0																					5.07												0.0	0.0	0.0	0.0	0.0	0.0		0.0
72026	4.6	4.37	4.5	4.56	4.56	TSL.MI	5.41	5.53	5.25	5.48			0.0			0							4.6													5.53													0.0	0.0	0.0	0.0	0.0	0.0		0.0
83780	4.65	4.11	4.56	4.12	4.12	TSL.MI	5.75	5.86	5.18	5.2			0.0		1.0	0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
159035	4.15	3.82	4.06	3.87	3.87	TSL.MI	5.29	5.41	4.98	5.04			0.0		1.0	0								3.82																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
143624	4.08	3.85	3.85	3.96	3.96	TSL.MI	4.78	5.06	4.78	4.91			0.0		-1.0	0							4.08														4.78		4.78		4.78								0.0	0.0	0.0	0.0	0.0	0.0		0.0
87585	3.95	3.7	3.95	3.78	3.78	TSL.MI	5.19	5.19	4.86	4.97			0.0		-1.0	0								3.7		3.7																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
139110	4.16	3.72	3.79	4.16	4.16	TSL.MI	4.76	5.22	4.67	5.22			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
84910	4.48	4.15	4.15	4.38	4.38	TSL.MI	5.05	5.45	5.05	5.33			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
73494	4.59	4.35	4.35	4.46	4.46	TSL.MI	5.32	5.61	5.32	5.45			0.0		-1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
130895	5.2	4.44	4.5	5.2	5.2	TSL.MI	5.37	6.2	5.3	6.2			0.0		1.0	0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
172947	5.4	4.75	5.21	5.0	5.0	TSL.MI	6.31	6.54	5.76	6.06			0.0		1.0	0							5.4		5.4			4.75																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
76630	5.17	4.92	5.0	4.93	4.93	TSL.MI	6.13	6.34	6.03	6.04			0.0		1.0	0								4.92												6.34													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
37904	5.18	4.97	4.98	5.06	5.06	TSL.MI	5.9	6.14	5.89	5.99			0.0		1.0	0							5.18														5.89												0.0	0.0	0.0	0.0	0.0	0.0		0.0
