volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
582058	2.98	2.6	2.7	2.72	2.72	U24.MI	2.7	2.98	2.6	2.72			0.0			0																2.98											2.98									
343247	2.8	2.54	2.78	2.57	2.57	U24.MI	2.78	2.81	2.54	2.57			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
59876	2.57	2.45	2.54	2.48	2.48	U24.MI	2.52	2.55	2.43	2.46			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
57091	2.48	2.46	2.48	2.46	2.46	U24.MI	2.45	2.45	2.43	2.43			0.0			0								2.46											2.43										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
20887	2.56	2.44	2.51	2.44	2.44	U24.MI	2.49	2.53	2.42	2.42			0.0			0							2.56											2.53											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12532	2.49	2.43	2.43	2.44	2.44	U24.MI	2.42	2.49	2.42	2.44			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
27153	2.47	2.36	2.44	2.47	2.47	U24.MI	2.44	2.47	2.36	2.47			0.0			0																			2.36										0.0	0.0	0.0	0.0	0.0	0.0		0.0
32027	2.48	2.34	2.47	2.37	2.37	U24.MI	2.53	2.54	2.4	2.42			0.0			0								2.34																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
31330	2.46	2.34	2.35	2.41	2.41	U24.MI	2.41	2.52	2.39	2.47			0.0			0							2.46											2.52											0.0	0.0	0.0	0.0	0.0	0.0		0.0
20191	2.38	2.3	2.36	2.33	2.33	U24.MI	2.39	2.41	2.32	2.36			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
42470	2.34	2.25	2.28	2.28	2.28	U24.MI	2.31	2.38	2.28	2.31			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
22976	2.35	2.25	2.35	2.26	2.26	U24.MI	2.36	2.36	2.26	2.27			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
54306	2.33	2.24	2.26	2.24	2.24	U24.MI	2.3	2.37	2.27	2.27			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
70320	2.19	2.1	2.19	2.13	2.13	U24.MI	2.2	2.2	2.11	2.14			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13924	2.16	2.07	2.16	2.07	2.07	U24.MI	2.17	2.17	2.08	2.08			0.0			0								2.07																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
9747	2.12	2.06	2.1	2.12	2.12	U24.MI	2.09	2.11	2.05	2.11			0.0			0																			2.05										0.0	0.0	0.0	0.0	0.0	0.0		0.0
41774	2.3	2.1	2.1	2.27	2.27	U24.MI	2.09	2.3	2.09	2.26			0.0			0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
52218	2.41	2.21	2.3	2.38	2.38	U24.MI	2.28	2.38	2.18	2.35			0.0			0							2.41											2.38											0.0	0.0	0.0	0.0	0.0	0.0		0.0
10443	2.36	2.28	2.36	2.29	2.29	U24.MI	2.32	2.32	2.25	2.26			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11836	2.33	2.23	2.31	2.23	2.23	U24.MI	2.28	2.29	2.2	2.2			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15317	2.22	2.16	2.22	2.17	2.17	U24.MI	2.18	2.18	2.12	2.13			0.0			0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
26457	2.21	2.09	2.21	2.1	2.1	U24.MI	2.14	2.14	2.03	2.04			0.0		-1.0	0								2.09											2.03										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2784	2.22	2.18	2.18	2.19	2.19	U24.MI	2.13	2.16	2.13	2.14			0.0		-1.0	0							2.22											2.16											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1392	2.15	2.15	2.15	2.15	2.15	U24.MI	2.11	2.11	2.11	2.11			0.0		-1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
