volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
10625769	25.35	24.83	25.3	24.97	19.43	UCG.MI	25.3	25.35	24.83	24.97			0.0			0																		25.35												25.35									
7335513	25.25	24.84	25.25	25.13	19.55	UCG.MI	24.95	24.95	24.55	24.83			0.0			0							25.25																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
13823273	24.94	23.85	24.9	24.11	18.76	UCG.MI	25.28	25.32	24.21	24.48			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
22822774	23.74	22.22	23.38	23.5	18.28	UCG.MI	24.01	24.38	22.82	24.13			0.0			0								22.22													22.82											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14040029	24.17	23.42	23.61	23.42	18.22	UCG.MI	24.64	25.22	24.44	24.44			0.0			0							24.17																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11163478	23.99	23.31	23.37	23.45	18.24	UCG.MI	24.52	25.18	24.46	24.61			0.0			0																				25.18												0.0	0.0	0.0	0.0	0.0	0.0		0.0
12583719	23.64	22.93	23.48	23.22	18.06	UCG.MI	24.38	24.54	23.8	24.11			0.0			0								22.93																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12552848	23.8	23.13	23.4	23.27	18.1	UCG.MI	24.09	24.5	23.81	23.95			0.0			0							23.8																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
17364663	23.06	22.32	22.91	22.62	17.6	UCG.MI	23.98	24.14	23.37	23.68			0.0			0																					23.37											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23714202	22.48	21.75	22.45	22.04	17.14	UCG.MI	24.24	24.28	23.5	23.8			0.0			0																				24.28												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
18044059	22.23	20.81	22.0	20.85	16.22	UCG.MI	24.4	24.66	23.09	23.14			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
24482061	21.38	19.45	21.22	20.13	15.66	UCG.MI	23.31	23.48	21.36	22.11			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
28843444	19.4	18.57	19.15	18.57	14.45	UCG.MI	22.1	22.39	21.43	21.43			0.0			0								18.57													21.43											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33902904	20.51	18.44	18.64	20.04	15.59	UCG.MI	20.64	22.72	20.42	22.19			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
21579388	20.74	19.82	20.63	20.01	15.57	UCG.MI	22.48	22.6	21.6	21.81			0.0			0							20.74													22.6												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17019577	20.21	18.65	20.21	18.73	14.57	UCG.MI	22.48	22.48	20.74	20.83			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21986145	19.51	18.09	18.23	19.47	15.15	UCG.MI	19.97	21.38	19.82	21.33			0.0			0								18.09													19.82											0.0	0.0	0.0	0.0	0.0	0.0		0.0
18888939	19.82	18.44	19.73	18.88	14.69	UCG.MI	21.7	21.8	20.28	20.77			0.0			0							19.82													21.8												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23201989	19.21	17.45	18.83	17.66	13.74	UCG.MI	21.46	21.9	19.89	20.13			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
18615291	18.25	17.5	18.04	17.78	13.83	UCG.MI	20.05	20.28	19.44	19.76			0.0		-1.0	0																					19.44											0.0	0.0	0.0	0.0	0.0	0.0		0.0
17231675	18.4	17.24	17.86	17.63	13.71	UCG.MI	20.03	20.64	19.33	19.77			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14657258	17.66	16.94	17.54	17.06	13.27	UCG.MI	20.29	20.43	19.6	19.73			0.0		-1.0	0																				20.43												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23183154	17.15	15.78	17.03	16.04	12.48	UCG.MI	20.27	20.42	18.79	19.1			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21918756	16.53	15.3	16.35	16.18	12.59	UCG.MI	19.24	19.45	18.0	19.04			0.0		-1.0	0								15.3													18.0											0.0	0.0	0.0	0.0	0.0	0.0		0.0
