volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
159000	1.75	1.49	1.67	1.5	1.49	UD.MI	1.67	1.76	1.49	1.5			0.0			0																														1.76									
78000	1.55	1.42	1.54	1.46	1.45	UD.MI	1.51	1.52	1.39	1.43			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
240000	1.48	1.38	1.46	1.48	1.47	UD.MI	1.4	1.42	1.33	1.42			0.0			0								1.38									1.38				1.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
88000	1.62	1.5	1.55	1.53	1.52	UD.MI	1.51	1.58	1.46	1.49			0.0			0							1.62													1.58												0.0	0.0	0.0	0.0	0.0	0.0		0.0
55000	1.59	1.48	1.55	1.57	1.55	UD.MI	1.38	1.42	1.32	1.4			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
61000	1.55	1.46	1.55	1.54	1.53	UD.MI	1.36	1.36	1.28	1.35			0.0			0								1.46													1.28		1.28									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
19000	1.56	1.5	1.5	1.56	1.55	UD.MI	1.31	1.36	1.3	1.36			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
13000	1.59	1.5	1.59	1.58	1.57	UD.MI	1.42	1.42	1.35	1.42			0.0			0							1.59													1.42												0.0	0.0	0.0	0.0	0.0	0.0		0.0
17000	1.58	1.5	1.53	1.56	1.55	UD.MI	1.37	1.42	1.34	1.4			0.0			0								1.5													1.34											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16000	1.6	1.56	1.6	1.59	1.57	UD.MI	1.41	1.41	1.38	1.41			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	1.59	1.59	1.59	1.59	1.58	UD.MI	1.45	1.45	1.45	1.45			0.0			0							1.59													1.45												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	1.58	1.58	1.58	1.58	1.57	UD.MI	1.42	1.42	1.42	1.42			0.0			0								1.58													1.42											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1000	1.59	1.59	1.59	1.59	1.58	UD.MI	1.47	1.47	1.47	1.47			0.0			0																				1.47												0.0	0.0	0.0	0.0	0.0	0.0		0.0
31000	1.67	1.59	1.59	1.67	1.66	UD.MI	1.41	1.48	1.41	1.48			0.0			0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
28000	1.7	1.64	1.67	1.68	1.67	UD.MI	1.45	1.48	1.42	1.46			0.0			0																					1.42											0.0	0.0	0.0	0.0	0.0	0.0		0.0
14000	1.74	1.69	1.7	1.69	1.68	UD.MI	1.48	1.51	1.47	1.47			0.0			0																				1.51												0.0	0.0	0.0	0.0	0.0	0.0		0.0
36000	1.78	1.63	1.69	1.7	1.69	UD.MI	1.45	1.53	1.4	1.46			0.0			0																					1.4											0.0	0.0	0.0	0.0	0.0	0.0		0.0
18000	1.75	1.7	1.75	1.7	1.69	UD.MI	1.5	1.51	1.46	1.46			0.0			0							1.75																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
17000	1.68	1.62	1.66	1.67	1.66	UD.MI	1.5	1.52	1.47	1.51			0.0			0								1.62																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
29000	1.8	1.68	1.68	1.68	1.67	UD.MI	1.51	1.62	1.51	1.51			0.0			0							1.8		1.8											1.62		1.62										0.0	0.0	0.0	0.0	0.0	0.0		0.0
30000	1.66	1.6	1.66	1.64	1.63	UD.MI	1.47	1.47	1.42	1.46			0.0			0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
43000	1.64	1.61	1.62	1.62	1.61	UD.MI	1.44	1.45	1.42	1.44			0.0			0																					1.42											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2000	1.6	1.6	1.6	1.6	1.59	UD.MI	1.47	1.47	1.47	1.47			0.0			0								1.6												1.47												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
22000	1.63	1.6	1.6	1.61	1.6	UD.MI	1.44	1.47	1.44	1.45			0.0			0							1.63																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	1.6	1.59	1.59	1.6	1.59	UD.MI	1.41	1.42	1.41	1.42			0.0			0								1.59													1.41											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3000	1.62	1.6	1.62	1.6	1.59	UD.MI	1.45	1.45	1.43	1.43			0.0			0							1.62													1.45												0.0	0.0	0.0	0.0	0.0	0.0		0.0
