"rrg"	"ticker"	"sector"	"name"	"marginabile"	"last_day_score"	"last_day_volume"	"date_last_swing"	"lo3"	"date_last_change"
"1"	1	"IEG.MI"	"Commercial Services"	"ITALIAN EXHIBITION GROUP"	NA	4	21082	"2023-06-15 07:00:00"	2.39	"2024-06-25 07:00:00"
"2"	1	"GPI.MI"	"Commercial Services"	"GPI"	NA	4	129605	"2023-10-30 08:00:00"	7.21	"2024-06-24 07:00:00"
"3"	1	"IF.MI"	"Finance"	"BANCA IFIS"	NA	4	99724	"2024-06-14 07:00:00"	18.53	"2024-06-24 07:00:00"
"4"	1	"SGF.MI"	"Producer Manufacturing"	"SOGEFI"	NA	4	583885	"2024-02-02 08:00:00"	1.8	"2024-06-19 07:00:00"
"5"	1	"DHH.MI"	"Technology Services"	"DHH"	NA	4	2193	"2024-01-25 08:00:00"	13.7	"2024-06-17 07:00:00"
"6"	1	"TXT.MI"	"Technology Services"	"TXT E-SOLUTIONS"	NA	4	18793	"2023-10-17 07:00:00"	14.2	"2024-06-13 07:00:00"
"7"	1	"DBA.MI"	"Industrial Services"	"DBA GROUP"	NA	4	300	"2023-10-26 07:00:00"	1.63	"2024-05-08 07:00:00"
"8"	1	"GTH.MI"	"Industrial Services"	"GREENTHESIS"	NA	4	14500	"2024-04-02 07:00:00"	0.89	"2024-04-17 07:00:00"
"9"	1	"CALT.MI"	"Non-Energy Minerals"	"CALTAGIRONE"	NA	4	3349	"2023-09-19 07:00:00"	3.7	"2022-05-03 07:00:00"
"10"	1	"NOV.DE"	NA	NA	NA	4	99829	"2023-12-12 08:00:00"	87.19	NA
"11"	1	"LLY.DE"	NA	NA	NA	4	2565	"2024-04-25 07:00:00"	671	NA
"12"	1	"IVS.MI"	"Retail Trade"	"IVS GROUP"	NA	3	2289	"2023-11-13 08:00:00"	5.02	"2024-06-25 07:00:00"
"13"	1	"BMED.MI"	"Finance"	"BANCA MEDIOLANUM"	"si"	3	961164	"2023-10-26 07:00:00"	7.5	"2024-06-13 07:00:00"
"14"	1	"OVS.MI"	"Retail Trade"	"OVS"	"si"	3	1042547	"2024-04-17 07:00:00"	2.14	"2024-06-05 07:00:00"
"15"	1	"DAN.MI"	"Producer Manufacturing"	"DANIELI & C"	"si"	3	48460	"2023-07-11 07:00:00"	20.5	"2024-06-05 07:00:00"
"16"	1	"SOL.MI"	"Process Industries"	"SOL"	NA	3	20025	"2024-05-24 07:00:00"	30.3	"2024-06-03 07:00:00"
"17"	1	"MB.MI"	"Finance"	"MEDIOBANCA"	"si"	3	1958435	"2023-12-05 08:00:00"	10.65	"2024-05-15 07:00:00"
"18"	1	"LDO.MI"	"Electronic Technology"	"LEONARDO"	"si"	3	1678591	"2023-06-07 07:00:00"	9.9	"2024-05-10 07:00:00"
"19"	1	"MOL.MI"	"Commercial Services"	"MUTUIONLINE"	NA	3	3008	"2024-06-07 07:00:00"	33.5	"2024-05-08 07:00:00"
"20"	1	"BZU.MI"	"Non-Energy Minerals"	"BUZZI"	NA	3	319045	"2024-02-15 08:00:00"	30.28	"2024-05-07 07:00:00"
