"rrg"	"ticker"	"name"	"date"	"rclose"	"RSI"
-1	"A2A.MI"	"A2A"	2025-09-22	1.05	71.4285714285714
-1	"ABC.MI"	"ABC COMPANY"	2025-09-22	1.72	64.2857142857143
-1	"ABT.MI"	"ABITARE IN"	2025-09-22	1.2	50
-1	"ABTG.MI"	"ALFIO BARDOLLA"	2025-09-22	1.01	64.2857142857143
-1	"AC5.MI"	"ACINQUE"	2025-09-22	1.09	78.5714285714286
-1	"ADB.MI"	"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA"	2025-09-22	4.45	50
-1	"AEDES.MI"	"AEDES"	2025-09-22	0.1	100
-1	"AEF.MI"	"AEFFE"	2025-09-22	0.22	71.4285714285714
-1	"AIM.MI"	"4AIM SICAF"	2025-09-22	20.56	50
-1	"ALA.MI"	"ALA"	2025-09-22	20.53	42.8571428571429
-1	"AMB.MI"	"AMBROMOBILIARE"	2025-09-22	0.48	57.1428571428571
-1	"AMP.MI"	"AMPLIFON"	2025-09-22	7.18	28.5714285714286
-1	"ANIM.MI"	"ANIMA HOLDING"	2025-09-22	3.03	64.2857142857143
-1	"ATON.MI"	"ATON GREEN STORAGE"	2025-09-22	1.22	50
-1	"BAN.MI"	"BASICNET"	2025-09-22	3.5	50
-1	"BC.MI"	"BRUNELLO CUCINELLI"	2025-09-22	50.62	42.8571428571429
-1	"BDB.MI"	"BCO DESIO BRIANZA"	2025-09-22	3.78	71.4285714285714
-1	"BEC.MI"	"B&C SPEAKERS"	2025-09-22	7.84	35.7142857142857
-1	"BES.MI"	"BESTBE HOLDING"	2025-09-22	0.03	92.8571428571429
-1	"BFF.MI"	"BFF BANK"	2025-09-22	5.39	57.1428571428571
-1	"BFG.MI"	"B.F"	2025-09-22	2.22	50
-1	"BGN.MI"	"BANCA GENERALI"	2025-09-22	23.83	42.8571428571429
-1	"BO.MI"	"BORGOSESIA"	2025-09-22	0.29	85.7142857142857
-1	"BRE.MI"	"BREMBO"	2025-09-22	4.5	35.7142857142857
-1	"BSS.MI"	"BIESSE"	2025-09-22	3.64	50
-1	"BST.MI"	"BANCA SISTEMA"	2025-09-22	0.77	50
-1	"BZU.MI"	"BUZZI"	2025-09-22	23.62	64.2857142857143
-1	"CAI.MI"	"CAIRO COMMUNICATION"	2025-09-22	1.41	71.4285714285714
-1	"CBB.MI"	"CLEANBNB"	2025-09-22	0.61	64.2857142857143
-1	"CDG.MI"	"CASTA DIVA GROUP"	2025-09-22	0.68	78.5714285714286
-1	"CE.MI"	"CREDEM"	2025-09-22	6.67	57.1428571428571
-1	"CEM.MI"	"CEMENTIR HOLDING"	2025-09-22	6.89	50
-1	"CFV.MI"	"CONFINVEST"	2025-09-22	1.01	57.1428571428571
-1	"CIR.MI"	"CIR"	2025-09-22	0.32	78.5714285714286
-1	"CIRC.MI"	"CIRCLE"	2025-09-22	3.53	57.1428571428571
-1	"CLE.MI"	"CLASS EDITORI"	2025-09-22	0.08	78.5714285714286
-1	"CLF.MI"	"CALEFFI"	2025-09-22	0.37	71.4285714285714
-1	"COP.MI"	"COPERNICO"	2025-09-22	3.94	42.8571428571429
-1	"CPR.MI"	"CAMPARI"	2025-09-22	2.74	21.4285714285714
-1	"CSP.MI"	"CSP INT IND CALZE"	2025-09-22	0.15	92.8571428571429
-1	"CYB.MI"	"CYBEROO"	2025-09-22	0.95	57.1428571428571
-1	"DAL.MI"	"DATALOGIC"	2025-09-22	2.32	57.1428571428571
-1	"DGT.MI"	"DIGITOUCH"	2025-09-22	0.98	57.1428571428571
-1	"DHH.MI"	"DHH"	2025-09-22	9.64	71.4285714285714
-1	"DIA.MI"	"DIASORIN"	2025-09-22	38.31	28.5714285714286
-1	"DIS.MI"	"D'AMICO"	2025-09-22	2.07	64.2857142857143
-1	"DLG.MI"	"DE'LONGHI"	2025-09-22	14.81	42.8571428571429
-1	"DOV.MI"	"DOVALUE"	2025-09-22	1.65	64.2857142857143
-1	"DOX.MI"	"DOXEE"	2025-09-22	1.59	71.4285714285714
-1	"ECNL.MI"	"AQUAFIL"	2025-09-22	0.89	64.2857142857143
-1	"EDAC.MI"	"EDILIZIACROBATICA"	2025-09-22	2.45	50
