"ticker"	"name"	"date_last_swing_r"	"rh3"
"BGN.MI"	"BANCA GENERALI"	2025-11-07	25.56
"BRE.MI"	"BREMBO"	2025-11-07	4.88
"SRG.MI"	"SNAM"	2025-11-07	2.72
"TEN.MI"	"TENARIS"	2025-11-07	8.58
"ENEL.MI"	"ENEL"	2025-11-06	4.32
"SFL.MI"	"SAFILO GROUP"	2025-11-06	0.92
"IP.MI"	"INTERPUMP GROUP"	2025-10-31	21.98
"ACE.MI"	"ACEA"	2025-10-22	10.68
"MARR.MI"	"MARR"	2025-10-10	4.85
"REY.MI"	"REPLY"	2025-10-10	61.98
"BC.MI"	"BRUNELLO CUCINELLI"	2025-10-09	46.66
"DAL.MI"	"DATALOGIC"	2025-09-18	2.41
"CPR.MI"	"CAMPARI"	2025-08-01	3.45
"RACE.MI"	"FERRARI"	2025-07-28	227.79
"ANIM.MI"	"ANIMA HOLDING"	2025-07-23	3.3
"BSS.MI"	"BIESSE"	2025-07-03	4.2
"AMP.MI"	"AMPLIFON"	2025-06-26	11.18
"DIA.MI"	"DIASORIN"	2025-06-23	50.46
"SPM.MI"	"SAIPEM"	2025-06-19	1.3
"MB.MI"	"MEDIOBANCA"	2025-05-12	11.31
"NEXI.MI"	"NEXI"	2025-04-23	3.16
"ENAV.MI"	"ENAV"	2025-04-07	1.86
"HER.MI"	"HERA"	2025-04-04	2.51
"INW.MI"	"INWIT"	2025-04-04	6.08
"TRN.MI"	"TERNA"	2025-04-04	5.28
"MONC.MI"	"MONCLER"	2025-02-14	38.48
"SFER.MI"	"SALVATORE FERRAGAMO"	2025-01-31	4.59
"US.MI"	"UNIPOLSAI"	2024-02-16	1.76
