"rrg"	"ticker"	"name"	"last_day_score"	"date_last_change"
NA	"FCT.MI"	"FINCANTIERI"	3	"2024-11-11 16:35:25"
NA	"CRL.MI"	"CAREL INDUSTRIES"	4	"2024-11-11 16:35:23"
NA	"PVN.MI"	"PIOVAN"	3	"2024-11-11 16:35:17"
1	"SGF.MI"	"SOGEFI"	1	"2024-11-11 16:35:14"
NA	"MN.MI"	"MONDADORI EDIT"	-1	"2024-11-11 16:35:11"
NA	"AVIO.MI"	"AVIO"	1	"2024-11-11 16:35:07"
1	"IGD.MI"	NA	3	"2024-11-11 16:35:04"
NA	"OVS.MI"	"OVS"	5	"2024-11-11 16:35:03"
NA	"GPI.MI"	"GPI"	-1	"2024-11-11 16:35:00"
NA	"IB.MI"	"INIZIATIVE BRESCIANE"	-1	"2024-11-11 16:23:37"
NA	"RLT.MI"	"RELATECH"	3	"2024-11-11 16:12:46"
NA	"ARBS.MI"	"ARTERRA BIOSCIENCE"	0	"2024-11-11 15:43:55"
NA	"BMPS.MI"	"BANCA MONTE PASCHI SIENA"	5	"2024-11-08 08:00:00"
NA	"LDO.MI"	"LEONARDO"	5	"2024-11-08 08:00:00"
NA	"BZU.MI"	"BUZZI"	5	"2024-11-08 08:00:00"
NA	"LNDR.MI"	"LANDI RENZO"	5	"2024-11-08 08:00:00"
NA	"UCG.MI"	"UNICREDIT"	4	"2024-11-08 08:00:00"
NA	"UNI.MI"	"UNIPOL"	4	"2024-11-08 08:00:00"
NA	"SAB.MI"	"SABAF"	4	"2024-11-08 08:00:00"
NA	"SPM.MI"	"SAIPEM"	3	"2024-11-08 08:00:00"
NA	"REC.MI"	"RECORDATI ORD"	3	"2024-11-08 08:00:00"
1	"UNIR.MI"	"UNIEURO"	3	"2024-11-08 08:00:00"
NA	"GG.MI"	"GIGLIO GROUP"	2	"2024-11-08 08:00:00"
1	"TRN.MI"	"TERNA"	1	"2024-11-08 08:00:00"
NA	"ALK.MI"	"ALKEMY"	1	"2024-11-08 08:00:00"
NA	"IRC.MI"	"IRCE"	-2	"2024-11-08 08:00:00"
NA	"ISP.MI"	"INTESA SANPAOLO"	4	"2024-11-07 08:00:00"
NA	"BGN.MI"	"BANCA GENERALI"	4	"2024-11-07 08:00:00"
1	"ASC.MI"	"ASCOPIAVE"	3	"2024-11-07 08:00:00"
NA	"CFV.MI"	"CONFINVEST"	3	"2024-11-07 08:00:00"
NA	"IEG.MI"	"ITALIAN EXHIBITION GROUP"	2	"2024-11-07 08:00:00"
NA	"SOL.MI"	"SOL"	2	"2024-11-07 08:00:00"
1	"WIIT.MI"	"WIIT"	1	"2024-11-07 08:00:00"
NA	"BEC.MI"	"B&C SPEAKERS"	1	"2024-11-07 08:00:00"
1	"MAIRE.MI"	"MAIRE"	-1	"2024-11-07 08:00:00"
NA	"BAMI.MI"	"BANCO BPM"	5	"2024-11-06 08:00:00"
NA	"CE.MI"	"CREDEM"	5	"2024-11-06 08:00:00"
NA	"DIA.MI"	"DIASORIN"	5	"2024-11-06 08:00:00"
NA	"G.MI"	"GENERALI ASS"	4	"2024-11-06 08:00:00"
NA	"IF.MI"	"BANCA IFIS"	4	"2024-11-06 08:00:00"
NA	"ACE.MI"	"ACEA"	4	"2024-11-06 08:00:00"
NA	"ENEL.MI"	"ENEL"	3	"2024-11-06 08:00:00"
NA	"RACE.MI"	"FERRARI"	3	"2024-11-06 08:00:00"
NA	"IRE.MI"	"IREN"	1	"2024-11-06 08:00:00"
NA	"ENAV.MI"	"ENAV"	1	"2024-11-06 08:00:00"
NA	"AV.MI"	"ANTARES VISION"	1	"2024-11-06 08:00:00"
NA	"GE.MI"	"GEFRAN"	-1	"2024-11-06 08:00:00"
NA	"KME.MI"	"KME GROUP"	2	"2024-11-05 08:00:00"
1	"PHN.MI"	"PHARMANUTRA"	2	"2024-11-05 08:00:00"
NA	"S24.MI"	"IL SOLE 24 ORE"	1	"2024-11-05 08:00:00"
1	"NDT.MI"	"NEODECORTECH"	-1	"2024-11-05 08:00:00"
NA	"FBK.MI"	"FINECOBANK"	-3	"2024-11-05 08:00:00"
NA	"PRY.MI"	"PRYSMIAN"	4	"2024-11-04 08:00:00"
NA	"LUVE.MI"	"LUVE"	4	"2024-11-04 08:00:00"
NA	"TGYM.MI"	"TECHNOGYM"	3	"2024-11-04 08:00:00"
NA	"GVS.MI"	"GVS"	-1	"2024-11-04 08:00:00"
NA	"CIRC.MI"	"CIRCLE"	5	"2024-11-01 08:00:00"
NA	"FM.MI"	"FIERA MILANO"	3	"2024-11-01 08:00:00"
NA	"REY.MI"	"REPLY"	3	"2024-10-31 08:00:00"
1	"EQUI.MI"	"EQUITA GROUP"	5	"2024-10-30 08:00:00"
NA	"NWL.MI"	"NEWLAT FOOD"	2	"2024-10-30 08:00:00"
NA	"BFF.MI"	"BFF BANK"	1	"2024-10-29 08:00:00"
NA	"CALT.MI"	"CALTAGIRONE"	5	"2024-10-28 08:00:00"
NA	"OS.MI"	"OFFICINA STELLARE"	5	"2024-10-25 07:00:00"
NA	"ITD.MI"	"INTRED"	5	"2024-10-23 07:00:00"
NA	"CULT.MI"	"CULTI MILANO"	3	"2024-10-23 07:00:00"
NA	"DBA.MI"	"DBA GROUP"	-3	"2024-10-22 07:00:00"
NA	"IVS.MI"	"IVS GROUP"	0	"2024-10-18 07:00:00"
NA	"CDG.MI"	"CASTA DIVA GROUP"	3	"2024-10-15 07:00:00"
NA	"WBD.MI"	"WEBUILD"	5	"2024-10-10 07:00:00"
NA	"MOL.MI"	"MUTUIONLINE"	2	"2024-10-10 07:00:00"
1	"SRI.MI"	"SERVIZI ITALIA"	5	"2024-10-08 07:00:00"
NA	"NVP.MI"	"NVP"	3	"2024-10-03 07:00:00"
NA	"BDB.MI"	"BCO DESIO BRIANZA"	5	"2024-09-18 07:00:00"
NA	"COP.MI"	"COPERNICO"	5	"2024-09-16 07:00:00"
NA	"TXT.MI"	"TXT E-SOLUTIONS"	5	"2024-09-12 07:00:00"
NA	"MB.MI"	"MEDIOBANCA"	5	"2024-09-03 07:00:00"
NA	"BMED.MI"	"BANCA MEDIOLANUM"	5	"2024-09-02 07:00:00"
NA	"BPE.MI"	"BPER BANCA"	5	"2024-08-30 07:00:00"
NA	"ANIM.MI"	"ANIMA HOLDING"	5	"2024-08-29 07:00:00"
NA	"SRS.MI"	"SARAS"	2	"2024-08-28 07:00:00"
NA	"TOD.MI"	"TOD'S"	3	"2024-05-13 07:00:00"
NA	"MFEB.MI"	NA	1	NA
NA	"NOV.DE"	NA	1	NA
NA	"LLY.DE"	NA	-1	NA
