"rrg"	"date"	"ticker"	"name"	"marginabile"	"close"	"daily_return"
1	2026-08-14	"VIM.MI"	"VIMI FASTENERS"	NA	1.58	-0.0813953488372092
1	2026-08-14	"GEL.MI"	"GEL"	NA	2.5	-0.0671641791044777
1	2026-08-14	"IEG.MI"	"ITALIAN EXHIBITION GROUP"	NA	14.55	-0.0427631578947367
1	2026-08-14	"LLY.DE"	NA	NA	1023.8	-0.0368767638758232
1	2026-08-14	"SFL.MI"	"SAFILO GROUP"	"si"	1.96	-0.0344827586206896
1	2026-08-14	"OS.MI"	"OFFICINA STELLARE"	NA	44.6	-0.0240700218818382
1	2026-08-14	"SOM.MI"	"SOMEC"	NA	21.4	-0.0228310502283106
1	2026-08-14	"PRY.MI"	"PRYSMIAN"	"si"	127.95	-0.0202909647779479
1	2026-08-14	"STMMI.MI"	NA	NA	46.69	-0.0195296094078118
1	2026-08-14	"GF.MI"	"GENERALFINANCE"	NA	21.5	-0.0182648401826483
1	2026-08-14	"SIT.MI"	"SIT"	NA	2.55	-0.0154440154440154
1	2026-08-14	"NDT.MI"	"NEODECORTECH"	NA	5.56	-0.0141843971631206
1	2026-08-14	"ILP.MI"	"ILPRA"	NA	7.5	-0.013157894736842
1	2026-08-14	"DAN.MI"	"DANIELI & C"	"si"	64.85	-0.0121858339680123
1	2026-08-14	"PHN.MI"	"PHARMANUTRA"	NA	83	-0.0119047619047619
1	2026-08-14	"LDB.MI"	"LINDBERGH"	NA	13	-0.0114068441064639
1	2026-08-14	"LUVE.MI"	"LUVE"	NA	56.8	-0.0104529616724739
1	2026-08-14	"SFER.MI"	"SALVATORE FERRAGAMO"	"si"	9.6	-0.0103092783505154
1	2026-08-14	"D.MI"	"DIRECTA SIM"	NA	7.94	-0.00749999999999995
1	2026-08-14	"CLI.MI"	"CENTRALE DEL LATTE D'ITALIA"	NA	4.11	-0.00724637681159401
1	2026-08-14	"SSL.MI"	"S.S. LAZIO"	NA	1.65	-0.00602409638554213
1	2026-08-14	"PRT.MI"	"ESPRINET"	"si"	7.14	-0.00557103064066855
1	2026-08-14	"EVISO.MI"	"EVISO"	NA	9.84	-0.00404858299595146
1	2026-08-14	"ELN.MI"	"EL.EN"	NA	15.62	-0.00382653061224492
1	2026-08-14	"BPE.MI"	"BPER BANCA"	"si"	14.41	-0.00345781466113426
1	2026-08-14	"COM.MI"	"COMER INDUSTRIES"	NA	45.6	-0.0021881838074399
1	2026-08-14	"UCG.MI"	"UNICREDIT"	"si"	85.23	-0.00210748155953622
1	2026-08-14	"ENI.MI"	"ENI"	"si"	23.69	-0.00042194092826997
1	2025-12-17	"AIW.MI"	"ALMAWAVE"	NA	4.29	0
1	2025-03-18	"CML.MI"	"COMAL"	NA	5.08	0
1	2026-04-22	"ELES.MI"	"ELES"	NA	3.19	0
1	2026-03-24	"HI.MI"	"HEALTH ITALIA"	NA	299	0
1	2025-09-18	"ILTY.MI"	"ILLIMITY BANK"	NA	4.04	0
1	2024-10-28	"IVS.MI"	"IVS GROUP"	NA	7.16	0
1	2026-08-14	"MAIRE.MI"	"MAIRE"	"si"	12.41	0
1	2025-03-11	"NVP.MI"	"NVP"	NA	4.08	0
1	2025-04-02	"PVN.MI"	"PIOVAN"	NA	13.95	0
1	2024-12-09	"RLT.MI"	"RELATECH"	NA	2.52	0
1	2026-05-04	"SCM.MI"	"SOLUTIONS CAPITAL MANAGEMENT SIM"	NA	4.6	0
1	2025-01-21	"SHE.MI"	"SHEDIR PHARMA GROUP"	NA	4.88	0
1	2026-08-14	"SPM.MI"	"SAIPEM"	"si"	4.56	0
1	2024-12-13	"SRI.MI"	"SERVIZI ITALIA"	NA	2.36	0
1	2024-09-10	"SRS.MI"	"SARAS"	"si"	1.6	0
1	2026-08-13	"STAR7.MI"	"STAR7"	NA	9.65	0
1	2026-08-13	"TLS.MI"	"TELESIA"	NA	3.58	0
1	2024-06-05	"TOD.MI"	"TOD'S"	NA	42.96	0
1	2025-01-07	"UNIR.MI"	"UNIEURO"	"si"	11.68	0
1	2026-08-14	"TIT.MI"	"TELECOM ITALIA"	"si"	7.63	0.00131233595800517
1	2026-08-14	"CY4.MI"	"CY4GATE"	NA	9.72	0.00206185567010331
1	2026-08-14	"IGD.MI"	NA	NA	3.97	0.0025252525252526
1	2026-08-14	"AZM.MI"	"AZIMUT"	NA	38.99	0.00282921810699577
1	2026-08-14	"OVS.MI"	"OVS"	"si"	6.14	0.00326797385620914
1	2026-08-14	"CED.MI"	"CALTAGIRONE EDIT"	NA	2.71	0.00370370370370354
1	2026-08-14	"G.MI"	"GENERALI ASS"	NA	44.06	0.00410209662716499
1	2026-08-14	"MB.MI"	"MEDIOBANCA"	"si"	28.9	0.00521739130434784
1	2026-08-14	"DOV.MI"	"DOVALUE"	NA	1.88	0.0053475935828875
1	2026-08-14	"ISP.MI"	"INTESA SANPAOLO"	"si"	6.92	0.0058139534883721
1	2026-08-14	"PST.MI"	"POSTE ITALIANE"	"si"	27.36	0.00625229863920551
1	2026-08-14	"BAMI.MI"	"BANCO BPM"	"si"	17.03	0.00650118203309691
1	2026-08-14	"BMPS.MI"	"BANCA MONTE PASCHI SIENA"	NA	12.03	0.00669456066945617
1	2026-08-14	"CIRC.MI"	"CIRCLE"	NA	13.65	0.00738007380073791
1	2026-08-14	"CMB.MI"	"CEMBRE"	NA	81.1	0.00745341614906825
1	2026-08-14	"BMED.MI"	"BANCA MEDIOLANUM"	"si"	24.42	0.00784151877837402
1	2026-08-14	"TEN.MI"	"TENARIS"	"si"	23.22	0.00825010855405983
1	2026-08-14	"CE.MI"	"CREDEM"	NA	20.82	0.00969932104752669
1	2026-08-14	"FM.MI"	"FIERA MILANO"	NA	8.28	0.0109890109890109
1	2026-08-14	"UNI.MI"	"UNIPOL"	"si"	28.84	0.0115748860049105
1	2026-04-17	"BPSO.MI"	"BCA POP SONDRIO"	NA	17.86	0.0141964792731402
1	2026-08-14	"BDB.MI"	"BCO DESIO BRIANZA"	NA	17.34	0.0152224824355973
1	2026-08-14	"DIS.MI"	"D'AMICO"	NA	7.22	0.0154711673699015
1	2026-08-14	"B.MI"	"BASTOGI SPA"	NA	1.16	0.0175438596491229
1	2026-08-14	"WIIT.MI"	"WIIT"	NA	28.7	0.0177304964539007
1	2026-08-14	"TPRO.MI"	"TECHNOPROBE"	NA	31.44	0.0201168072680078
1	2026-08-14	"TXT.MI"	"TXT E-SOLUTIONS"	NA	53.1	0.0290697674418605
1	2026-08-14	"ETH.MI"	"EUROTECH"	NA	1.36	0.0303030303030303
1	2026-08-14	"GVS.MI"	"GVS"	NA	5.02	0.030800821355236
1	2026-08-14	"FCT.MI"	"FINCANTIERI"	"si"	13.23	0.03198127925117
1	2026-08-14	"FPE.MI"	"FOPE"	NA	51.5	0.0467479674796747
