"rrg"	"ticker"	"window_lm"	"marginabile"	"name"	"min_date_window"	"estimate"	"p.value"	"adj.r.squared"
1	"OVS.MI"	7	"si"	"OVS"	2025-05-21	0.040714285714286	0.000172338539593693	0.942672919109027
1	"DAN.MI"	7	"si"	"DANIELI & C"	2025-05-21	0.414285714285715	0.000776882095403079	0.895914212026607
1	"AV.MI"	7	NA	"ANTARES VISION"	2025-05-21	0.119642857142857	0.00083120062607432	0.893100649350648
1	"IRE.MI"	7	"si"	"IREN"	2025-05-21	0.00928571428571448	0.00114478734878412	0.878723404255316
1	"CIRC.MI"	7	NA	"CIRCLE"	2025-05-21	0.0392857142857145	0.00461230846805865	0.790720524017472
1	"GE.MI"	7	NA	"GEFRAN"	2025-05-21	0.0714285714285725	0.0060328839278102	0.767741935483884
1	"IVS.MI"	7	NA	"IVS GROUP"	2024-10-18	0.0121428571428574	0.00633313861640622	0.763333333333338
1	"IGD.MI"	7	NA	NA	2025-05-21	0.0389285714285716	0.00673524128876271	0.757630306286945
1	"BST.MI"	7	NA	"BANCA SISTEMA"	2025-05-21	0.0142857142857144	0.00684033055836749	0.75617529880478
1	"SOL.MI"	7	NA	"SOL"	2025-05-21	0.2625	0.0112564665230716	0.70464694390176
1	"LDO.MI"	7	"si"	"LEONARDO"	2025-05-21	0.65214285714286	0.0113683278910886	0.703526006966025
1	"TOD.MI"	7	NA	"TOD'S"	2024-05-28	0.0478571428571452	0.0135993691946377	0.682503276539995
1	"FCT.MI"	7	"si"	"FINCANTIERI"	2025-05-21	0.266785714285715	0.0200483742562925	0.632079269929318
1	"SPM.MI"	7	"si"	"SAIPEM"	2025-05-21	0.0178571428571431	0.0285818105192987	0.579625779625784
1	"MB.MI"	7	"si"	"MEDIOBANCA"	2025-05-21	0.079642857142858	0.0293127651598034	0.575642092128531
1	"AVIO.MI"	7	NA	"AVIO"	2025-05-21	0.249642857142858	0.0317494986567101	0.56281927184163
1	"SRS.MI"	7	"si"	"SARAS"	2024-09-02	0.00178571428571425	0.0343165992063973	0.550000000000006
1	"MAIRE.MI"	7	"si"	"MAIRE"	2025-05-21	0.110714285714286	0.0348627629627676	0.54735586893405
1	"PST.MI"	7	"si"	"POSTE ITALIANE"	2025-05-21	0.0614285714285725	0.0375571972461965	0.534701986754968
1	"AV.MI"	15	NA	"ANTARES VISION"	2025-05-09	0.075107142857143	4.00275296048555e-08	0.901512346971826
1	"OVS.MI"	15	"si"	"OVS"	2025-05-09	0.0271428571428571	4.88682677726988e-08	0.898462619221315
1	"SOL.MI"	15	NA	"SOL"	2025-05-09	0.260357142857143	5.01246527521975e-08	0.898068025180741
1	"LDO.MI"	15	"si"	"LEONARDO"	2025-05-09	0.715785714285715	5.94732346159836e-08	0.895369742848947
1	"MAIRE.MI"	15	"si"	"MAIRE"	2025-05-09	0.0951785714285715	1.53160295477909e-07	0.879113167844601
1	"FCT.MI"	15	"si"	"FINCANTIERI"	2025-05-09	0.391535714285714	2.0431426573122e-07	0.873680467906814
1	"IRE.MI"	15	"si"	"IREN"	2025-05-09	0.0219285714285714	5.02662631596324e-07	0.85510337280135
1	"PST.MI"	15	"si"	"POSTE ITALIANE"	2025-05-09	0.0678928571428569	6.77202937348397e-07	0.848376582364908
1	"BST.MI"	15	NA	"BANCA SISTEMA"	2025-05-09	0.0107857142857143	1.56456188677238e-06	0.827782774309598
1	"CIRC.MI"	15	NA	"CIRCLE"	2025-05-09	0.0457857142857144	1.59048259603532e-06	0.827352236913919
1	"IEG.MI"	15	NA	"ITALIAN EXHIBITION GROUP"	2025-05-09	0.142214285714286	2.31633454107896e-06	0.817206867908459
1	"IGV.MI"	15	NA	"I GRANDI VIAGGI"	2025-05-09	0.0316428571428571	6.5894006502311e-06	0.785808488003024
1	"HER.MI"	15	"si"	"HERA"	2025-05-09	0.0212142857142859	1.56982944426959e-05	0.755766241448976
1	"PLC.MI"	15	NA	"PLC"	2025-05-09	0.0084642857142857	2.24520828650433e-05	0.742217274636382
1	"MOL.MI"	15	NA	"MUTUIONLINE"	2025-05-09	0.297678571428572	2.94595523803175e-05	0.73144556476167
1	"ACE.MI"	15	"si"	"ACEA"	2025-05-09	0.113928571428571	5.10485965408511e-05	0.708289050698977
