"ticker"	"name"	"date_swing"	"rsma_50100150"	"rema_50100150"	"date_last_ma_change"	"RSI"	"sector_score"	"ticker_score"
"NUS.MI"	"NUSCO"	2025-08-26	1	-1	2025-08-22	50	1.25714285714286	2
"ECK.MI"	"ECOSUNTEK"	2025-08-22	1	1	2025-07-30	71.4285714285714	0.75	4
"GEL.MI"	"GEL"	2025-08-20	-1	1	2025-08-25	50	1.25714285714286	0
"GSP.MI"	"GAS PLUS"	2025-08-08	1	1	2025-05-19	64.2857142857143	0.75	5
"DGV.MI"	"DIGITAL VALUE"	2025-08-06	1	-1	2025-07-21	57.1428571428571	1	3
"BDB.MI"	"BCO DESIO BRIANZA"	2025-08-05	1	1	2025-08-07	57.1428571428571	1.06666666666667	3
"FBK.MI"	"FINECOBANK"	2025-08-04	1	1	2025-08-11	50	1.06666666666667	5
"EXAI.MI"	"EXPERT.AI"	2025-07-31	1	1	2025-08-25	71.4285714285714	1	3
"JUVE.MI"	"JUVENTUS FC"	2025-07-30	-1	1	2025-07-22	64.2857142857143	0.64	0
"WBS.MI"	"WEBSOLUTE"	2025-07-29	-1	1	2025-07-30	64.2857142857143	0.958333333333333	2
"BMPS.MI"	"BANCA MONTE PASCHI SIENA"	2025-07-14	-1	1	2025-08-11	57.1428571428571	1.06666666666667	3
"UNI.MI"	"UNIPOL"	2025-07-02	1	1	2024-02-21	50	1.06666666666667	5
"CELL.MI"	"CELLULARLINE"	2025-06-27	1	1	2025-08-12	57.1428571428571	0.76	5
"LUVE.MI"	"LUVE"	2025-06-20	1	1	2025-08-14	50	1.25714285714286	5
"CED.MI"	"CALTAGIRONE EDIT"	2025-06-18	1	-1	2025-07-17	57.1428571428571	0.64	1
"IGD.MI"	NA	2025-05-22	1	1	2025-08-25	57.1428571428571	0	5
"ABP.MI"	"A.B.P. NOCIVELLI"	2025-05-21	1	1	2025-08-18	57.1428571428571	2.55555555555556	5
"BPSO.MI"	"BCA POP SONDRIO"	2025-05-19	1	1	2024-12-11	50	1.06666666666667	5
"SIT.MI"	"SIT"	2025-05-14	1	-1	2025-08-21	71.4285714285714	1.25714285714286	3
"PWS.MI"	"POWERSOFT"	2025-05-13	1	1	2025-04-24	50	1.86666666666667	5
"SFT.MI"	"SOFTLAB"	2025-05-06	1	1	2025-07-31	57.1428571428571	1	5
"BMED.MI"	"BANCA MEDIOLANUM"	2025-04-22	1	1	2025-08-13	64.2857142857143	1.06666666666667	5
"DAN.MI"	"DANIELI & C"	2025-04-07	1	1	2025-06-09	64.2857142857143	1.25714285714286	5
"FM.MI"	"FIERA MILANO"	2025-04-07	1	1	2024-11-26	50	0.958333333333333	5
"U24.MI"	"UCAPITAL24"	2025-03-14	1	1	2025-07-15	71.4285714285714	1	4
"NWL.MI"	"NEWLAT FOOD"	2025-03-06	1	1	2025-04-10	57.1428571428571	-0.05	5
"CML.MI"	"COMAL"	2025-02-26	1	1	2024-10-08	50	1.86666666666667	5
"NVP.MI"	"NVP"	2025-02-18	1	1	2024-11-11	64.2857142857143	1	5
"SHE.MI"	"SHEDIR PHARMA GROUP"	2025-01-17	1	1	2024-11-26	50	0.75	5
"ISP.MI"	"INTESA SANPAOLO"	2024-11-27	1	1	2025-08-01	64.2857142857143	1.06666666666667	5
"TIT.MI"	"TELECOM ITALIA"	2024-11-08	1	1	2025-03-26	85.7142857142857	0.888888888888889	5
"UNIR.MI"	"UNIEURO"	2024-11-08	1	1	2025-01-07	50	0.714285714285714	5
"AVIO.MI"	"AVIO"	2024-11-01	1	1	2025-01-24	57.1428571428571	1.86666666666667	5
"FCT.MI"	"FINCANTIERI"	2024-09-12	1	1	2024-11-26	71.4285714285714	1.25714285714286	5
"BAMI.MI"	"BANCO BPM"	2024-09-11	1	1	2025-08-01	50	1.06666666666667	5
"SRI.MI"	"SERVIZI ITALIA"	2024-07-22	1	1	2024-08-05	50	0.958333333333333	4
"SRS.MI"	"SARAS"	2024-05-20	1	1	2024-06-19	64.2857142857143	0.5	2
"TOD.MI"	"TOD'S"	2024-05-17	1	-1	2024-04-15	71.4285714285714	-0.05	3
"PVN.MI"	"PIOVAN"	2024-05-14	1	1	2025-03-07	57.1428571428571	1.25714285714286	3
"BPE.MI"	"BPER BANCA"	2023-12-21	1	1	2024-03-12	57.1428571428571	1.06666666666667	5
