"date"	"ticker"	"name"	"volume"
"2025-01-22 16:35:28"	"TIT.MI"	"TELECOM ITALIA"	299762602
"2025-01-22 16:35:04"	"ISP.MI"	"INTESA SANPAOLO"	55341421
"2025-01-22 16:37:26"	"SPM.MI"	"SAIPEM"	33351136
"2025-01-22 16:38:32"	"ENEL.MI"	"ENEL"	25473565
"2025-01-22 16:35:29"	"A2A.MI"	"A2A"	18328744
"2025-01-22 16:35:04"	"SRG.MI"	"SNAM"	14759463
"2025-01-22 16:39:51"	"BMPS.MI"	"BANCA MONTE PASCHI SIENA"	12106343
"2025-01-22 16:36:16"	"STLAM.MI"	"STELLANTIS"	11051230
"2025-01-22 16:37:12"	"BAMI.MI"	"BANCO BPM"	10638390
"2025-01-22 16:37:19"	"BPE.MI"	"BPER BANCA"	10633956
"2025-01-22 16:36:04"	"ENI.MI"	"ENI"	9732894
"2025-01-22 16:39:22"	"CPR.MI"	"CAMPARI"	8585842
"2025-01-22 16:35:05"	"TSL.MI"	"TESSELLIS"	5987517
"2025-01-22 16:37:54"	"UCG.MI"	"UNICREDIT"	5657449
"2025-01-22 16:35:19"	"NEXI.MI"	"NEXI"	4670040
"2025-01-22 16:35:12"	"PIRC.MI"	"PIRELLI & C"	4531040
"2025-01-22 16:35:14"	"MB.MI"	"MEDIOBANCA"	3823434
"2025-01-22 14:29:46"	"NTW.MI"	"NETWEEK"	3713466
"2025-01-22 16:39:05"	"TRN.MI"	"TERNA"	3400762
"2025-01-22 16:35:22"	"G.MI"	"GENERALI ASS"	3372829
"2025-01-22 16:35:02"	"LDO.MI"	"LEONARDO"	3102997
"2025-01-22 16:37:38"	"STMMI.MI"	NA	2501037
"2025-01-22 16:35:18"	"HER.MI"	"HERA"	2309089
"2025-01-22 16:35:09"	"FDA.MI"	"FIDIA"	1952229
"2025-01-22 16:35:08"	"WBD.MI"	"WEBUILD"	1844224
"2025-01-22 16:37:12"	"FBK.MI"	"FINECOBANK"	1764242
"2025-01-22 16:35:02"	"IG.MI"	"ITALGAS"	1738324
