"ticker"	"method"	"equity"
"ILLA.MI"	"rema_50100150"	15600000
"SES.MI"	"rrg"	761499.999999999
"FIC.MI"	"rema_50100150"	649032
"MONC.MI"	"rrg"	510071
"FCT.MI"	"rrg"	483250
"SRG.MI"	"rsma_50100150"	476747
"IWB.MI"	"rrg"	417968
"TNXT.MI"	"rbo_100"	412324
"WBD.MI"	"rsma_50100150"	378250
"TALEA.MI"	"rrg"	357048
"RACE.MI"	"rrg"	337798
"ITD.MI"	"rrg"	325235
"POR.MI"	"rrg"	310400
"CRL.MI"	"rsma_50100150"	254836
"TRN.MI"	"rsma_50100150"	248155
"ARN.MI"	"rbo_100"	247030
"TWL.MI"	"rema_50100150"	241930
"FBK.MI"	"rema_50100150"	227842
"MOL.MI"	"rema_50100150"	216908
"ELN.MI"	"rrg"	214920
"ORS.MI"	"rbo_100"	214450
"SAB.MI"	"rsma_50100150"	210538
"GO.MI"	"rsma_50100150"	207344
"BZU.MI"	"rrg"	206523
"INC.MI"	"rema_50100150"	204111
"CULT.MI"	"rema_50100150"	198950
"TXT.MI"	"rbo_100"	198382
"EVA.MI"	"rsma_50100150"	196000
"XPR.MI"	"rema_50100150"	195872
"BSS.MI"	"rrg"	189029
"S24.MI"	"rrg"	184364
"GG.MI"	"rrg"	182947
"OJM.MI"	"rrg"	182324
"COM.MI"	"rema_50100150"	177500
"SL.MI"	"rrg"	176272
"SCK.MI"	"rbo_100"	174688
"LLY.DE"	"rema_50100150"	172868
"DGV.MI"	"rema_50100150"	166000
"MET.MI"	"rsma_50100150"	164408
"IE.MI"	"rrg"	160636
"CPR.MI"	"rrg"	158849
"PHN.MI"	"rema_50100150"	157420
"MN.MI"	"rema_50100150"	154033
"DOX.MI"	"rrg"	153340
"NRST.MI"	"rrg"	152701
"DIS.MI"	"rema_50100150"	152500
"NOV.DE"	"rema_50100150"	150128
"GE.MI"	"rrg"	149350
"ETH.MI"	"rsma_50100150"	149028
"AVIO.MI"	"rsma_50100150"	147726
"BC.MI"	"rrg"	146341
"EM.MI"	"rbo_100"	145500
"CLF.MI"	"rrg"	145141
"IP.MI"	"rrg"	143029
"STMMI.MI"	"rbo_100"	142925
"SFER.MI"	"rsma_50100150"	141850
"GEL.MI"	"rsma_50100150"	140796
"CYB.MI"	"rema_50100150"	140392
"GTH.MI"	"rsma_50100150"	139270
"COP.MI"	"rrg"	139164
"GROW.MI"	"rema_50100150"	137944
"IGV.MI"	"rrg"	137940
"TPS.MI"	"rema_50100150"	137774
"AMP.MI"	"rsma_50100150"	137598
"ESAU.MI"	"rsma_50100150"	137448
"WIIT.MI"	"rsma_50100150"	137098
"EDNR.MI"	"rtt_5020"	137078
"SOL.MI"	"rsma_50100150"	136384
"FNM.MI"	"rsma_50100150"	136000
"ALK.MI"	"rrg"	134430
"GBUS.MI"	"rsma_50100150"	134026
"TEN.MI"	"rsma_50100150"	133212
"UNIR.MI"	"rrg"	132800
"UCG.MI"	"rsma_50100150"	132650
"CMB.MI"	"rema_50100150"	131746
"ITM.MI"	"rsma_50100150"	131526
"EUK.MI"	"rtt_5020"	131493
"FM.MI"	"rsma_50100150"	131416
"ABT.MI"	"rema_50100150"	131208
"RCS.MI"	"rema_50100150"	131042
"ZV.MI"	"rbo_100"	130475
"CALT.MI"	"rema_50100150"	130340
"AUTME.MI"	"rema_50100150"	130320
"IF.MI"	"rrg"	129858
"EXAI.MI"	"rrg"	129574
"TCM.MI"	"rema_50100150"	129140
"ECNL.MI"	"rsma_50100150"	128175
"ALW.MI"	"rrg"	127854
"CLABO.MI"	"rrg"	127632
"ILP.MI"	"rtt_5020"	127561
"ADB.MI"	"rrg"	127376
"KME.MI"	"rema_50100150"	126964
"EVISO.MI"	"rsma_50100150"	125530
"FRE.MI"	"rtt_5020"	124367
"TGYM.MI"	"rrg"	124147
"BFG.MI"	"rbo_100"	123858
"AEDES.MI"	"rsma_50100150"	123829
"LNDR.MI"	"rsma_50100150"	123720
"BE.MI"	"rbo_100"	123250
"EEMS.MI"	"rtt_5020"	123035
"MEV.MI"	"rsma_50100150"	122618
"CVG.MI"	"rbo_100"	122372
"FPE.MI"	"rtt_5020"	122117
"BMED.MI"	"rema_50100150"	121930
"BDB.MI"	"rema_50100150"	121836
"GAB.MI"	"rbo_100"	121726
"IMS.MI"	"rtt_5020"	121285
"JUVE.MI"	"rbo_100"	121087
"PIA.MI"	"rbo_100"	120889
"POPR.MI"	"rtt_5020"	120375
"SGF.MI"	"rbo_100"	120310
"IIG.MI"	"rtt_5020"	120217
"ISP.MI"	"rtt_5020"	119956
"ECK.MI"	"rbo_100"	119703
"ZUC.MI"	"rtt_5020"	119533
"MAIRE.MI"	"rema_50100150"	119344
"FF.MI"	"rrg"	119230
"CE.MI"	"rrg"	118931
"VIM.MI"	"rsma_50100150"	118887
"BPE.MI"	"rema_50100150"	118816
"RAD.MI"	"rsma_50100150"	118700
"DAL.MI"	"rrg"	118468
"ENAV.MI"	"rbo_100"	118270
"PIRC.MI"	"rrg"	118000
"NWL.MI"	"rema_50100150"	117980
"ESIGM.MI"	"rema_50100150"	117952
"CED.MI"	"rtt_5020"	117622
"UD.MI"	"rbo_100"	117596
"FDA.MI"	"rema_50100150"	117457
"BPSO.MI"	"rtt_5020"	117410
"PST.MI"	"rbo_100"	117358
"CEM.MI"	"rtt_5020"	117347
"UNI.MI"	"rtt_5020"	117113
"PRT.MI"	"rrg"	116913
"EDAC.MI"	"rbo_100"	116841
"BAMI.MI"	"rrg"	116823
"ITW.MI"	"rrg"	116731
"EQUI.MI"	"rsma_50100150"	116514
"PVN.MI"	"rema_50100150"	116492
"PQ.MI"	"rbo_100"	116456
"MARP.MI"	"rrg"	116216
"FVI.MI"	"rbo_100"	116031
"DIB.MI"	"rtt_5020"	115894
"PRY.MI"	"rsma_50100150"	115756
"CNF.MI"	"rrg"	115585
"TIP.MI"	"rsma_50100150"	115576
"AC5.MI"	"rtt_5020"	115536
"GAMB.MI"	"rema_50100150"	115000
"CML.MI"	"rsma_50100150"	114694
"NPI.MI"	"rrg"	114598
"ANIM.MI"	"rrg"	114378
"AEF.MI"	"rbo_100"	114014
"SGC.MI"	"rsma_50100150"	113800
"BFF.MI"	"rtt_5020"	113692
"OLI.MI"	"rema_50100150"	113653
"GSP.MI"	"rbo_100"	113615
"LDO.MI"	"rrg"	113580
"DLG.MI"	"rtt_5020"	113145
"INW.MI"	"rbo_100"	112992
"REY.MI"	"rtt_5020"	112991
"SSL.MI"	"rtt_5020"	112988
"NVP.MI"	"rbo_100"	112978
"CY4.MI"	"rbo_100"	112816
"RLT.MI"	"rtt_5020"	112707
"ENEL.MI"	"rema_50100150"	112543
"IRC.MI"	"rtt_5020"	112511
