"ticker"	"name"	"date_last_change"	"method"	"signal"
"MB.MI"	"MEDIOBANCA"	2025-11-07	"rtt_5020"	0
"BRE.MI"	"BREMBO"	2025-11-07	"rema_50100150"	-1
"JUVE.MI"	"JUVENTUS FC"	2025-10-27	"rtt_5020"	0
"SFER.MI"	"SALVATORE FERRAGAMO"	2025-10-27	"rsma_50100150"	-1
"ACE.MI"	"ACEA"	2025-10-22	"rrg"	-1
"REY.MI"	"REPLY"	2025-10-16	"rtt_5020"	-1
"ENAV.MI"	"ENAV"	2025-10-15	"rbo_100"	1
"BC.MI"	"BRUNELLO CUCINELLI"	2025-10-09	"rrg"	-1
"SRG.MI"	"SNAM"	2025-09-25	"rsma_50100150"	1
"SPM.MI"	"SAIPEM"	2025-09-17	"rsma_50100150"	-1
"INW.MI"	"INWIT"	2025-09-15	"rsma_50100150"	1
"NEXI.MI"	"NEXI"	2025-09-12	"rsma_50100150"	1
"TRN.MI"	"TERNA"	2025-09-12	"rsma_50100150"	1
"DIA.MI"	"DIASORIN"	2025-09-09	"rtt_5020"	-1
"MONC.MI"	"MONCLER"	2025-08-18	"rrg"	-1
"AMP.MI"	"AMPLIFON"	2025-08-08	"rsma_50100150"	1
"HER.MI"	"HERA"	2025-07-30	"rema_50100150"	1
"ANIM.MI"	"ANIMA HOLDING"	2025-07-23	"rrg"	-1
"BGN.MI"	"BANCA GENERALI"	2025-07-09	"rema_50100150"	1
"TEN.MI"	"TENARIS"	2025-05-08	"rsma_50100150"	1
"RACE.MI"	"FERRARI"	2025-01-13	"rrg"	-1
"US.MI"	"UNIPOLSAI"	2024-03-26	"rema_50100150"	1
"IP.MI"	"INTERPUMP GROUP"	2024-02-02	"rrg"	-1
"CPR.MI"	"CAMPARI"	2023-06-20	"rrg"	-1
"SFL.MI"	"SAFILO GROUP"	2022-12-15	"rrg"	-1
"PRT.MI"	"ESPRINET"	2021-12-08	"rrg"	-1
"MARR.MI"	"MARR"	2021-10-06	"rrg"	-1
"BSS.MI"	"BIESSE"	2021-09-15	"rrg"	-1
"DAL.MI"	"DATALOGIC"	2019-01-28	"rrg"	-1
