"name"	"isin"	"ticker"	"mercato"	"strumento"	"valuta"	"quantità"	"prezzo_medio_carico"	"cambio_carico"	"valore_carico"	"prezzo_mercato"	"cambio_mercato"	"valore_mercato_amount"	"var_perc"	"var_amount"	"var_in_valuta"	"rateo"	"capitalization"	"roe"	"roi"	"beta"	"dividendyield"	"peratio"
"STMICROELECTRONICS"	"NL0000226223"	"STMMI.MI"	"AFF"	"Azione"	"EUR"	89	43.52217	1	3873.47313	23.815	"1"	"2119.5349999999999"	"-45.280762000000003"	"-1753.93813"	-1753.93813	0	22027.3	20.66986	17.69243	1.22345	1.10995	6.65298
"CEMENTIR HOLD"	"NL0013995087"	"CEM.MI"	"AFF"	"Azione"	"EUR"	213	10.84056	1	2309.03928	10.48	"1"	"2232.2399999999998"	"-3.3260269999999998"	"-76.799279999999996"	-76.79928	0	1677.125	14.19062	12.00297	1.05083	2.65655	7.87843
"GEFRAN"	"IT0003203947"	"GE.MI"	"AFF"	"Azione"	"EUR"	100	9.2695	1	926.95	9.2	"1"	"920"	"-0.74977099999999997"	"-6.95"	-6.95	0	131.328	12.83973	10.32722	1.18133	4.60526	10.62949
"RAI WAY"	"IT0005054967"	"RWAY.MI"	"AFF"	"Azione"	"EUR"	150	5.53966	1	830.949	5.28	"1"	"792"	"-4.6872910000000001"	"-38.948999999999998"	-38.949	0	1433.44	50.68292	32.91671	0.33855	6.11385	16.17855
"BANCA MEDIOLANUM"	"IT0004776628"	"BMED.MI"	"AFF"	"Azione"	"EUR"	243	12.20312	1	2965.35816	12.15	"1"	"2952.45"	"-0.43529899999999999"	"-12.908160000000001"	-12.90816	0	9055.133	26.65566	NA	1.30179	6.50206	9.96179
"AVIO"	"IT0005119810"	"AVIO.MI"	"AFF"	"Azione"	"EUR"	140	14.21214	1	1989.6996	14.74	"1"	"2063.6"	"3.7141489999999999"	"73.900400000000005"	73.9004	0	383.7921	3.32804	2.13789	0.53446	1.0193	39.38968
"BRUNELLO CUCINELLI"	"IT0004764699"	"BC.MI"	"AFF"	"Azione"	"EUR"	16	105.2228	1	1683.5648	111.6	"1"	"1785.6"	"6.0606640000000001"	"102.0352"	102.0352	0	7432.4	27.52386	12.50615	0.82334	0.83257	65.32237
"BANCA IFIS"	"IT0003188064"	"IF.MI"	"AFF"	"Azione"	"EUR"	132	22.36242	1	2951.83944	22.62	"1"	"2985.84"	"1.151843"	"34.00056"	34.00056	0	1205.369	9.37075	NA	1.25501	9.375	7.34544
"COMAL"	"IT0005428971"	"CML.MI"	"AFF"	"Azione"	"EUR"	500	4.96942	1	2484.71	4.93	"1"	"2465"	"-0.79325199999999996"	"-19.71"	-19.71	0	64.54968	23.22667	12.05461	0.38962	NA	13.9073
"TERNA"	"IT0003242622"	"TRN.MI"	"AFF"	"Azione"	"EUR"	300	7.72263	1	2316.789	7.628	"1"	"2288.4"	"-1.22536"	"-28.388999999999999"	-28.389	0	15304.08	NA	NA	0.39032	4.52062	14.47914
"GAROFALO H CARE"	"IT0005345233"	"GHC.MI"	"AFF"	"Azione"	"EUR"	170	5.39735	1	917.5495	5.02	"1"	"853.4"	"-6.9913939999999997"	"-64.149500000000003"	-64.1495	0	470.844	6.78869	3.45017	0.4292	NA	22.09992
"EXPERT.AI"	"IT0004496029"	"EXAI.MI"	"AFF"	"Azione"	"EUR"	1346	1.31248	1	1766.59808	1.252	"1"	"1685.192"	"-4.6080699999999997"	"-81.406080000000003"	-81.40608	0	122.6454	-242.408	-70.17945	1.25808	NA	NA
"TENARIS"	"LU2598331598"	"TEN.MI"	"AFF"	"Azione"	"EUR"	50	17.984	1	899.2	19.005	"1"	"950.25"	"5.6772689999999999"	"51.05"	51.05	0	22074.46	15.85004	15.2982	1.54079	3.3473	8.47344
"BUZZI"	"IT0001347308"	"BZU.MI"	"AFF"	"Azione"	"EUR"	75	35.868	1	2690.1	35.56	"1"	"2667"	"-0.85870400000000002"	"-23.1"	-23.1	0	6984.625	NA	NA	0.89408	1.65472	NA
"CEMBRE"	"IT0001128047"	"CMB.MI"	"AFF"	"Azione"	"EUR"	35	42.23014	1	1478.0549	40.55	"1"	"1419.25"	"-3.9785330000000001"	"-58.804900000000004"	-58.8049	0	703.8	18.80077	17.70155	0.88215	4.34783	18.39036
"NOVO NORDISK -B-"	"DK0062498333"	"NOVC.FRA"	"XETRA"	"Azione"	"EUR"	23	127.45434	1	2931.44982	82.5	"1"	"1897.5"	"-35.270937000000004"	"-1033.94982"	-1033.94982	0	NA	NA	NA	NA	NA	NA
"MONCLER"	"IT0004965148"	"MONC.MI"	"AFF"	"Azione Marginazione"	"EUR"	-62	49.65	1	615.66	53.46	"1"	"3314.52"	"-7.6737159999999998"	"-236.22"	-236.22	0	14592.2	22.17573	17.52972	0.78057	2.16573	22.24428
"INTERPUMP GROUP"	"IT0001078911"	"IP.MI"	"AFF"	"Azione Marginazione"	"EUR"	-88	42.02	1	739.55	42.44	"1"	"3734.72"	"-0.99952399999999997"	"-36.96"	-36.96	0	4664.389	11.64986	8.56871	0.94955	0.74697	21.3128
"A2A"	"IT0001233417"	"A2A.MI"	"AFF"	"Azione Marginazione"	"EUR"	-2000	2.166	1	1083	2.209	"1"	"4418"	"-1.9852259999999999"	"-86"	-86	0	6832.866	20.18485	8.50567	1.01651	4.39248	7.19232
"ITALGAS"	"IT0005211237"	"IG.MI"	"AFF"	"Azione Marginazione"	"EUR"	-350	5.41	1	946.75	5.365	"1"	"1877.75"	"0.831793"	"15.75"	15.75	0	4384.765	21.48441	5.38563	0.55095	6.51249	9.49912
