"date"	"ticker"	"name"	"rtt_5020"	"rsma_50100150"	"rema_50100150"	"rbo_100"	"rrg"
2026-01-09	"ACE.MI"	"ACEA"	1	-1	1	1	-1
2026-01-09	"BZU.MI"	"BUZZI"	1	1	1	-1	-1
2026-01-09	"CPR.MI"	"CAMPARI"	0	1	1	-1	-1
2026-01-09	"CRL.MI"	"CAREL INDUSTRIES"	1	-1	1	-1	-1
2026-01-09	"ENAV.MI"	"ENAV"	1	1	1	1	-1
2026-01-09	"G.MI"	"GENERALI ASS"	1	1	1	-1	-1
2026-01-09	"HER.MI"	"HERA"	1	-1	1	-1	-1
2026-01-09	"INW.MI"	"INWIT"	-1	1	1	-1	-1
2026-01-09	"MONC.MI"	"MONCLER"	0	-1	1	1	-1
2026-01-09	"NEXI.MI"	"NEXI"	0	1	1	-1	-1
2026-01-09	"PLC.MI"	"PLC"	0	1	-1	-1	-1
2026-01-09	"REY.MI"	"REPLY"	0	1	1	-1	-1
2026-01-09	"SFER.MI"	"SALVATORE FERRAGAMO"	1	1	1	1	-1
2026-01-09	"STLAM.MI"	"STELLANTIS"	0	-1	1	1	-1
2026-01-09	"STMMI.MI"	NA	0	1	1	-1	-1
2026-01-09	"TRN.MI"	"TERNA"	1	-1	1	-1	-1
2026-01-09	"AV.MI"	"ANTARES VISION"	0	-1	1	-1	0
2026-01-09	"AVIO.MI"	"AVIO"	0	-1	-1	-1	1
2026-01-09	"AZM.MI"	"AZIMUT"	1	1	1	1	1
2026-01-09	"BAMI.MI"	"BANCO BPM"	1	-1	1	1	1
2026-01-09	"BPSO.MI"	"BCA POP SONDRIO"	1	1	1	1	1
2026-01-09	"BRE.MI"	"BREMBO"	1	-1	1	1	1
2026-01-09	"CMB.MI"	"CEMBRE"	1	1	1	1	1
2026-01-09	"DAN.MI"	"DANIELI & C"	1	1	1	1	1
2026-01-09	"ENEL.MI"	"ENEL"	1	-1	1	1	1
2026-01-09	"FCT.MI"	"FINCANTIERI"	0	-1	-1	-1	1
2026-01-09	"IG.MI"	"ITALGAS"	1	1	1	1	1
2026-01-09	"IVG.MI"	"IVECO GROUP"	1	-1	1	-1	1
2026-01-09	"MAIRE.MI"	"MAIRE"	0	1	1	1	1
2026-01-09	"PST.MI"	"POSTE ITALIANE"	1	1	1	1	1
2026-01-09	"TNXT.MI"	"TINEXTA"	1	-1	1	-1	1
2026-01-09	"WBD.MI"	"WEBUILD"	1	1	1	-1	1
