"sector"	"score"	"rbo_100"	"rema_50100150"	"rrg"	"rsma_50100150"	"rtt_5020"
"Electronic Technology"	2.8	0.466666666666667	0.866666666666667	0.133333333333333	0.733333333333333	0.6
"Finance"	1.82222222222222	-0.0222222222222222	0.866666666666667	-0.0222222222222222	0.6	0.4
"Industrial Services"	1.66666666666667	-0.111111111111111	0.777777777777778	0	0.333333333333333	0.666666666666667
"Health Services"	1.33333333333333	-0.333333333333333	1	-0.333333333333333	0.333333333333333	0.666666666666667
"Non-Energy Minerals"	1.33333333333333	-0.333333333333333	0.666666666666667	0	0.666666666666667	0.333333333333333
"Consumer Services"	1.21739130434783	-0.217391304347826	0.91304347826087	-0.478260869565217	0.608695652173913	0.391304347826087
"Utilities"	1.2	-0.1	0.8	-0.2	0.3	0.4
"Commercial Services"	1.13636363636364	-0.181818181818182	0.909090909090909	-0.5	0.545454545454545	0.363636363636364
"Energy Minerals"	1	-1	1	0	1	0
"Process Industries"	1	-0.428571428571429	1	-0.714285714285714	0.714285714285714	0.428571428571429
"Producer Manufacturing"	0.96969696969697	-0.454545454545455	0.757575757575758	-0.575757575757576	0.757575757575758	0.484848484848485
"Consumer Durables"	0.88	-0.6	1	-0.84	0.8	0.52
"Technology Services"	0.741935483870968	-0.354838709677419	0.741935483870968	-0.67741935483871	0.548387096774194	0.483870967741935
"Retail Trade"	0.666666666666667	0	0.666666666666667	-0.333333333333333	-0.333333333333333	0.666666666666667
"Health Technology"	0.454545454545455	-0.272727272727273	0.818181818181818	-0.454545454545455	0.272727272727273	0.0909090909090909
"Transportation"	0.428571428571429	-0.428571428571429	1	-0.428571428571429	-0.142857142857143	0.428571428571429
"Consumer Non-Durables"	0.4	-0.5	0.8	-0.65	0.4	0.35
"Communications"	0.222222222222222	-0.111111111111111	1	-1	0.111111111111111	0.222222222222222
NA	0	-1	1	-1	1	0
"Distribution Services"	-0.166666666666667	-0.666666666666667	1	-1	0	0.5
