"sector"	"min_date"	"max_date"	"avg_score.x"	"avg_score.y"	"delta_score"
"Retail Trade"	2025-11-10	2025-11-27	1.4	2.33333333333333	0.666666666666667
"Transportation"	2025-11-10	2025-11-27	0.375	2.33333333333333	5.22222222222222
"Energy Minerals"	2025-11-10	2025-11-27	3	2	-0.333333333333333
"Finance"	2025-11-10	2025-11-27	1.19512195121951	1.67567567567568	0.402095973524545
"Health Technology"	2025-11-10	2025-11-27	1.2	1.5	0.25
"Producer Manufacturing"	2025-11-10	2025-11-27	1.29411764705882	1.33333333333333	0.0303030303030303
"Technology Services"	2025-11-10	2025-11-27	1.07142857142857	0.652173913043478	-0.391304347826087
"Commercial Services"	2025-11-10	2025-11-27	1.13636363636364	0.55	-0.516
"Health Services"	2025-11-10	2025-11-27	0.333333333333333	0.5	0.5
"Non-Energy Minerals"	2025-11-10	2025-11-27	0.666666666666667	0.333333333333333	-0.5
"Utilities"	2025-11-10	2025-11-27	1.5	0.263157894736842	-0.824561403508772
"Communications"	2025-11-10	2025-11-27	0.5	0.142857142857143	-0.714285714285714
"Distribution Services"	2025-11-10	2025-11-27	0	0.142857142857143	Inf
"Industrial Services"	2025-11-10	2025-11-27	1.375	0.125	-0.909090909090909
NA	2025-11-10	2025-11-27	-0.2	0	-1
"Electronic Technology"	2025-11-10	2025-11-27	0.357142857142857	-0.153846153846154	-1.43076923076923
"Consumer Services"	2025-11-10	2025-11-27	-0.476190476190476	-0.368421052631579	-0.226315789473684
"Consumer Durables"	2025-11-10	2025-11-27	-0.478260869565217	-0.818181818181818	0.710743801652893
"Consumer Non-Durables"	2025-11-10	2025-11-27	0.222222222222222	-0.888888888888889	-5
"Process Industries"	2025-11-10	2025-11-27	-0.571428571428571	-1.14285714285714	1
