"sector"	"2026-06-29"	"2026-06-30"	"2026-07-01"	"2026-07-02"	"2026-07-03"	"2026-06-26"
"Commercial Services"	0.523809523809524	0.380952380952381	0.368421052631579	-1	0.263157894736842	NA
"Communications"	-0.125	-0.125	-0.125	NA	-0.125	-0.125
"Consumer Durables"	0.28	0.32	0.227272727272727	1	0.0952380952380952	NA
"Consumer Non-Durables"	0	0	0.117647058823529	0.5	0.166666666666667	NA
"Consumer Services"	-0.0476190476190476	0	-0.0952380952380952	-0.5	0.294117647058824	NA
"Distribution Services"	0	0	0	-1	0	NA
"Electronic Technology"	1.23076923076923	1.15384615384615	1.5	2	1.53846153846154	NA
"Energy Minerals"	1	1	-1	NA	-1	1
"Finance"	1.21951219512195	1.17073170731707	1.13513513513514	2	1.34210526315789	NA
"Health Services"	0	0	0	-1	0	NA
"Health Technology"	1.09090909090909	1.09090909090909	1.11111111111111	-0.5	1.4	NA
"Industrial Services"	1	1.2	1.33333333333333	1.66666666666667	1.3	NA
"Non-Energy Minerals"	0.833333333333333	0.666666666666667	0.666666666666667	NA	0.666666666666667	0.833333333333333
"Process Industries"	0.777777777777778	0.666666666666667	0.666666666666667	-1.5	0.875	NA
"Producer Manufacturing"	0.5625	0.6875	0.666666666666667	1.16666666666667	0.888888888888889	NA
"Retail Trade"	1.14285714285714	1.14285714285714	1	1	0.8	NA
"Technology Services"	0.214285714285714	0.142857142857143	0.148148148148148	0.25	0.0454545454545455	NA
"Transportation"	0.5	0.125	0.142857142857143	2.5	0	NA
"Utilities"	0.05	0.15	0.15	NA	0	0.1
NA	1.4	1.4	0.25	NA	1.2	1
