date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2019-10-07 07:00:00	5500000	1.17	1.04	1.09	1.08	1.08	CYB.MI	1.09	1.17	1.04	1.08						0																		1.17													1.17	
2019-10-08 07:00:00	2010000	1.1	0.94	1.1	0.95	0.95	CYB.MI	1.11	1.11	0.95	0.96						0																																
2019-10-09 07:00:00	802000	1.0	0.9	0.95	0.96	0.96	CYB.MI	0.96	1.0	0.91	0.97						0								0.9																								
2019-10-10 07:00:00	294000	0.99	0.95	0.99	0.96	0.96	CYB.MI	0.99	0.99	0.94	0.95						0							0.99																									
2019-10-11 07:00:00	246000	0.97	0.92	0.97	0.93	0.93	CYB.MI	0.95	0.95	0.9	0.9						0																																
2019-10-14 07:00:00	400000	0.91	0.88	0.9	0.89	0.89	CYB.MI	0.88	0.89	0.86	0.87						0								0.88		0.88											0.86											
2019-10-15 07:00:00	728000	0.94	0.9	0.91	0.9	0.9	CYB.MI	0.88	0.91	0.87	0.87						0							0.94													0.91												
2019-10-16 07:00:00	208000	0.92	0.89	0.9	0.9	0.9	CYB.MI	0.87	0.88	0.86	0.87						0								0.89													0.86											
2019-10-17 07:00:00	192000	0.93	0.9	0.93	0.92	0.92	CYB.MI	0.9	0.9	0.87	0.89						0							0.93													0.9												
2019-10-18 07:00:00	110000	0.94	0.9	0.93	0.91	0.91	CYB.MI	0.9	0.91	0.87	0.88						0																																
2019-10-21 07:00:00	154000	0.91	0.89	0.91	0.9	0.9	CYB.MI	0.88	0.88	0.86	0.86						0								0.89													0.86											
2019-10-22 07:00:00	456000	0.93	0.91	0.91	0.91	0.91	CYB.MI	0.88	0.89	0.87	0.88						0																																
2019-10-23 07:00:00	1006000	1.01	0.91	0.92	0.93	0.93	CYB.MI	0.89	0.97	0.88	0.9						0																																
2019-10-24 07:00:00	574000	0.99	0.93	0.94	0.98	0.98	CYB.MI	0.91	0.95	0.89	0.94						0																																
